# time x y z qx qy qz qw
267.954000000000 0.02735 0.00482 -0.00182 -0.01071 -0.00316 0.01582 0.99981
268.060000000000 0.01475 0.01003 0.00232 -0.01059 -0.00318 0.01492 0.99983
268.149000000000 0.00122 0.03303 0.02034 -0.01116 -0.00094 0.01067 0.99988
268.245000000000 -0.00413 0.05543 0.03310 -0.01162 0.00029 0.00667 0.99991
268.355000000000 -0.00828 0.06327 0.02191 -0.01174 -0.00100 0.00543 0.99992
268.454000000000 -0.01209 0.06450 0.00130 -0.01150 -0.00314 0.00535 0.99991
268.566000000000 -0.01938 0.06314 -0.02683 -0.01118 -0.00622 0.00567 0.99990
268.645000000000 -0.02183 0.06342 -0.04774 -0.01094 -0.00825 0.00577 0.99989
268.790000000000 -0.04006 0.06156 -0.06806 -0.01047 -0.01039 0.00594 0.99987
268.866000000000 -0.03706 0.06506 -0.08114 -0.00093 0.01137 0.00538 0.99992
268.937000000000 -0.03980 0.06318 -0.09358 0.01192 0.04432 0.00509 0.99893
269.061000000000 -0.04222 0.06251 -0.08609 0.01576 0.07601 0.00379 0.99698
269.182000000000 -0.01934 0.04913 -0.07711 -0.00353 0.06287 0.00406 0.99801
269.298000000000 0.02179 0.03007 -0.06555 -0.02691 0.03175 0.00520 0.99912
269.374000000000 0.06098 0.02056 -0.04824 -0.03808 0.01438 0.00566 0.99916
269.472000000000 0.11372 0.01641 -0.02724 -0.04562 -0.00018 0.00570 0.99894
269.577000000000 0.17219 0.02339 -0.00674 -0.04697 -0.00448 0.00504 0.99887
269.642000000000 0.21894 0.03573 0.00903 -0.04577 -0.00192 0.00445 0.99894
269.730000000000 0.24957 0.04562 0.00854 -0.04228 -0.00125 0.00398 0.99910
269.857000000000 0.31948 0.07533 0.01722 -0.03759 0.00024 0.00351 0.99929
269.959000000000 0.35492 0.09970 0.01719 -0.03413 -0.00258 0.00325 0.99941
270.076000000000 0.43536 0.13582 0.01537 -0.03003 -0.00534 0.00314 0.99953
270.177000000000 0.46872 0.16797 0.01326 -0.02688 -0.00993 0.00321 0.99958
270.251000000000 0.54589 0.19237 0.01058 -0.02545 -0.00907 0.00316 0.99963
270.350000000000 0.58174 0.22752 0.00835 -0.02335 -0.01188 0.00326 0.99965
270.442000000000 0.65542 0.26315 0.00667 -0.02135 -0.01260 0.00325 0.99969
270.540000000000 0.73214 0.30152 0.00546 -0.01817 -0.01433 0.00332 0.99973
270.633000000000 0.78203 0.33990 0.00504 -0.01590 -0.01692 0.00332 0.99972
270.767000000000 0.83329 0.39636 0.00393 -0.01390 -0.02082 0.00341 0.99968
270.851000000000 0.86204 0.43359 0.00381 -0.01256 -0.02278 0.00348 0.99966
270.965000000000 0.88944 0.48303 0.00320 -0.01087 -0.02525 0.00346 0.99962
271.043000000000 0.90283 0.51675 0.00272 -0.01054 -0.02673 0.00345 0.99958
271.164000000000 0.91246 0.56735 0.00184 -0.00993 -0.02811 0.00354 0.99955
271.254000000000 0.91148 0.60389 0.00111 -0.00886 -0.02804 0.00357 0.99956
271.351000000000 0.90658 0.64403 0.00094 -0.00894 -0.02801 0.00361 0.99956
271.473000000000 0.88980 0.69295 0.00038 -0.00922 -0.02730 0.00362 0.99958
271.555000000000 0.87316 0.72561 0.00043 -0.00956 -0.02633 0.00357 0.99960
271.667000000000 0.84244 0.76867 0.00068 -0.00986 -0.02422 0.00360 0.99965
271.748000000000 0.81503 0.79914 0.00052 -0.00974 -0.02182 0.00358 0.99971
