# time x y z qx qy qz qw
49.885000000000 0.05899 -0.01903 0.02405 0.00064 0.09431 -0.00021 0.99554
49.981000000000 0.10538 -0.03067 0.01412 -0.01872 0.06995 0.00095 0.99737
50.081000000000 0.16458 -0.04255 0.01047 -0.03633 0.04409 0.00218 0.99836
50.178000000000 0.22719 -0.04953 0.00838 -0.04652 0.02700 0.00271 0.99855
50.274000000000 0.29081 -0.04983 0.00680 -0.04896 0.01758 0.00269 0.99864
50.369000000000 0.35369 -0.04319 0.00494 -0.04727 0.01507 0.00218 0.99877
50.463000000000 0.41420 -0.02994 0.00193 -0.04389 0.01594 0.00162 0.99891
50.560000000000 0.47579 -0.01002 0.00056 -0.03928 0.01574 0.00113 0.99910
50.654000000000 0.53482 0.01409 -0.00103 -0.03511 0.01355 0.00075 0.99929
50.757000000000 0.59806 0.04513 -0.00203 -0.03191 0.01076 0.00052 0.99943
50.852000000000 0.64948 0.07715 -0.00651 -0.02976 0.00740 0.00044 0.99953
50.938000000000 0.69804 0.10831 -0.00817 -0.02787 0.00451 0.00042 0.99960
51.030000000000 0.74364 0.14379 -0.01260 -0.02473 -0.00012 0.00041 0.99969
51.126000000000 0.79250 0.18294 -0.01463 -0.02220 -0.00415 0.00049 0.99974
51.219000000000 0.83607 0.22223 -0.01844 -0.02095 -0.00729 0.00055 0.99975
51.319000000000 0.87470 0.26405 -0.02140 -0.01861 -0.01090 0.00072 0.99977
51.410000000000 0.90552 0.30270 -0.02354 -0.01688 -0.01409 0.00080 0.99976
51.506000000000 0.93428 0.34467 -0.02531 -0.01583 -0.01733 0.00084 0.99972
51.602000000000 0.95839 0.38734 -0.02673 -0.01356 -0.02021 0.00087 0.99970
51.697000000000 0.97656 0.42949 -0.02802 -0.01206 -0.02264 0.00095 0.99967
51.794000000000 0.98796 0.47149 -0.02942 -0.01199 -0.02493 0.00093 0.99962
51.893000000000 0.99197 0.51361 -0.03078 -0.01162 -0.02628 0.00092 0.99959
51.988000000000 0.98977 0.55423 -0.03196 -0.01050 -0.02621 0.00090 0.99960
52.089000000000 0.98002 0.59653 -0.03281 -0.00978 -0.02577 0.00088 0.99962
52.184000000000 0.96444 0.63548 -0.03324 -0.00984 -0.02525 0.00092 0.99963
52.279000000000 0.94322 0.67381 -0.03344 -0.01080 -0.02492 0.00082 0.99963
52.381000000000 0.91424 0.71479 -0.03341 -0.01208 -0.02407 0.00069 0.99964
52.478000000000 0.88085 0.75366 -0.03283 -0.01170 -0.02082 0.00068 0.99971
52.574000000000 0.84249 0.79175 -0.03232 -0.01178 -0.01776 0.00065 0.99977
52.665000000000 0.80192 0.82727 -0.03200 -0.01298 -0.01614 0.00058 0.99979
52.759000000000 0.75619 0.86383 -0.03185 -0.01374 -0.01336 0.00058 0.99982
52.855000000000 0.70577 0.90103 -0.03187 -0.01398 -0.00946 0.00059 0.99986
52.940000000000 0.65914 0.93438 -0.03142 -0.01529 -0.00738 0.00063 0.99986
53.031000000000 0.60705 0.96991 -0.03143 -0.01596 -0.00409 0.00071 0.99986
53.132000000000 0.54804 1.01030 -0.03118 -0.01649 -0.00005 0.00059 0.99986
53.229000000000 0.49025 1.05011 -0.03137 -0.01775 0.00298 0.00059 0.99984
53.328000000000 0.43139 1.09102 -0.03101 -0.01997 0.00490 0.00071 0.99979
53.421000000000 0.37571 1.13103 -0.03131 -0.02153 0.00722 0.00065 0.99974
53.521000000000 0.31711 1.17498 -0.03079 -0.02084 0.01183 0.00048 0.99971
