# time x y z qx qy qz qw
32.627000000000 0.35703 -0.09820 -0.11746 -0.04509 0.00774 0.00790 0.99892
32.727000000000 0.41551 -0.07094 -0.10742 -0.04146 0.00767 0.00653 0.99909
32.821000000000 0.44835 -0.04485 -0.10657 -0.03726 0.00530 0.00599 0.99927
32.912000000000 0.49128 -0.02037 -0.11104 -0.03430 0.00427 0.00566 0.99939
33.010000000000 0.54228 0.00684 -0.11448 -0.03181 0.00240 0.00544 0.99948
33.098000000000 0.59285 0.03611 -0.11766 -0.02887 -0.00097 0.00525 0.99957
33.191000000000 0.64250 0.06744 -0.12133 -0.02643 -0.00473 0.00528 0.99963
33.286000000000 0.69777 0.10534 -0.12483 -0.02478 -0.00761 0.00524 0.99965
33.381000000000 0.74337 0.14221 -0.12824 -0.02192 -0.01185 0.00542 0.99967
33.478000000000 0.79626 0.18639 -0.13156 -0.01984 -0.01520 0.00551 0.99967
33.570000000000 0.83902 0.22825 -0.13403 -0.01870 -0.01776 0.00558 0.99965
33.667000000000 0.87968 0.27358 -0.13611 -0.01683 -0.02064 0.00573 0.99963
33.763000000000 0.91643 0.32063 -0.13800 -0.01497 -0.02338 0.00583 0.99960
33.858000000000 0.94680 0.36782 -0.13957 -0.01418 -0.02597 0.00594 0.99954
33.953000000000 0.97229 0.41573 -0.14071 -0.01284 -0.02774 0.00603 0.99951
34.046000000000 0.98938 0.46145 -0.14193 -0.01114 -0.02885 0.00607 0.99950
34.170000000000 0.99913 0.52011 -0.14398 -0.01091 -0.03032 0.00610 0.99946
34.261000000000 0.99962 0.56269 -0.14538 -0.01069 -0.03036 0.00619 0.99946
34.343000000000 0.99400 0.59932 -0.14643 -0.01070 -0.03006 0.00623 0.99947
34.440000000000 0.97946 0.64217 -0.14758 -0.01127 -0.02987 0.00616 0.99947
34.529000000000 0.95753 0.68093 -0.14918 -0.01217 -0.02982 0.00614 0.99946
34.629000000000 0.92954 0.72367 -0.15009 -0.01176 -0.02716 0.00610 0.99954
34.722000000000 0.89439 0.76332 -0.15163 -0.01153 -0.02473 0.00616 0.99961
34.821000000000 0.85491 0.80379 -0.15226 -0.01225 -0.02274 0.00617 0.99965
34.917000000000 0.81071 0.84253 -0.15289 -0.01342 -0.02079 0.00615 0.99967
35.012000000000 0.76159 0.88132 -0.15354 -0.01354 -0.01714 0.00607 0.99974
35.107000000000 0.70677 0.92025 -0.15506 -0.01438 -0.01412 0.00610 0.99978
35.203000000000 0.65001 0.95959 -0.15578 -0.01623 -0.01208 0.00611 0.99978
35.303000000000 0.58606 1.00083 -0.15749 -0.01739 -0.00914 0.00608 0.99979
35.399000000000 0.52493 1.04172 -0.15808 -0.01712 -0.00404 0.00603 0.99983
35.498000000000 0.46046 1.08423 -0.15904 -0.01795 -0.00020 0.00610 0.99982
35.596000000000 0.39685 1.12695 -0.15966 -0.02025 0.00181 0.00610 0.99977
35.662000000000 0.35278 1.15603 -0.16059 -0.02170 0.00309 0.00619 0.99974
35.759000000000 0.29075 1.20061 -0.16076 -0.02179 0.00724 0.00605 0.99972
35.863000000000 0.22218 1.24987 -0.16267 -0.02216 0.01127 0.00615 0.99967
35.962000000000 0.16376 1.29779 -0.16257 -0.02366 0.01421 0.00620 0.99960
36.058000000000 0.11153 1.34471 -0.16212 -0.02434 0.01711 0.00619 0.99954
36.155000000000 0.05610 1.39508 -0.16361 -0.02363 0.02041 0.00611 0.99949
36.256000000000 0.01180 1.44660 -0.16264 -0.02393 0.02320 0.00609 0.99943
36.358000000000 -0.02726 1.50010 -0.16163 -0.02511 0.02499 0.00612 0.99935
36.449000000000 -0.06624 1.55156 -0.16260 -0.02384 0.02657 0.00612 0.99934
36.550000000000 -0.09293 1.60627 -0.16116 -0.02230 0.02834 0.00606 0.99933
36.618000000000 -0.11552 1.64641 -0.16164 -0.02224 0.02865 0.00603 0.99932
36.718000000000 -0.13261 1.70142 -0.15947 -0.02064 0.02946 0.00602 0.99933
36.819000000000 -0.15822 1.76353 -0.16004 -0.01876 0.02927 0.00595 0.99938
36.918000000000 -0.16182 1.81632 -0.15775 -0.01778 0.02918 0.00594 0.99940
37.017000000000 -0.16763 1.87252 -0.15709 -0.01563 0.02858 0.00596 0.99945
37.120000000000 -0.17276 1.93260 -0.15674 -0.01237 0.02762 0.00591 0.99952
37.215000000000 -0.17371 1.98687 -0.15676 -0.01041 0.02662 0.00580 0.99957
37.311000000000 -0.17364 2.04207 -0.15725 -0.00743 0.02512 0.00573 0.99964
37.379000000000 -0.17410 2.08193 -0.15775 -0.00567 0.02394 0.00567 0.99968
37.475000000000 -0.16899 2.13451 -0.15885 -0.00391 0.02253 0.00565 0.99972
37.579000000000 -0.16417 2.19147 -0.15975 -0.00084 0.02048 0.00564 0.99977
37.677000000000 -0.15353 2.24037 -0.16110 0.00249 0.01852 0.00568 0.99981
37.775000000000 -0.14475 2.28792 -0.16182 0.00503 0.01670 0.00571 0.99983
37.875000000000 -0.13150 2.33157 -0.16343 0.00808 0.01477 0.00571 0.99984
37.969000000000 -0.12139 2.36993 -0.16383 0.01074 0.01289 0.00579 0.99984
38.071000000000 -0.10736 2.40630 -0.16508 0.01340 0.01089 0.00577 0.99983
38.137000000000 -0.09968 2.42787 -0.16564 0.01522 0.00947 0.00586 0.99982
38.235000000000 -0.08639 2.45485 -0.16625 0.01763 0.00776 0.00587 0.99980
38.338000000000 -0.07460 2.47831 -0.16667 0.01969 0.00607 0.00594 0.99977
38.434000000000 -0.06375 2.49345 -0.16725 0.02144 0.00458 0.00608 0.99974
38.518000000000 -0.05363 2.50129 -0.16814 0.02299 0.00342 0.00621 0.99971
38.643000000000 -0.04233 2.50716 -0.16882 0.02424 0.00186 0.00622 0.99969
38.739000000000 -0.03438 2.50498 -0.16905 0.02455 0.00095 0.00624 0.99968
38.805000000000 -0.02958 2.49994 -0.16896 0.02481 0.00043 0.00629 0.99967
38.907000000000 -0.02367 2.48680 -0.16929 0.02535 -0.00014 0.00631 0.99966
39.001000000000 -0.01944 2.46910 -0.16953 0.02437 -0.00035 0.00632 0.99968
39.096000000000 -0.01663 2.44657 -0.16962 0.02323 -0.00034 0.00626 0.99971
39.198000000000 -0.01498 2.41685 -0.16941 0.02247 -0.00016 0.00628 0.99973
39.299000000000 -0.01479 2.38207 -0.16876 0.02120 0.00028 0.00627 0.99976
39.399000000000 -0.01603 2.34210 -0.16850 0.01803 0.00109 0.00631 0.99982
39.501000000000 -0.01861 2.29756 -0.16813 0.01588 0.00183 0.00627 0.99985
39.566000000000 -0.02005 2.26806 -0.16755 0.01416 0.00245 0.00617 0.99988
39.668000000000 -0.02436 2.21726 -0.16747 0.01043 0.00348 0.00614 0.99992
39.768000000000 -0.02819 2.16669 -0.16650 0.00779 0.00458 0.00603 0.99994
39.864000000000 -0.03301 2.11457 -0.16600 0.00582 0.00570 0.00605 0.99995
39.963000000000 -0.03714 2.06083 -0.16434 0.00221 0.00711 0.00599 0.99995
40.062000000000 -0.04150 2.00465 -0.16321 -0.00041 0.00853 0.00591 0.99995
40.164000000000 -0.04535 1.94726 -0.16163 -0.00288 0.00995 0.00598 0.99993
40.262000000000 -0.04860 1.89143 -0.16052 -0.00659 0.01144 0.00590 0.99990
40.329000000000 -0.05026 1.85434 -0.15954 -0.00861 0.01234 0.00587 0.99987
40.433000000000 -0.05158 1.79716 -0.15889 -0.01116 0.01397 0.00584 0.99982
40.529000000000 -0.05094 1.74734 -0.15734 -0.01463 0.01506 0.00586 0.99976
40.616000000000 -0.04902 1.70477 -0.15605 -0.01740 0.01607 0.00586 0.99970
40.718000000000 -0.04493 1.65664 -0.15519 -0.01937 0.01762 0.00587 0.99964
40.816000000000 -0.03807 1.61281 -0.15436 -0.02072 0.01900 0.00581 0.99959
40.916000000000 -0.02943 1.57210 -0.15339 -0.02282 0.01973 0.00586 0.99953
41.018000000000 -0.01746 1.53572 -0.15352 -0.02425 0.02072 0.00581 0.99947
41.117000000000 -0.00342 1.50415 -0.15322 -0.02509 0.02186 0.00578 0.99943
41.217000000000 0.01363 1.47778 -0.15335 -0.02594 0.02186 0.00578 0.99941
41.282000000000 0.02628 1.46263 -0.15296 -0.02630 0.02192 0.00571 0.99940
41.378000000000 0.04721 1.44440 -0.15295 -0.02626 0.02262 0.00565 0.99938
41.476000000000 0.07159 1.42809 -0.15221 -0.02588 0.02240 0.00568 0.99940
41.576000000000 0.09918 1.41615 -0.15185 -0.02521 0.02203 0.00561 0.99942
41.670000000000 0.12784 1.40830 -0.15257 -0.02432 0.02256 0.00573 0.99943
41.764000000000 0.15906 1.40232 -0.15217 -0.02316 0.02283 0.00572 0.99945
41.864000000000 0.19469 1.40001 -0.15224 -0.02153 0.02154 0.00572 0.99952
41.960000000000 0.23126 1.40043 -0.15246 -0.02017 0.02123 0.00577 0.99955
42.061000000000 0.27219 1.40350 -0.15359 -0.01882 0.02159 0.00584 0.99957
42.162000000000 0.31585 1.40878 -0.15362 -0.01691 0.02042 0.00588 0.99963
42.261000000000 0.36069 1.41634 -0.15385 -0.01520 0.02005 0.00585 0.99967
42.359000000000 0.40671 1.42533 -0.15514 -0.01337 0.01930 0.00586 0.99971
42.455000000000 0.45419 1.43538 -0.15533 -0.01136 0.01778 0.00584 0.99976
42.518000000000 0.48599 1.44261 -0.15562 -0.01015 0.01737 0.00584 0.99978
42.616000000000 0.53635 1.45412 -0.15674 -0.00853 0.01771 0.00580 0.99979
42.733000000000 0.59914 1.46833 -0.15683 -0.00655 0.01708 0.00570 0.99982
42.832000000000 0.65368 1.48054 -0.15686 -0.00476 0.01536 0.00568 0.99985
42.928000000000 0.70731 1.49201 -0.15741 -0.00316 0.01480 0.00575 0.99987
43.026000000000 0.76350 1.50262 -0.15747 -0.00182 0.01495 0.00572 0.99987
43.091000000000 0.80128 1.50950 -0.15802 -0.00086 0.01363 0.00574 0.99989
43.218000000000 0.87606 1.52124 -0.15764 0.00068 0.01133 0.00577 0.99992
43.280000000000 0.91323 1.52657 -0.15806 0.00130 0.01122 0.00572 0.99992
43.382000000000 0.97460 1.53431 -0.15812 0.00194 0.00976 0.00570 0.99993
43.479000000000 1.03266 1.53996 -0.15774 0.00242 0.00837 0.00571 0.99995
43.574000000000 1.09032 1.54454 -0.15807 0.00264 0.00829 0.00582 0.99995
43.669000000000 1.14664 1.54735 -0.15795 0.00257 0.00708 0.00579 0.99995
43.766000000000 1.20587 1.54933 -0.15790 0.00232 0.00510 0.00579 0.99997
43.867000000000 1.26548 1.54971 -0.15736 0.00206 0.00450 0.00585 0.99997
43.962000000000 1.32227 1.54916 -0.15713 0.00161 0.00426 0.00588 0.99997
44.066000000000 1.38320 1.54716 -0.15704 0.00079 0.00259 0.00600 0.99998
44.165000000000 1.44007 1.54439 -0.15709 -0.00018 -0.00080 0.00603 0.99998
44.255000000000 1.49023 1.54137 -0.15732 -0.00100 -0.00268 0.00603 0.99998
44.345000000000 1.53853 1.53804 -0.15746 -0.00197 -0.00370 0.00606 0.99997
44.440000000000 1.58709 1.53451 -0.15744 -0.00305 -0.00581 0.00605 0.99996
44.530000000000 1.63072 1.53114 -0.15727 -0.00412 -0.00724 0.00611 0.99995
44.622000000000 1.67317 1.52812 -0.15715 -0.00509 -0.00762 0.00602 0.99994
44.736000000000 1.72282 1.52454 -0.15732 -0.00637 -0.00909 0.00595 0.99992
44.831000000000 1.76181 1.52200 -0.15753 -0.00746 -0.01066 0.00596 0.99990
44.922000000000 1.79664 1.52033 -0.15791 -0.00854 -0.01189 0.00591 0.99988
45.016000000000 1.82960 1.51947 -0.15841 -0.00939 -0.01359 0.00593 0.99985
45.109000000000 1.85778 1.51950 -0.15898 -0.01026 -0.01535 0.00586 0.99981
45.207000000000 1.88456 1.52055 -0.15945 -0.01117 -0.01699 0.00588 0.99978
45.301000000000 1.90578 1.52304 -0.15973 -0.01198 -0.01828 0.00589 0.99974
45.395000000000 1.92352 1.52671 -0.15964 -0.01223 -0.01958 0.00585 0.99972
45.484000000000 1.93703 1.53159 -0.15952 -0.01241 -0.02083 0.00580 0.99969
45.575000000000 1.94695 1.53785 -0.15926 -0.01264 -0.02194 0.00578 0.99966
45.672000000000 1.95384 1.54618 -0.15917 -0.01232 -0.02263 0.00570 0.99965
45.760000000000 1.95685 1.55498 -0.15895 -0.01194 -0.02320 0.00579 0.99964
