# time x y z qx qy qz qw
43.004000000000 0.06347 -0.02014 0.03301 -0.00039 0.09435 -0.00019 0.99554
43.105000000000 0.11473 -0.03520 0.02914 -0.02022 0.07023 0.00126 0.99732
43.206000000000 0.17613 -0.04684 0.02248 -0.03723 0.04434 0.00234 0.99832
43.309000000000 0.24389 -0.05289 0.01957 -0.04745 0.02745 0.00288 0.99849
43.400000000000 0.30503 -0.05223 0.01705 -0.04943 0.01898 0.00275 0.99859
43.498000000000 0.37058 -0.04447 0.01440 -0.04688 0.01540 0.00215 0.99878
43.594000000000 0.43308 -0.02992 0.01136 -0.04302 0.01566 0.00152 0.99895
43.686000000000 0.49267 -0.01085 0.01011 -0.03990 0.01712 0.00095 0.99906
43.784000000000 0.55508 0.01464 0.00885 -0.03662 0.01637 0.00062 0.99920
43.881000000000 0.61661 0.04418 0.00782 -0.03299 0.01305 0.00045 0.99937
43.966000000000 0.66451 0.07388 0.00433 -0.03088 0.00981 0.00031 0.99947
44.065000000000 0.72312 0.11103 0.00227 -0.02818 0.00556 0.00026 0.99959
44.162000000000 0.77285 0.15066 -0.00179 -0.02485 0.00072 0.00029 0.99969
44.261000000000 0.82246 0.19258 -0.00537 -0.02261 -0.00323 0.00045 0.99974
44.360000000000 0.86630 0.23482 -0.00829 -0.02138 -0.00633 0.00046 0.99975
44.457000000000 0.90430 0.27694 -0.01054 -0.01887 -0.00996 0.00053 0.99977
44.523000000000 0.92620 0.30599 -0.01174 -0.01735 -0.01247 0.00064 0.99977
44.648000000000 0.96508 0.36248 -0.01401 -0.01580 -0.01670 0.00068 0.99974
44.745000000000 0.98941 0.40638 -0.01574 -0.01373 -0.01939 0.00078 0.99972
44.809000000000 1.00049 0.43483 -0.01630 -0.01270 -0.02105 0.00082 0.99970
44.907000000000 1.01201 0.47729 -0.01781 -0.01241 -0.02319 0.00081 0.99965
45.002000000000 1.01768 0.51826 -0.01931 -0.01284 -0.02501 0.00087 0.99960
