# time x y z qx qy qz qw
38.957000000000 0.03636 0.12904 0.00396 -0.03370 0.01267 0.01258 0.99927
39.054000000000 0.02410 0.18624 0.00621 -0.01598 0.01236 0.01080 0.99974
39.154000000000 0.00020 0.27046 -0.00281 0.00336 0.01176 0.00612 0.99991
39.254000000000 -0.00078 0.33802 -0.01564 0.02172 0.01204 0.00285 0.99969
39.355000000000 0.00227 0.38705 -0.01869 0.03452 0.01254 0.00184 0.99932
39.452000000000 0.00254 0.42397 -0.02037 0.03943 0.01268 0.00160 0.99914
39.550000000000 0.00249 0.45158 -0.02191 0.03665 0.01271 0.00140 0.99925
39.648000000000 0.00270 0.47075 -0.02384 0.02782 0.01259 0.00140 0.99953
39.747000000000 0.00146 0.48369 -0.02494 0.01612 0.01229 0.00152 0.99979
39.814000000000 0.00155 0.48748 -0.02582 0.00876 0.01216 0.00161 0.99989
39.911000000000 0.00153 0.49036 -0.02672 0.00087 0.01195 0.00172 0.99993
40.007000000000 0.00075 0.49409 -0.02649 -0.00386 0.01183 0.00178 0.99992
40.124000000000 0.00116 0.49388 -0.02720 -0.00937 0.01166 0.00182 0.99989
40.222000000000 0.00117 0.49366 -0.02690 -0.01226 0.01163 0.00185 0.99986
40.290000000000 0.00119 0.49388 -0.02612 -0.01266 0.01168 0.00182 0.99985
40.410000000000 0.00115 0.49503 -0.02613 -0.01155 0.01163 0.00174 0.99986
40.504000000000 0.00115 0.49616 -0.02590 -0.01004 0.01162 0.00174 0.99988
40.594000000000 0.00108 0.49697 -0.02622 -0.00937 0.01191 0.00177 0.99988
40.688000000000 0.00097 0.49744 -0.02674 -0.01098 0.01405 0.00179 0.99984
40.784000000000 0.00116 0.49857 -0.02700 -0.01601 0.01897 0.00188 0.99969
40.882000000000 0.00277 0.50106 -0.02694 -0.02417 0.02691 0.00205 0.99934
40.983000000000 0.00740 0.50688 -0.02617 -0.03335 0.03578 0.00241 0.99880
41.051000000000 0.01339 0.51265 -0.02673 -0.04015 0.04241 0.00287 0.99829
41.155000000000 0.02750 0.52659 -0.02613 -0.05170 0.05368 0.00367 0.99721
41.253000000000 0.04874 0.54748 -0.02594 -0.05998 0.06191 0.00437 0.99627
41.353000000000 0.07931 0.57876 -0.02557 -0.06522 0.06705 0.00478 0.99560
41.455000000000 0.12106 0.62126 -0.02549 -0.06955 0.07138 0.00477 0.99501
