# time x y z qx qy qz qw
233.516000000000 0.71517 0.01781 0.02280 -0.04295 0.04548 0.00479 0.99803
233.594000000000 0.79649 0.02842 0.02849 -0.06296 0.04777 0.00660 0.99685
233.694000000000 0.89651 0.03822 0.03174 -0.07688 0.04421 0.00819 0.99603
233.794000000000 0.99749 0.05321 0.03571 -0.10139 0.03427 0.01084 0.99420
233.914000000000 1.13098 0.07384 0.03939 -0.13068 0.02013 0.01362 0.99113
233.974000000000 1.20141 0.08574 0.04067 -0.14021 0.01191 0.01479 0.98994
234.074000000000 1.32013 0.11183 0.04449 -0.14501 -0.00540 0.01759 0.98926
234.175000000000 1.44184 0.15270 0.04389 -0.13305 -0.02114 0.02139 0.99065
234.274000000000 1.57003 0.20762 0.05230 -0.11453 -0.04002 0.02291 0.99235
234.354000000000 1.66834 0.26400 0.05316 -0.11234 -0.05443 0.02342 0.99190
234.454000000000 1.76816 0.34566 0.06469 -0.09841 -0.07061 0.02218 0.99239
234.574000000000 1.87086 0.45958 0.08242 -0.07476 -0.08013 0.01881 0.99380
234.654000000000 1.92433 0.54637 0.08445 -0.06705 -0.08086 0.01794 0.99431
234.739000000000 1.96904 0.64375 0.08658 -0.05943 -0.08037 0.01672 0.99485
234.836000000000 2.00382 0.76044 0.09020 -0.05432 -0.07909 0.01575 0.99526
234.935000000000 2.02872 0.88452 0.09354 -0.04796 -0.07515 0.01422 0.99592
235.034000000000 2.03863 1.01202 0.10434 -0.04124 -0.06974 0.01287 0.99663
235.115000000000 2.03633 1.11819 0.10424 -0.03627 -0.06338 0.01213 0.99726
235.234000000000 2.01431 1.27646 0.10553 -0.02931 -0.05631 0.01186 0.99791
235.314000000000 1.98944 1.38386 0.10949 -0.02871 -0.05577 0.01248 0.99795
235.434000000000 1.94059 1.54695 0.14226 -0.00603 -0.05714 0.01822 0.99818
235.515000000000 1.89502 1.65703 0.17151 0.00717 -0.05897 0.02813 0.99784
235.595000000000 1.83565 1.76027 0.16411 0.01467 -0.05619 0.04395 0.99734
235.694000000000 1.74902 1.88015 0.15362 0.01943 -0.05152 0.07175 0.99590
235.799000000000 1.65847 2.00398 0.15462 0.02090 -0.04633 0.11000 0.99263
235.894000000000 1.57774 2.11562 0.17171 0.02008 -0.04212 0.15076 0.98747
235.994000000000 1.48485 2.22763 0.20199 0.01805 -0.03782 0.19826 0.97925
236.075000000000 1.40384 2.31404 0.23067 0.01499 -0.03463 0.23879 0.97034
236.177000000000 1.29438 2.41575 0.27281 0.01046 -0.02991 0.29080 0.95626
236.295000000000 1.16128 2.52438 0.32739 0.00553 -0.02421 0.35028 0.93631
236.374000000000 1.06643 2.59083 0.36987 0.00325 -0.02079 0.38885 0.92106
236.455000000000 0.96608 2.65528 0.41545 0.00107 -0.01768 0.42666 0.90424
236.556000000000 0.83845 2.73130 0.47530 -0.00112 -0.01376 0.47102 0.88201
236.674000000000 0.68837 2.81552 0.54546 -0.00239 -0.01078 0.51919 0.85459
236.735000000000 0.60616 2.85800 0.58440 0.00017 -0.01172 0.54272 0.83983
236.855000000000 0.44841 2.93492 0.66096 0.01081 -0.01752 0.58698 0.80934
236.934000000000 0.33434 2.98334 0.71412 0.01810 -0.02371 0.61476 0.78815
237.034000000000 0.20367 3.03500 0.77979 0.02326 -0.02838 0.64850 0.76033
237.114000000000 0.09237 3.07360 0.83306 0.02320 -0.03094 0.67297 0.73866
237.216000000000 -0.04914 3.11383 0.89889 0.01976 -0.03210 0.69643 0.71664
237.315000000000 -0.19459 3.14640 0.95816 0.01759 -0.03337 0.71084 0.70235
237.434000000000 -0.38166 3.17984 1.02191 0.02004 -0.03727 0.71852 0.69421
237.514000000000 -0.51042 3.20248 1.05839 0.02422 -0.04146 0.71866 0.69370
237.595000000000 -0.63773 3.21663 1.09078 0.03082 -0.04651 0.71548 0.69641
237.714000000000 -0.81693 3.21405 1.13418 0.04477 -0.05195 0.70655 0.70433
237.814000000000 -0.97072 3.20121 1.16386 0.05563 -0.05353 0.69675 0.71315
237.895000000000 -1.09663 3.18158 1.18437 0.06261 -0.05161 0.68835 0.72082
237.974000000000 -1.21824 3.15082 1.20140 0.06771 -0.04737 0.68033 0.72823
238.074000000000 -1.35904 3.09035 1.22237 0.07014 -0.03951 0.67116 0.73693
238.174000000000 -1.50155 3.02277 1.23716 0.06697 -0.03202 0.66359 0.74441
238.274000000000 -1.62582 2.94039 1.24906 0.05981 -0.02611 0.65732 0.75078
238.354000000000 -1.72255 2.86475 1.25258 0.05336 -0.02327 0.65138 0.75652
238.455000000000 -1.83925 2.76000 1.25067 0.04539 -0.02174 0.64097 0.76591
238.554000000000 -1.94245 2.65076 1.24352 0.03780 -0.02029 0.62727 0.77762
238.654000000000 -2.04461 2.53621 1.22319 0.03128 -0.01878 0.60947 0.79197
238.759000000000 -2.14651 2.41177 1.19448 0.02753 -0.01574 0.58622 0.80953
238.834000000000 -2.21796 2.32151 1.16968 0.02670 -0.01293 0.56639 0.82361
238.936000000000 -2.31632 2.19485 1.13263 0.02692 -0.00923 0.53442 0.84474
239.054000000000 -2.42937 2.04175 1.08556 0.02670 -0.00607 0.48892 0.87190
239.134000000000 -2.50411 1.93473 1.05116 0.02578 -0.00498 0.45226 0.89150
239.235000000000 -2.59790 1.79761 1.00675 0.02383 -0.00428 0.39842 0.91688
239.314000000000 -2.67213 1.68711 0.97161 0.02206 -0.00411 0.34973 0.93658
239.434000000000 -2.78189 1.51831 0.91969 0.01949 -0.00347 0.26525 0.96398
239.514000000000 -2.85451 1.40425 0.88729 0.01840 0.00119 0.20307 0.97899
239.595000000000 -2.92598 1.28887 0.85625 0.01802 0.01287 0.13634 0.99041
239.714000000000 -3.02584 1.11882 0.81651 0.01739 0.03473 0.04060 0.99842
239.794000000000 -3.08858 1.00292 0.79310 0.01638 0.04632 -0.01200 0.99872
239.894000000000 -3.15660 0.85983 0.76685 0.01306 0.05352 -0.06128 0.99660
239.974000000000 -3.20285 0.74567 0.74835 0.00963 0.05522 -0.08750 0.99459
240.074000000000 -3.24972 0.60341 0.72830 0.00620 0.05540 -0.10510 0.99290
240.174000000000 -3.28481 0.46218 0.71165 0.00489 0.05607 -0.10799 0.99256
240.276000000000 -3.30760 0.31923 0.69782 0.00559 0.05873 -0.09898 0.99334
240.354000000000 -3.31318 0.21113 0.68887 0.00644 0.06177 -0.08624 0.99434
240.454000000000 -3.30973 0.07212 0.67893 0.00425 0.06775 -0.06485 0.99558
240.554000000000 -3.29305 -0.06786 0.67020 -0.00266 0.07458 -0.04069 0.99638
240.654000000000 -3.26261 -0.20392 0.66292 -0.01074 0.07797 -0.01672 0.99676
240.735000000000 -3.22579 -0.31673 0.65632 -0.01550 0.07774 0.00090 0.99685
240.834000000000 -3.16993 -0.44788 0.64924 -0.01927 0.07435 0.01916 0.99686
240.934000000000 -3.10072 -0.57482 0.64228 -0.02113 0.06932 0.03326 0.99682
241.055000000000 -3.00191 -0.71775 0.63505 -0.02182 0.06242 0.04409 0.99684
241.114000000000 -2.94783 -0.78523 0.63125 -0.02142 0.05882 0.04705 0.99693
241.215000000000 -2.84995 -0.89379 0.62612 -0.01952 0.05293 0.04880 0.99721
241.314000000000 -2.74583 -0.98899 0.62244 -0.01655 0.04725 0.04719 0.99763
241.414000000000 -2.63430 -1.08473 0.61861 -0.01295 0.04168 0.04325 0.99811
241.495000000000 -2.54045 -1.15903 0.61617 -0.01088 0.03765 0.03891 0.99847
241.596000000000 -2.41878 -1.24796 0.61360 -0.01152 0.03392 0.03280 0.99882
241.694000000000 -2.29662 -1.32990 0.61150 -0.01662 0.03175 0.02694 0.99899
241.794000000000 -2.16803 -1.40913 0.60939 -0.02523 0.03031 0.02147 0.99899
241.894000000000 -2.03720 -1.48089 0.60771 -0.03396 0.02892 0.01689 0.99886
241.974000000000 -1.92858 -1.53514 0.60576 -0.03923 0.02781 0.01398 0.99875
242.074000000000 -1.79189 -1.59262 0.60407 -0.04220 0.02627 0.01129 0.99870
242.195000000000 -1.62307 -1.65027 0.60231 -0.03987 0.02438 0.00939 0.99886
242.275000000000 -1.51141 -1.68260 0.60162 -0.03577 0.02324 0.00896 0.99905
242.374000000000 -1.37052 -1.71554 0.60060 -0.03138 0.02220 0.00908 0.99922
242.475000000000 -1.22543 -1.73816 0.59945 -0.03134 0.02156 0.00993 0.99923
242.574000000000 -1.08274 -1.75849 0.59924 -0.03516 0.02094 0.01117 0.99910
242.654000000000 -0.96694 -1.76542 0.59883 -0.03970 0.02056 0.01236 0.99892
242.754000000000 -0.82104 -1.77233 0.59966 -0.04619 0.01937 0.01391 0.99865
242.834000000000 -0.70406 -1.76754 0.59947 -0.05152 0.01731 0.01509 0.99841
242.936000000000 -0.55476 -1.75605 0.60064 -0.05727 0.01307 0.01651 0.99814
243.035000000000 -0.40919 -1.73091 0.60050 -0.06192 0.00684 0.01777 0.99790
243.134000000000 -0.26898 -1.69760 0.60224 -0.06567 -0.00186 0.01878 0.99766
243.234000000000 -0.12440 -1.65374 0.60333 -0.06824 -0.01192 0.01943 0.99741
243.315000000000 -0.01147 -1.60848 0.60421 -0.06925 -0.02129 0.01960 0.99718
243.414000000000 0.11821 -1.54105 0.60518 -0.06897 -0.03692 0.01968 0.99674
243.518000000000 0.24452 -1.45754 0.60636 -0.06583 -0.05531 0.01961 0.99610
243.594000000000 0.32737 -1.38909 0.60746 -0.06170 -0.06520 0.01907 0.99578
243.694000000000 0.42421 -1.28976 0.60837 -0.05468 -0.07019 0.01788 0.99587
243.814000000000 0.51884 -1.15927 0.60886 -0.04568 -0.06581 0.01589 0.99666
243.894000000000 0.56894 -1.06731 0.60973 -0.04017 -0.06081 0.01462 0.99723
243.974000000000 0.60930 -0.97127 0.60969 -0.03555 -0.05729 0.01351 0.99763
244.094000000000 0.65760 -0.82351 0.61170 -0.03023 -0.05590 0.01237 0.99790
244.175000000000 0.67575 -0.72048 0.61158 -0.02762 -0.05647 0.01197 0.99795
244.274000000000 0.69335 -0.59311 0.61338 -0.02534 -0.05592 0.01157 0.99805
244.354000000000 0.69238 -0.48837 0.61247 -0.02393 -0.05451 0.01158 0.99816
244.456000000000 0.68759 -0.35423 0.61455 -0.01986 -0.05602 0.01189 0.99816
244.554000000000 0.66586 -0.22376 0.61249 -0.00766 -0.06486 0.01306 0.99778
244.654000000000 0.64062 -0.09229 0.61448 0.01370 -0.07637 0.01486 0.99688
244.734000000000 0.60070 0.00871 0.61108 0.03449 -0.08286 0.01674 0.99582
244.854000000000 0.52667 0.14709 0.60697 0.06277 -0.08325 0.01966 0.99436
244.934000000000 0.46147 0.22639 0.60205 0.07375 -0.07788 0.02124 0.99400
245.020000000000 0.38309 0.29989 0.59664 0.07675 -0.06918 0.02232 0.99440
245.115000000000 0.28988 0.36664 0.59242 0.07084 -0.05872 0.02276 0.99550
245.215000000000 0.18573 0.42263 0.58817 0.05883 -0.04894 0.02239 0.99682
