# time x y z qx qy qz qw
83.931000000000 -0.10463 0.00229 0.03939 -0.01892 0.01436 0.00057 0.99972
84.035000000000 -0.11787 0.00992 0.01972 -0.02003 0.03344 0.00022 0.99924
84.136000000000 -0.11088 0.01692 0.00467 -0.02054 0.04406 0.00029 0.99882
84.202000000000 -0.10934 0.02235 0.00157 -0.02055 0.04654 0.00064 0.99871
84.296000000000 -0.11682 0.03244 0.00292 -0.02001 0.04478 0.00077 0.99880
84.392000000000 -0.11908 0.04472 0.00332 -0.01930 0.04111 0.00089 0.99897
84.488000000000 -0.11618 0.05873 0.00337 -0.01880 0.03765 0.00107 0.99911
84.589000000000 -0.10794 0.07526 0.00322 -0.01762 0.03427 0.00097 0.99926
84.682000000000 -0.09693 0.09179 0.00313 -0.01637 0.03175 0.00087 0.99936
84.782000000000 -0.08198 0.11086 0.00243 -0.01566 0.03024 0.00081 0.99942
84.880000000000 -0.06426 0.13040 0.00125 -0.01544 0.02943 0.00071 0.99945
84.975000000000 -0.04431 0.15008 0.00020 -0.01471 0.02803 0.00058 0.99950
85.073000000000 -0.02168 0.17115 -0.00106 -0.01350 0.02617 0.00049 0.99957
85.176000000000 0.00427 0.19338 -0.00326 -0.01273 0.02497 0.00052 0.99961
85.280000000000 0.03138 0.21492 -0.00629 -0.01203 0.02402 0.00046 0.99964
85.374000000000 0.05802 0.23572 -0.00831 -0.01092 0.02249 0.00047 0.99969
85.442000000000 0.07785 0.25035 -0.00961 -0.01027 0.02181 0.00042 0.99971
85.538000000000 0.10550 0.27063 -0.01169 -0.00989 0.02138 0.00032 0.99972
85.636000000000 0.13556 0.29197 -0.01394 -0.00916 0.02060 0.00038 0.99975
85.756000000000 0.17352 0.31728 -0.01609 -0.00778 0.01888 0.00039 0.99979
85.821000000000 0.19503 0.33221 -0.01618 -0.00730 0.01855 0.00028 0.99980
85.917000000000 0.22649 0.35284 -0.01785 -0.00686 0.01818 0.00020 0.99981
86.015000000000 0.25871 0.37207 -0.01983 -0.00623 0.01733 0.00030 0.99983
86.112000000000 0.29128 0.38984 -0.02188 -0.00582 0.01708 0.00086 0.99984
86.210000000000 0.32368 0.40785 -0.02434 -0.00542 0.01670 0.00190 0.99984
86.307000000000 0.35588 0.42433 -0.02659 -0.00457 0.01539 0.00345 0.99987
