# time x y z qx qy qz qw
66.039000000000 -0.03740 0.08014 0.03549 -0.07470 0.06064 -0.00973 0.99531
66.144000000000 -0.03739 0.12966 0.02691 -0.04714 0.10282 -0.01202 0.99351
66.241000000000 -0.02091 0.18084 0.02254 -0.02430 0.12459 -0.01187 0.99184
66.337000000000 0.01341 0.23581 0.02154 -0.00902 0.12737 -0.01000 0.99176
66.440000000000 0.07178 0.29391 0.01872 0.00233 0.11060 -0.00688 0.99384
66.540000000000 0.14643 0.34661 0.01416 0.00938 0.08696 -0.00344 0.99616
66.642000000000 0.23605 0.39547 0.00816 0.01508 0.06252 -0.00020 0.99793
66.742000000000 0.33167 0.43689 -0.00003 0.02021 0.03732 0.00227 0.99910
66.843000000000 0.43171 0.47247 -0.00763 0.02452 0.01514 0.00408 0.99958
66.911000000000 0.49997 0.49304 -0.01327 0.02625 0.00401 0.00488 0.99964
67.012000000000 0.59686 0.51684 -0.02105 0.02695 -0.01030 0.00549 0.99957
67.112000000000 0.68675 0.53283 -0.02864 0.02559 -0.02085 0.00534 0.99944
67.212000000000 0.76791 0.54129 -0.03580 0.02242 -0.02791 0.00483 0.99935
67.297000000000 0.82914 0.54339 -0.04144 0.01826 -0.03271 0.00409 0.99929
67.396000000000 0.88905 0.54029 -0.04565 0.01207 -0.03640 0.00319 0.99926
67.493000000000 0.93651 0.53313 -0.04756 0.00529 -0.03783 0.00224 0.99927
67.591000000000 0.97285 0.52284 -0.04865 -0.00226 -0.03769 0.00124 0.99929
67.690000000000 1.00081 0.51192 -0.04839 -0.01003 -0.03620 0.00044 0.99929
67.788000000000 1.01677 0.50116 -0.04613 -0.01775 -0.03406 -0.00013 0.99926
67.882000000000 1.02539 0.49308 -0.04406 -0.02509 -0.03168 -0.00053 0.99918
67.980000000000 1.02523 0.48753 -0.04048 -0.03142 -0.02839 -0.00070 0.99910
68.077000000000 1.01938 0.48698 -0.03763 -0.03698 -0.02521 -0.00094 0.99900
68.169000000000 1.00737 0.49144 -0.03482 -0.04107 -0.02249 -0.00089 0.99890
68.261000000000 0.98991 0.50054 -0.03106 -0.04249 -0.01905 -0.00063 0.99892
68.353000000000 0.96841 0.51562 -0.02874 -0.04349 -0.01635 0.00021 0.99892
68.449000000000 0.94190 0.53728 -0.02679 -0.04457 -0.01489 0.00163 0.99889
68.546000000000 0.91132 0.56495 -0.02447 -0.04381 -0.01339 0.00334 0.99894
68.648000000000 0.87506 0.60040 -0.02357 -0.04102 -0.01129 0.00527 0.99908
68.751000000000 0.83515 0.64213 -0.02259 -0.03774 -0.00997 0.00703 0.99921
68.819000000000 0.80722 0.67241 -0.02229 -0.03441 -0.00868 0.00808 0.99934
68.917000000000 0.76498 0.71948 -0.02254 -0.02914 -0.00665 0.00931 0.99951
69.015000000000 0.72054 0.76935 -0.02304 -0.02486 -0.00566 0.01029 0.99962
69.115000000000 0.67375 0.82280 -0.02440 -0.01950 -0.00386 0.01083 0.99974
69.212000000000 0.62709 0.87553 -0.02609 -0.01553 -0.00300 0.01116 0.99981
69.301000000000 0.58340 0.92426 -0.02766 -0.01244 -0.00217 0.01126 0.99986
69.397000000000 0.53512 0.97660 -0.02921 -0.00805 0.00033 0.01117 0.99991
69.487000000000 0.48922 1.02476 -0.03053 -0.00533 0.00215 0.01087 0.99992
69.586000000000 0.43866 1.07614 -0.03168 -0.00327 0.00388 0.01047 0.99993
69.689000000000 0.38695 1.12727 -0.03247 -0.00081 0.00713 0.00996 0.99992
69.791000000000 0.33695 1.17515 -0.03303 -0.00002 0.00956 0.00946 0.99991
69.888000000000 0.29099 1.21845 -0.03369 -0.00004 0.01163 0.00903 0.99989
69.985000000000 0.24688 1.25973 -0.03422 0.00051 0.01477 0.00861 0.99985
70.082000000000 0.20516 1.29871 -0.03364 -0.00007 0.01734 0.00839 0.99981
70.148000000000 0.17869 1.32410 -0.03404 -0.00088 0.01872 0.00828 0.99979
70.245000000000 0.14200 1.35987 -0.03312 -0.00184 0.02105 0.00808 0.99974
70.341000000000 0.10992 1.39345 -0.03327 -0.00348 0.02277 0.00808 0.99970
70.441000000000 0.07950 1.42693 -0.03250 -0.00584 0.02384 0.00808 0.99967
70.542000000000 0.05456 1.45949 -0.03275 -0.00767 0.02498 0.00814 0.99963
70.643000000000 0.03288 1.49180 -0.03146 -0.00931 0.02571 0.00821 0.99959
70.745000000000 0.01724 1.52347 -0.03189 -0.01173 0.02568 0.00833 0.99957
70.846000000000 0.00404 1.55548 -0.03061 -0.01329 0.02479 0.00861 0.99957
