# time x y z qx qy qz qw
47.317000000000 -0.06736 0.05841 0.02001 -0.05148 0.04435 -0.00470 0.99768
47.420000000000 -0.07737 0.09440 0.01378 -0.03728 0.08470 -0.00595 0.99569
47.486000000000 -0.07837 0.12008 0.01110 -0.02913 0.09987 -0.00595 0.99456
47.593000000000 -0.06704 0.16649 0.01179 -0.01952 0.10635 -0.00493 0.99412
47.695000000000 -0.03695 0.21181 0.01069 -0.01451 0.09960 -0.00315 0.99492
47.801000000000 0.01254 0.25878 0.00783 -0.01022 0.08404 -0.00122 0.99641
47.866000000000 0.05061 0.28723 0.00512 -0.00721 0.07244 -0.00014 0.99735
47.966000000000 0.11781 0.32915 -0.00093 -0.00277 0.05679 0.00131 0.99838
48.067000000000 0.19348 0.36815 -0.00717 0.00168 0.04323 0.00238 0.99906
48.164000000000 0.27106 0.40438 -0.01296 0.00602 0.03068 0.00301 0.99951
48.263000000000 0.35173 0.43630 -0.01995 0.00937 0.02047 0.00338 0.99974
48.370000000000 0.43954 0.46644 -0.02848 0.01204 0.01057 0.00344 0.99987
48.438000000000 0.49493 0.48322 -0.03414 0.01308 0.00419 0.00330 0.99990
48.537000000000 0.57229 0.50329 -0.04145 0.01378 -0.00332 0.00297 0.99990
48.632000000000 0.64171 0.51755 -0.04699 0.01359 -0.00882 0.00251 0.99987
48.736000000000 0.71344 0.52858 -0.05236 0.01227 -0.01423 0.00199 0.99982
48.835000000000 0.77411 0.53359 -0.05677 0.01034 -0.01733 0.00145 0.99980
48.934000000000 0.82935 0.53588 -0.05986 0.00776 -0.01859 0.00094 0.99980
49.032000000000 0.87660 0.53376 -0.06222 0.00448 -0.01973 0.00045 0.99980
49.128000000000 0.91691 0.52962 -0.06235 0.00088 -0.02048 0.00010 0.99979
49.210000000000 0.94540 0.52379 -0.06270 -0.00235 -0.02060 -0.00005 0.99979
49.303000000000 0.97265 0.51629 -0.06133 -0.00614 -0.02035 -0.00018 0.99977
49.401000000000 0.99462 0.50772 -0.06046 -0.01030 -0.01970 -0.00024 0.99975
49.497000000000 1.01049 0.49952 -0.05897 -0.01444 -0.01876 -0.00008 0.99972
49.592000000000 1.02132 0.49241 -0.05597 -0.01850 -0.01780 0.00074 0.99967
49.688000000000 1.02655 0.48674 -0.05405 -0.02236 -0.01662 0.00214 0.99961
49.780000000000 1.02699 0.48334 -0.05181 -0.02544 -0.01510 0.00369 0.99956
49.874000000000 1.02313 0.48256 -0.04963 -0.02843 -0.01395 0.00535 0.99948
49.973000000000 1.01469 0.48526 -0.04755 -0.03087 -0.01264 0.00701 0.99942
50.068000000000 1.00316 0.49155 -0.04505 -0.03216 -0.01107 0.00840 0.99939
50.162000000000 0.98781 0.50169 -0.04348 -0.03319 -0.01007 0.00955 0.99935
50.260000000000 0.96843 0.51643 -0.04202 -0.03405 -0.00944 0.01038 0.99932
50.355000000000 0.94689 0.53454 -0.04039 -0.03366 -0.00823 0.01100 0.99934
50.449000000000 0.92243 0.55636 -0.03947 -0.03214 -0.00667 0.01121 0.99940
50.547000000000 0.89506 0.58283 -0.03865 -0.03091 -0.00593 0.01128 0.99944
50.646000000000 0.86487 0.61309 -0.03819 -0.02968 -0.00537 0.01112 0.99948
50.744000000000 0.83335 0.64641 -0.03798 -0.02705 -0.00404 0.01078 0.99957
50.840000000000 0.80086 0.68146 -0.03818 -0.02490 -0.00332 0.01042 0.99963
50.937000000000 0.76698 0.71953 -0.03870 -0.02291 -0.00293 0.00994 0.99968
51.037000000000 0.73085 0.76018 -0.03929 -0.02109 -0.00279 0.00960 0.99973
51.129000000000 0.69653 0.79961 -0.04043 -0.01863 -0.00195 0.00919 0.99978
51.216000000000 0.66334 0.83683 -0.04117 -0.01544 -0.00044 0.00896 0.99984
51.314000000000 0.62496 0.88029 -0.04261 -0.01296 0.00037 0.00860 0.99988
51.411000000000 0.58643 0.92259 -0.04352 -0.01159 0.00049 0.00845 0.99990
51.512000000000 0.54518 0.96742 -0.04518 -0.00901 0.00179 0.00826 0.99992
51.610000000000 0.50562 1.00950 -0.04628 -0.00702 0.00312 0.00822 0.99994
51.705000000000 0.46589 1.05030 -0.04775 -0.00639 0.00350 0.00817 0.99994
51.774000000000 0.43804 1.07845 -0.04833 -0.00620 0.00378 0.00818 0.99994
51.874000000000 0.39703 1.11847 -0.04910 -0.00500 0.00533 0.00828 0.99994
51.975000000000 0.35693 1.15716 -0.04967 -0.00432 0.00682 0.00828 0.99993
52.074000000000 0.31846 1.19347 -0.04980 -0.00442 0.00775 0.00840 0.99992
52.169000000000 0.28269 1.22700 -0.05002 -0.00391 0.00954 0.00918 0.99990
52.265000000000 0.24841 1.25911 -0.04989 -0.00383 0.01096 0.01043 0.99988
52.371000000000 0.21203 1.29334 -0.05024 -0.00423 0.01202 0.01212 0.99985
52.437000000000 0.19115 1.31351 -0.05018 -0.00410 0.01310 0.01319 0.99982
52.538000000000 0.15975 1.34390 -0.05041 -0.00438 0.01442 0.01484 0.99978
52.638000000000 0.13211 1.37232 -0.05058 -0.00536 0.01535 0.01636 0.99973
52.735000000000 0.10717 1.39908 -0.05081 -0.00635 0.01597 0.01748 0.99970
52.832000000000 0.08581 1.42467 -0.05119 -0.00671 0.01693 0.01830 0.99967
52.930000000000 0.06591 1.45072 -0.05161 -0.00752 0.01756 0.01885 0.99964
53.029000000000 0.04971 1.47573 -0.05163 -0.00893 0.01794 0.01921 0.99961
53.125000000000 0.03531 1.50088 -0.05163 -0.00954 0.01807 0.01909 0.99961
53.226000000000 0.02411 1.52699 -0.05162 -0.01025 0.01779 0.01888 0.99961
53.312000000000 0.01610 1.54953 -0.05196 -0.01142 0.01740 0.01863 0.99961
53.405000000000 0.00948 1.57366 -0.05198 -0.01254 0.01667 0.01833 0.99961
53.502000000000 0.00479 1.59911 -0.05191 -0.01305 0.01569 0.01800 0.99963
53.602000000000 0.00215 1.62635 -0.05236 -0.01435 0.01455 0.01763 0.99964
53.703000000000 0.00143 1.65468 -0.05259 -0.01499 0.01319 0.01731 0.99965
53.770000000000 0.00155 1.67339 -0.05241 -0.01529 0.01215 0.01716 0.99966
53.872000000000 0.00380 1.70457 -0.05319 -0.01654 0.01067 0.01683 0.99966
53.973000000000 0.00706 1.73643 -0.05383 -0.01720 0.00918 0.01666 0.99967
54.074000000000 0.00993 1.76976 -0.05451 -0.01719 0.00757 0.01653 0.99969
54.169000000000 0.01428 1.80299 -0.05534 -0.01778 0.00623 0.01649 0.99969
54.269000000000 0.01833 1.83890 -0.05583 -0.01879 0.00502 0.01651 0.99967
54.367000000000 0.02318 1.87604 -0.05662 -0.01846 0.00378 0.01663 0.99968
54.436000000000 0.02634 1.90301 -0.05648 -0.01758 0.00293 0.01662 0.99970
54.532000000000 0.03087 1.94219 -0.05756 -0.01694 0.00201 0.01667 0.99972
54.631000000000 0.03548 1.98344 -0.05784 -0.01586 0.00125 0.01670 0.99973
54.729000000000 0.03944 2.02573 -0.05887 -0.01365 0.00072 0.01708 0.99976
54.830000000000 0.04342 2.07019 -0.05909 -0.01213 0.00038 0.01814 0.99976
54.929000000000 0.04584 2.11402 -0.06054 -0.01101 0.00034 0.01953 0.99975
55.028000000000 0.04834 2.15830 -0.06082 -0.00837 0.00056 0.02110 0.99974
55.130000000000 0.04951 2.20284 -0.06164 -0.00502 0.00083 0.02291 0.99972
55.226000000000 0.05074 2.24435 -0.06168 -0.00238 0.00118 0.02436 0.99970
55.324000000000 0.05100 2.28545 -0.06272 0.00098 0.00161 0.02550 0.99967
55.412000000000 0.05072 2.31969 -0.06271 0.00360 0.00203 0.02632 0.99965
55.510000000000 0.05052 2.35622 -0.06376 0.00618 0.00254 0.02698 0.99961
55.579000000000 0.04996 2.37905 -0.06327 0.00848 0.00296 0.02726 0.99959
55.678000000000 0.04970 2.41062 -0.06361 0.01182 0.00345 0.02747 0.99955
55.777000000000 0.04928 2.43665 -0.06327 0.01487 0.00400 0.02732 0.99951
55.873000000000 0.04923 2.45916 -0.06328 0.01760 0.00442 0.02715 0.99947
55.973000000000 0.04911 2.47584 -0.06252 0.02015 0.00469 0.02684 0.99943
56.073000000000 0.04970 2.48892 -0.06237 0.02248 0.00490 0.02646 0.99938
56.167000000000 0.05041 2.49584 -0.06133 0.02392 0.00504 0.02606 0.99936
56.264000000000 0.05143 2.49772 -0.05994 0.02453 0.00489 0.02568 0.99936
56.356000000000 0.05227 2.49411 -0.05793 0.02511 0.00454 0.02531 0.99935
56.450000000000 0.05423 2.48706 -0.05723 0.02561 0.00396 0.02510 0.99935
56.547000000000 0.05629 2.47473 -0.05602 0.02503 0.00338 0.02483 0.99937
56.646000000000 0.05842 2.45641 -0.05458 0.02378 0.00255 0.02473 0.99941
56.748000000000 0.06046 2.43270 -0.05331 0.02303 0.00159 0.02465 0.99943
56.846000000000 0.06213 2.40499 -0.05197 0.02155 0.00067 0.02470 0.99946
56.912000000000 0.06249 2.38384 -0.05105 0.01959 0.00005 0.02474 0.99950
57.009000000000 0.06364 2.35119 -0.05072 0.01739 -0.00092 0.02475 0.99954
57.108000000000 0.06422 2.31426 -0.05037 0.01512 -0.00182 0.02485 0.99958
57.212000000000 0.06378 2.27209 -0.04985 0.01232 -0.00258 0.02503 0.99961
57.310000000000 0.06295 2.23064 -0.04993 0.01086 -0.00332 0.02541 0.99961
57.405000000000 0.06087 2.18815 -0.05057 0.00958 -0.00407 0.02638 0.99960
57.493000000000 0.05803 2.14844 -0.05204 0.00680 -0.00413 0.02761 0.99959
57.591000000000 0.05378 2.10382 -0.05318 0.00411 -0.00406 0.02924 0.99956
57.692000000000 0.04800 2.05733 -0.05519 0.00254 -0.00399 0.03100 0.99951
57.791000000000 0.04145 2.01122 -0.05698 0.00080 -0.00351 0.03264 0.99946
57.890000000000 0.03365 1.96569 -0.05957 -0.00193 -0.00209 0.03395 0.99942
57.990000000000 0.02514 1.92055 -0.06181 -0.00359 -0.00064 0.03495 0.99938
58.058000000000 0.01885 1.89069 -0.06399 -0.00413 0.00037 0.03554 0.99936
58.157000000000 0.00977 1.84798 -0.06650 -0.00578 0.00236 0.03607 0.99933
58.255000000000 0.00044 1.80739 -0.06930 -0.00699 0.00452 0.03636 0.99930
58.353000000000 -0.00773 1.76812 -0.07182 -0.00732 0.00677 0.03633 0.99929
58.454000000000 -0.01585 1.73050 -0.07405 -0.00837 0.00929 0.03617 0.99927
58.551000000000 -0.02113 1.69618 -0.07485 -0.00925 0.01169 0.03593 0.99924
58.651000000000 -0.02597 1.66395 -0.07572 -0.00978 0.01424 0.03546 0.99922
58.748000000000 -0.02690 1.63587 -0.07538 -0.01044 0.01632 0.03499 0.99920
58.849000000000 -0.02643 1.60859 -0.07493 -0.01066 0.01856 0.03463 0.99917
58.917000000000 -0.02295 1.59273 -0.07367 -0.01091 0.01971 0.03444 0.99915
59.016000000000 -0.01719 1.56928 -0.07175 -0.01113 0.02111 0.03433 0.99913
59.119000000000 -0.00720 1.54874 -0.06842 -0.01085 0.02272 0.03412 0.99910
59.213000000000 0.00649 1.53394 -0.06377 -0.01046 0.02397 0.03390 0.99908
59.315000000000 0.02367 1.51979 -0.05858 -0.01022 0.02389 0.03376 0.99909
59.413000000000 0.04398 1.50873 -0.05280 -0.00984 0.02333 0.03376 0.99911
59.511000000000 0.06860 1.50079 -0.04645 -0.00948 0.02209 0.03379 0.99914
59.600000000000 0.09293 1.49389 -0.04059 -0.00892 0.01995 0.03390 0.99919
59.699000000000 0.12267 1.48826 -0.03407 -0.00814 0.01788 0.03401 0.99923
59.801000000000 0.15610 1.48480 -0.02729 -0.00717 0.01628 0.03411 0.99926
59.866000000000 0.17812 1.48298 -0.02333 -0.00641 0.01479 0.03421 0.99928
59.963000000000 0.21201 1.48179 -0.01815 -0.00522 0.01125 0.03488 0.99931
60.060000000000 0.24700 1.48211 -0.01436 -0.00410 0.00794 0.03611 0.99931
