# time x y z qx qy qz qw
50.022000000000 -0.03317 0.05682 0.03293 -0.07844 0.04806 -0.00810 0.99573
50.123000000000 -0.03405 0.10603 0.02892 -0.05355 0.09307 -0.01097 0.99416
50.226000000000 -0.02135 0.15925 0.02810 -0.02887 0.12304 -0.01143 0.99192
50.332000000000 0.01438 0.21753 0.02559 -0.00978 0.12666 -0.00965 0.99185
50.432000000000 0.06897 0.27303 0.02163 0.00190 0.11127 -0.00676 0.99377
50.500000000000 0.11603 0.30998 0.01700 0.00717 0.09624 -0.00444 0.99532
50.601000000000 0.19866 0.35995 0.00948 0.01323 0.07168 -0.00109 0.99734
50.703000000000 0.29126 0.40458 0.00049 0.01854 0.04500 0.00178 0.99881
50.801000000000 0.38531 0.44239 -0.00754 0.02283 0.02360 0.00395 0.99945
50.895000000000 0.47763 0.47294 -0.01556 0.02539 0.00767 0.00534 0.99963
50.994000000000 0.57412 0.49961 -0.02342 0.02624 -0.00743 0.00607 0.99961
51.094000000000 0.66901 0.52014 -0.03121 0.02529 -0.01932 0.00610 0.99947
51.188000000000 0.75003 0.53196 -0.03798 0.02247 -0.02847 0.00560 0.99933
51.288000000000 0.82309 0.53612 -0.04429 0.01769 -0.03545 0.00480 0.99920
51.381000000000 0.89224 0.53772 -0.04891 0.01221 -0.03898 0.00382 0.99916
51.476000000000 0.93480 0.53099 -0.05198 0.00562 -0.04040 0.00283 0.99916
51.571000000000 0.97174 0.52192 -0.05374 -0.00168 -0.04007 0.00184 0.99919
51.669000000000 0.99850 0.51099 -0.05349 -0.00948 -0.03866 0.00094 0.99921
51.734000000000 1.01186 0.50375 -0.05316 -0.01472 -0.03730 0.00045 0.99920
51.830000000000 1.02403 0.49473 -0.05044 -0.02212 -0.03471 -0.00007 0.99915
51.951000000000 1.02982 0.48683 -0.04819 -0.03032 -0.03050 -0.00055 0.99907
52.044000000000 1.02657 0.48478 -0.04590 -0.03630 -0.02763 -0.00080 0.99896
52.130000000000 1.01819 0.48606 -0.04075 -0.04078 -0.02534 -0.00082 0.99885
52.222000000000 1.00382 0.49293 -0.03818 -0.04348 -0.02232 -0.00073 0.99880
52.317000000000 0.98395 0.50607 -0.03590 -0.04552 -0.01989 -0.00014 0.99877
52.412000000000 0.95958 0.52501 -0.03278 -0.04614 -0.01766 0.00109 0.99878
52.506000000000 0.93074 0.54984 -0.03143 -0.04476 -0.01485 0.00260 0.99888
52.600000000000 0.89898 0.58007 -0.02969 -0.04336 -0.01339 0.00437 0.99896
52.697000000000 0.86206 0.61689 -0.02952 -0.04010 -0.01151 0.00615 0.99911
52.798000000000 0.82133 0.66055 -0.02951 -0.03550 -0.00946 0.00771 0.99930
52.896000000000 0.77939 0.70735 -0.03017 -0.03211 -0.00884 0.00907 0.99940
52.996000000000 0.73423 0.75870 -0.03150 -0.02729 -0.00742 0.01013 0.99955
53.094000000000 0.68785 0.81155 -0.03335 -0.02192 -0.00550 0.01069 0.99969
53.192000000000 0.64007 0.86579 -0.03551 -0.01760 -0.00445 0.01097 0.99977
53.259000000000 0.60685 0.90338 -0.03711 -0.01410 -0.00294 0.01107 0.99984
53.362000000000 0.55469 0.96110 -0.03958 -0.00990 -0.00116 0.01102 0.99989
53.465000000000 0.50219 1.01735 -0.04197 -0.00774 -0.00049 0.01079 0.99991
53.560000000000 0.45304 1.06779 -0.04347 -0.00535 0.00139 0.01045 0.99993
53.656000000000 0.40383 1.11678 -0.04464 -0.00287 0.00424 0.01005 0.99994
53.756000000000 0.35406 1.16520 -0.04563 -0.00155 0.00669 0.00964 0.99993
53.856000000000 0.30552 1.21124 -0.04674 -0.00088 0.00909 0.00911 0.99992
53.954000000000 0.25996 1.25382 -0.04782 -0.00033 0.01199 0.00872 0.99989
54.022000000000 0.22926 1.28248 -0.04878 -0.00047 0.01383 0.00848 0.99987
54.118000000000 0.18947 1.31955 -0.04934 -0.00157 0.01583 0.00824 0.99984
54.234000000000 0.14372 1.36319 -0.05061 -0.00241 0.01865 0.00810 0.99979
54.334000000000 0.11018 1.39712 -0.05054 -0.00379 0.02065 0.00807 0.99975
54.428000000000 0.08027 1.42909 -0.05149 -0.00594 0.02178 0.00807 0.99971
54.525000000000 0.05611 1.45966 -0.05057 -0.00783 0.02288 0.00808 0.99967
54.620000000000 0.03401 1.49051 -0.05105 -0.00877 0.02366 0.00812 0.99965
54.718000000000 0.01882 1.52082 -0.04951 -0.01080 0.02394 0.00817 0.99962
54.783000000000 0.00917 1.54144 -0.04972 -0.01273 0.02355 0.00826 0.99961
54.882000000000 0.00070 1.57242 -0.04847 -0.01461 0.02245 0.00856 0.99960
54.979000000000 -0.00652 1.60456 -0.04891 -0.01631 0.02091 0.00939 0.99960
55.079000000000 -0.00986 1.63839 -0.04848 -0.01889 0.01900 0.01088 0.99958
55.173000000000 -0.00828 1.67084 -0.04669 -0.02079 0.01682 0.01261 0.99956
55.274000000000 -0.00640 1.70809 -0.04715 -0.02172 0.01402 0.01427 0.99956
55.374000000000 -0.00183 1.74726 -0.04653 -0.02350 0.01121 0.01579 0.99954
55.474000000000 0.00348 1.78929 -0.04755 -0.02513 0.00858 0.01714 0.99950
55.575000000000 0.00988 1.83422 -0.04775 -0.02424 0.00571 0.01816 0.99952
55.640000000000 0.01416 1.86470 -0.04852 -0.02379 0.00397 0.01868 0.99953
55.738000000000 0.02054 1.91246 -0.04897 -0.02382 0.00176 0.01910 0.99953
55.833000000000 0.02685 1.96104 -0.05022 -0.02224 0.00000 0.01927 0.99957
55.935000000000 0.03236 2.01492 -0.05119 -0.01986 -0.00147 0.01930 0.99962
56.035000000000 0.03744 2.06905 -0.05304 -0.01777 -0.00237 0.01906 0.99966
56.132000000000 0.04080 2.12225 -0.05407 -0.01399 -0.00270 0.01880 0.99972
56.233000000000 0.04380 2.17818 -0.05550 -0.00843 -0.00263 0.01835 0.99979
56.319000000000 0.04442 2.22525 -0.05606 -0.00402 -0.00232 0.01791 0.99983
56.421000000000 0.04528 2.27967 -0.05801 0.00084 -0.00165 0.01746 0.99985
56.518000000000 0.04412 2.32895 -0.05917 0.00632 -0.00072 0.01708 0.99983
56.617000000000 0.04379 2.37594 -0.06039 0.01240 0.00039 0.01673 0.99978
56.686000000000 0.04244 2.40557 -0.06090 0.01640 0.00109 0.01657 0.99973
56.784000000000 0.04190 2.44393 -0.06184 0.02189 0.00219 0.01637 0.99962
56.881000000000 0.04013 2.47358 -0.06217 0.02692 0.00308 0.01632 0.99950
56.977000000000 0.03982 2.49749 -0.06243 0.03132 0.00378 0.01624 0.99937
57.075000000000 0.03943 2.51310 -0.06121 0.03461 0.00416 0.01623 0.99926
57.174000000000 0.04042 2.52165 -0.06055 0.03664 0.00404 0.01638 0.99919
57.268000000000 0.04199 2.52059 -0.05923 0.03808 0.00364 0.01653 0.99913
57.365000000000 0.04409 2.51174 -0.05750 0.03902 0.00269 0.01669 0.99910
57.463000000000 0.04682 2.49427 -0.05498 0.03742 0.00143 0.01696 0.99915
57.559000000000 0.04965 2.47194 -0.05355 0.03572 -0.00009 0.01789 0.99920
57.657000000000 0.05239 2.44118 -0.05196 0.03409 -0.00197 0.01935 0.99923
57.754000000000 0.05456 2.40438 -0.05055 0.03034 -0.00384 0.02095 0.99931
57.859000000000 0.05604 2.35818 -0.04880 0.02606 -0.00581 0.02272 0.99939
57.956000000000 0.05616 2.31177 -0.04816 0.02083 -0.00729 0.02421 0.99946
58.024000000000 0.05554 2.27669 -0.04752 0.01725 -0.00830 0.02514 0.99950
58.126000000000 0.05274 2.22162 -0.04871 0.01321 -0.00957 0.02632 0.99952
58.227000000000 0.04882 2.16463 -0.04940 0.01004 -0.01037 0.02723 0.99953
58.330000000000 0.04214 2.10485 -0.05159 0.00481 -0.01006 0.02773 0.99955
58.417000000000 0.03564 2.05384 -0.05293 0.00060 -0.00889 0.02792 0.99957
58.519000000000 0.02595 1.99412 -0.05527 -0.00308 -0.00704 0.02802 0.99958
58.624000000000 0.01376 1.93318 -0.05896 -0.00792 -0.00391 0.02780 0.99957
58.691000000000 0.00687 1.89609 -0.06047 -0.01056 -0.00151 0.02758 0.99956
58.793000000000 -0.00430 1.84194 -0.06358 -0.01289 0.00233 0.02715 0.99955
58.893000000000 -0.01594 1.79103 -0.06691 -0.01454 0.00652 0.02685 0.99951
58.999000000000 -0.02517 1.74110 -0.06932 -0.01675 0.01123 0.02662 0.99944
59.070000000000 -0.02976 1.70935 -0.07012 -0.01760 0.01457 0.02643 0.99939
59.168000000000 -0.03429 1.66953 -0.07088 -0.01821 0.01914 0.02610 0.99931
59.269000000000 -0.03613 1.63276 -0.07070 -0.01906 0.02322 0.02584 0.99921
59.368000000000 -0.03229 1.60215 -0.06859 -0.01989 0.02649 0.02568 0.99912
59.467000000000 -0.02479 1.57419 -0.06523 -0.02019 0.02955 0.02555 0.99903
59.565000000000 -0.01057 1.55285 -0.06014 -0.02009 0.03163 0.02555 0.99897
59.660000000000 0.00764 1.53360 -0.05429 -0.01984 0.03115 0.02563 0.99899
59.758000000000 0.03315 1.52011 -0.04655 -0.01916 0.03023 0.02561 0.99903
59.850000000000 0.06041 1.50874 -0.03885 -0.01805 0.02925 0.02566 0.99908
59.947000000000 0.09368 1.50028 -0.03046 -0.01652 0.02600 0.02567 0.99920
60.044000000000 0.13200 1.49499 -0.02202 -0.01497 0.02178 0.02589 0.99932
60.142000000000 0.17308 1.49113 -0.01372 -0.01317 0.01748 0.02669 0.99940
60.241000000000 0.21789 1.49031 -0.00695 -0.01138 0.01194 0.02800 0.99947
60.339000000000 0.26231 1.49118 -0.00133 -0.00945 0.00504 0.02957 0.99951
60.405000000000 0.29298 1.49275 0.00057 -0.00805 0.00090 0.03069 0.99950
60.526000000000 0.34692 1.49632 0.00187 -0.00566 -0.00518 0.03269 0.99944
60.595000000000 0.37669 1.49901 -0.00084 -0.00431 -0.00866 0.03376 0.99938
60.693000000000 0.41652 1.50277 -0.00659 -0.00244 -0.01289 0.03504 0.99930
60.790000000000 0.45338 1.50693 -0.01773 -0.00081 -0.01528 0.03588 0.99924
60.888000000000 0.48627 1.51099 -0.03269 0.00059 -0.01654 0.03650 0.99920
60.983000000000 0.51464 1.51445 -0.05228 0.00164 -0.01558 0.03679 0.99920
61.074000000000 0.53835 1.51724 -0.07640 0.00239 -0.01232 0.03687 0.99924
61.173000000000 0.56151 1.51907 -0.10586 0.00300 -0.00729 0.03664 0.99930
61.271000000000 0.58311 1.52022 -0.13989 0.00330 -0.00126 0.03621 0.99934
61.371000000000 0.60572 1.52026 -0.17825 0.00353 0.00703 0.03587 0.99933
61.467000000000 0.62874 1.51963 -0.21820 0.00353 0.01643 0.03544 0.99923
61.568000000000 0.65576 1.51842 -0.26208 0.00318 0.02472 0.03504 0.99908
61.667000000000 0.68624 1.51671 -0.30632 0.00264 0.03268 0.03466 0.99886
