# time x y z qx qy qz qw
66.430000000000 -0.03019 0.08965 0.04503 -0.04197 0.11409 -0.00786 0.99255
66.531000000000 0.01183 0.20239 0.03635 -0.01926 0.13201 -0.01306 0.99097
66.600000000000 0.04170 0.24418 0.02851 -0.00613 0.13024 -0.01162 0.99140
66.700000000000 0.10204 0.30367 0.02366 0.00665 0.11280 -0.00835 0.99356
66.804000000000 0.18341 0.36098 0.01755 0.01428 0.08746 -0.00449 0.99606
66.907000000000 0.27515 0.41066 0.00925 0.01948 0.06083 -0.00092 0.99796
67.007000000000 0.37227 0.45315 0.00117 0.02400 0.03490 0.00190 0.99910
67.108000000000 0.47501 0.48939 -0.00669 0.02748 0.01013 0.00395 0.99956
67.177000000000 0.54550 0.51028 -0.01248 0.02883 -0.00299 0.00479 0.99957
67.278000000000 0.64287 0.53121 -0.02017 0.02892 -0.01689 0.00543 0.99942
67.378000000000 0.73196 0.54366 -0.02743 0.02656 -0.02769 0.00534 0.99925
67.471000000000 0.80547 0.54798 -0.03386 0.02229 -0.03485 0.00484 0.99913
67.568000000000 0.87089 0.54637 -0.03932 0.01638 -0.03912 0.00402 0.99909
67.664000000000 0.92428 0.53984 -0.04268 0.00934 -0.04090 0.00292 0.99912
67.762000000000 0.96873 0.53076 -0.04369 0.00136 -0.04104 0.00182 0.99915
67.858000000000 0.99944 0.51910 -0.04397 -0.00710 -0.04003 0.00087 0.99917
67.943000000000 1.01947 0.50925 -0.04310 -0.01472 -0.03830 0.00013 0.99916
68.038000000000 1.03080 0.49919 -0.04078 -0.02313 -0.03614 -0.00044 0.99908
68.133000000000 1.03553 0.49247 -0.03841 -0.03053 -0.03285 -0.00101 0.99899
68.227000000000 1.03052 0.48969 -0.03471 -0.03653 -0.02898 -0.00131 0.99891
68.325000000000 1.01964 0.49214 -0.03174 -0.04171 -0.02544 -0.00142 0.99880
68.421000000000 1.00146 0.50060 -0.02779 -0.04597 -0.02309 -0.00142 0.99867
68.515000000000 0.97955 0.51532 -0.02528 -0.04744 -0.02003 -0.00128 0.99867
68.616000000000 0.95091 0.53827 -0.02316 -0.04782 -0.01740 -0.00038 0.99870
68.710000000000 0.92010 0.56577 -0.02086 -0.04723 -0.01576 0.00104 0.99876
68.802000000000 0.88647 0.59869 -0.01983 -0.04488 -0.01374 0.00257 0.99889
68.898000000000 0.84794 0.63846 -0.01901 -0.03985 -0.01063 0.00434 0.99914
68.996000000000 0.80579 0.68394 -0.01875 -0.03411 -0.00779 0.00605 0.99937
69.095000000000 0.76092 0.73383 -0.01906 -0.02971 -0.00680 0.00762 0.99951
69.197000000000 0.71288 0.78832 -0.02003 -0.02410 -0.00512 0.00886 0.99966
69.294000000000 0.66594 0.84193 -0.02143 -0.01944 -0.00402 0.00983 0.99975
69.390000000000 0.61830 0.89588 -0.02299 -0.01612 -0.00381 0.01051 0.99981
69.456000000000 0.58466 0.93317 -0.02442 -0.01305 -0.00269 0.01078 0.99985
69.551000000000 0.53545 0.98667 -0.02585 -0.00862 -0.00013 0.01090 0.99990
69.648000000000 0.48498 1.04004 -0.02624 -0.00554 0.00194 0.01080 0.99992
69.747000000000 0.43340 1.09250 -0.02762 -0.00263 0.00492 0.01052 0.99993
69.849000000000 0.38092 1.14411 -0.02848 -0.00033 0.00841 0.01006 0.99991
69.938000000000 0.33647 1.18678 -0.02911 0.00015 0.01050 0.00955 0.99990
70.037000000000 0.28879 1.23206 -0.02975 0.00019 0.01307 0.00905 0.99987
70.131000000000 0.24531 1.27287 -0.02933 0.00026 0.01615 0.00864 0.99983
70.231000000000 0.20223 1.31339 -0.02979 -0.00092 0.01870 0.00831 0.99979
70.329000000000 0.16280 1.35137 -0.02884 -0.00211 0.02130 0.00796 0.99974
70.427000000000 0.12690 1.38744 -0.02926 -0.00362 0.02355 0.00782 0.99969
70.527000000000 0.09441 1.42254 -0.02826 -0.00524 0.02542 0.00766 0.99963
70.626000000000 0.06705 1.45587 -0.02868 -0.00677 0.02694 0.00762 0.99958
70.693000000000 0.05097 1.47803 -0.02788 -0.00825 0.02745 0.00765 0.99956
70.791000000000 0.03212 1.50973 -0.02836 -0.01135 0.02760 0.00768 0.99953
