# time x y z qx qy qz qw
1547124725.000195980072 4.19231 0.78605 0.20490 0.01023 -0.01076 -0.16735 0.98579
1547124725.099712848663 4.16834 0.85571 0.19788 0.01285 -0.01251 -0.16857 0.98553
1547124725.232415676117 4.13606 0.94438 0.20122 0.01451 -0.00724 -0.17164 0.98503
1547124725.365098237991 4.09069 1.01351 0.20238 0.01775 -0.00574 -0.17190 0.98494
1547124725.398271083832 4.07957 1.02819 0.20355 0.02026 -0.00510 -0.17136 0.98499
1547124725.530961990356 4.03456 1.09148 0.20417 0.02622 -0.00402 -0.17198 0.98474
1547124725.663655757904 3.98096 1.13673 0.20103 0.03336 -0.00409 -0.17512 0.98397
1547124725.696826696396 3.96675 1.14073 0.19816 0.03496 -0.00396 -0.17599 0.98376
1547124725.796345710754 3.92589 1.16160 0.18398 0.03454 -0.00403 -0.18128 0.98282
1547124725.962213516235 3.83992 1.18345 0.17125 0.03253 -0.01097 -0.19410 0.98038
1547124725.995385885239 3.81676 1.18858 0.16886 0.03132 -0.01331 -0.19693 0.97983
1547124726.094905853271 3.75995 1.18997 0.16503 0.03034 -0.01350 -0.20541 0.97811
1547124726.227593898773 3.67889 1.18430 0.17044 0.03153 -0.01413 -0.21522 0.97595
1547124726.393460750580 3.56167 1.16497 0.16861 0.03464 -0.01817 -0.22148 0.97438
1547124726.426633834839 3.52823 1.15253 0.16316 0.03843 -0.02127 -0.22191 0.97408
1547124726.559324741364 3.41861 1.11744 0.16433 0.04303 -0.01949 -0.22282 0.97372
1547124726.592500925064 3.39032 1.10786 0.16589 0.04375 -0.01885 -0.22315 0.97362
1547124726.692021131516 3.29889 1.07454 0.17102 0.04501 -0.01638 -0.22303 0.97363
1547124726.857882738113 3.14641 1.01250 0.18678 0.04233 -0.01395 -0.22435 0.97349
1547124726.891055583954 3.11509 0.99230 0.17659 0.04164 -0.01458 -0.22358 0.97369
1547124726.990580797195 3.02159 0.93282 0.15982 0.04022 -0.01547 -0.22164 0.97418
1547124727.156439065933 2.84585 0.81953 0.13913 0.03225 -0.01432 -0.21838 0.97523
1547124727.189611673355 2.81044 0.79114 0.14193 0.03147 -0.01301 -0.21740 0.97549
1547124727.289131641388 2.69929 0.70755 0.13654 0.02949 -0.01398 -0.21582 0.97589
1547124727.421821832657 2.54959 0.59495 0.14143 0.02333 -0.01335 -0.21437 0.97638
1547124727.554517745972 2.40522 0.48690 0.14802 0.01594 -0.00789 -0.21418 0.97663
1547124727.587687730789 2.37091 0.45601 0.14465 0.01492 -0.00613 -0.21480 0.97652
1547124727.687206745148 2.26384 0.36605 0.13689 0.01282 -0.00580 -0.21550 0.97640
1547124727.819901704788 2.11559 0.24682 0.14590 0.01121 -0.00446 -0.21484 0.97658
1547124727.952594757080 1.96445 0.13043 0.16167 0.01148 -0.00771 -0.21287 0.97698
1547124727.985763788223 1.92999 0.10291 0.15398 0.00971 -0.01002 -0.21278 0.97700
1547124728.085282802582 1.82099 0.01786 0.15182 0.00802 -0.00952 -0.21243 0.97710
1547124728.217974662781 1.66925 -0.09712 0.15704 0.00825 -0.00757 -0.21250 0.97710
1547124728.317492723465 1.55309 -0.18750 0.16191 0.00803 -0.00500 -0.21174 0.97728
1547124728.450191020966 1.39143 -0.30426 0.18003 0.00441 -0.00070 -0.21161 0.97734
1547124728.483358860016 1.35888 -0.33121 0.16639 0.00139 -0.00192 -0.21176 0.97732
1547124728.582878828049 1.25150 -0.41205 0.15131 -0.00141 -0.00243 -0.21179 0.97731
1547124728.748743057251 1.06683 -0.54261 0.14028 -0.00531 0.00075 -0.21008 0.97767
1547124728.781917333603 1.03304 -0.56374 0.13434 -0.00581 0.00036 -0.20938 0.97782
1547124728.881435871124 0.92857 -0.63027 0.13471 -0.00792 0.00250 -0.20858 0.97797
1547124728.980963706970 0.81841 -0.69288 0.14120 -0.01217 0.00526 -0.20735 0.97818
1547124729.113647699356 0.68213 -0.77015 0.13971 -0.01390 0.00990 -0.20556 0.97849
1547124729.246339797974 0.54297 -0.84337 0.13960 -0.01626 0.01288 -0.20285 0.97899
1547124729.279511928558 0.51353 -0.85940 0.13361 -0.01709 0.01311 -0.20254 0.97904
