# time x y z qx qy qz qw
1547124725.099712848663 4.06891 1.02325 0.08816 0.00607 -0.01236 -0.13564 0.99066
1547124725.132885694504 4.06019 1.04662 0.09333 0.00771 -0.01068 -0.13623 0.99059
1547124725.232415676117 4.03178 1.10266 0.10284 0.01035 -0.00549 -0.13783 0.99039
1547124725.365098237991 3.98915 1.16781 0.09969 0.01270 -0.00366 -0.13835 0.99030
1547124725.530961990356 3.93555 1.23586 0.09810 0.02049 -0.00128 -0.13983 0.98996
1547124725.564138650894 3.92215 1.24796 0.09882 0.02214 -0.00089 -0.14020 0.98987
1547124725.663655757904 3.87805 1.28019 0.09382 0.02581 -0.00349 -0.14291 0.98939
1547124725.796345710754 3.82761 1.30234 0.08235 0.02750 -0.00110 -0.14895 0.98846
1547124725.829522848129 3.81339 1.30583 0.07972 0.02796 -0.00193 -0.15154 0.98805
1547124725.962213516235 3.75055 1.31676 0.07517 0.02563 -0.00631 -0.16245 0.98636
1547124726.094905853271 3.68196 1.31897 0.07370 0.02210 -0.00669 -0.17385 0.98450
1547124726.128077030182 3.66554 1.31781 0.07503 0.02174 -0.00636 -0.17682 0.98398
1547124726.227593898773 3.60383 1.31564 0.07762 0.02213 -0.00836 -0.18415 0.98261
1547124726.393460750580 3.49614 1.29259 0.07527 0.02435 -0.01340 -0.19113 0.98117
1547124726.426633834839 3.46917 1.28383 0.07421 0.02648 -0.01389 -0.19161 0.98102
1547124726.559324741364 3.37402 1.24548 0.08545 0.03172 -0.00878 -0.19298 0.98065
1547124726.692021131516 3.27492 1.19642 0.09803 0.03402 -0.00368 -0.19346 0.98051
1547124726.725209951401 3.24580 1.17784 0.09551 0.03488 -0.00620 -0.19238 0.98068
1547124726.857882738113 3.13304 1.11848 0.09960 0.03285 -0.00659 -0.19206 0.98081
1547124726.990580797195 3.02640 1.04673 0.08325 0.03023 -0.00758 -0.19079 0.98114
1547124727.023748636246 2.99071 1.02145 0.07735 0.02996 -0.00751 -0.18999 0.98130
1547124727.156439065933 2.86846 0.92894 0.05751 0.02176 -0.00829 -0.18806 0.98188
1547124727.289131641388 2.74040 0.82662 0.04594 0.01542 -0.01008 -0.18673 0.98224
1547124727.322302818298 2.70763 0.79894 0.05514 0.01442 -0.00863 -0.18611 0.98238
1547124727.421821832657 2.60677 0.71736 0.06605 0.01017 -0.00685 -0.18587 0.98250
1547124727.554517745972 2.48721 0.60991 0.07062 0.00257 -0.00228 -0.18559 0.98262
1547124727.687206745148 2.36542 0.50120 0.06227 -0.00188 -0.00199 -0.18765 0.98223
1547124727.720380783081 2.32987 0.47222 0.06407 -0.00254 -0.00222 -0.18807 0.98215
1547124727.819901704788 2.22911 0.39442 0.08252 -0.00338 0.00013 -0.18890 0.98199
1547124727.952594757080 2.09035 0.29003 0.11229 -0.00159 -0.00243 -0.18868 0.98203
1547124728.052110433578 2.00184 0.18376 0.10492 -0.00333 -0.00460 -0.18621 0.98249
1547124728.217974662781 1.83612 0.03567 0.11489 -0.00396 -0.00068 -0.18544 0.98265
1547124728.251148939133 1.80090 0.00151 0.09862 -0.00362 -0.00174 -0.18511 0.98271
1547124728.317492723465 1.72822 -0.05078 0.09498 -0.00546 -0.00295 -0.18452 0.98281
1547124728.450191020966 1.58487 -0.14562 0.11696 -0.01022 0.00172 -0.18497 0.98269
1547124728.582878828049 1.44919 -0.25957 0.12092 -0.01637 0.00104 -0.18495 0.98261
1547124728.616049766541 1.41949 -0.30050 0.09598 -0.01682 -0.00115 -0.18412 0.98276
1547124728.748743057251 1.29493 -0.40022 0.07962 -0.02101 0.00083 -0.18326 0.98284
1547124728.881435871124 1.17690 -0.48443 0.07776 -0.02475 0.00396 -0.18250 0.98289
1547124728.914608716965 1.15004 -0.49632 0.07800 -0.02526 0.00292 -0.18292 0.98280
1547124729.014127969742 1.04269 -0.56885 0.08481 -0.02862 0.00683 -0.18201 0.98286
1547124729.113647699356 0.94308 -0.63793 0.08422 -0.02911 0.01036 -0.18109 0.98298
1547124729.246339797974 0.82539 -0.70499 0.08435 -0.03088 0.01275 -0.17878 0.98332
1547124729.412202835083 0.68183 -0.77293 0.09386 -0.03616 0.01536 -0.17626 0.98356
1547124729.445374727249 0.66940 -0.78558 0.08681 -0.03598 0.01536 -0.17447 0.98389
1547124729.511723756790 0.62074 -0.81106 0.08217 -0.03716 0.01716 -0.17216 0.98422
1547124729.677586793900 0.51049 -0.86103 0.07356 -0.03954 0.01683 -0.16708 0.98501
1547124729.710759878159 0.48941 -0.86528 0.06861 -0.04102 0.01518 -0.16581 0.98519
1547124729.909798860550 0.36679 -0.89237 0.05616 -0.04581 0.00514 -0.15937 0.98614
1547124729.942971944809 0.34890 -0.89375 0.05382 -0.04634 0.00352 -0.15855 0.98626
1547124730.042490959167 0.29569 -0.89410 0.04930 -0.04812 -0.00281 -0.15575 0.98662
1547124730.142011642456 0.24346 -0.88618 0.04840 -0.04926 -0.00488 -0.15294 0.98700
1547124730.274702787399 0.17512 -0.86066 0.04565 -0.05055 -0.00469 -0.14974 0.98742
1547124730.307874202728 0.15638 -0.85391 0.04615 -0.05063 -0.00347 -0.14870 0.98758
1547124730.407394647598 0.10683 -0.82524 0.04770 -0.05013 0.00135 -0.14600 0.98801
1547124730.506913661957 0.05970 -0.78762 0.04968 -0.04928 0.00661 -0.14348 0.98840
1547124730.639605760574 0.00612 -0.72437 0.05168 -0.04928 0.01078 -0.14021 0.98884
1547124730.772294759750 -0.03879 -0.64928 0.05768 -0.04608 0.01575 -0.13686 0.98939
1547124730.805468797684 -0.05075 -0.62943 0.05917 -0.04518 0.01636 -0.13569 0.98958
1547124730.938160657883 -0.09559 -0.54341 0.06354 -0.04222 0.01973 -0.13206 0.99015
1547124731.070868730545 -0.12896 -0.44850 0.06335 -0.03956 0.01951 -0.12921 0.99064
1547124731.104028701782 -0.13623 -0.42276 0.06238 -0.03919 0.01953 -0.12888 0.99069
1547124731.236719608307 -0.16176 -0.31648 0.05944 -0.03828 0.01772 -0.12713 0.99099
1547124731.402582883835 -0.18589 -0.17376 0.05768 -0.03701 0.01518 -0.12681 0.99112
1547124731.435757875443 -0.19040 -0.14094 0.05960 -0.03695 0.01497 -0.12691 0.99111
1547124731.535273790359 -0.19458 -0.04854 0.05568 -0.03614 0.01390 -0.12795 0.99102
1547124731.667967081070 -0.19489 0.07864 0.05227 -0.03634 0.01506 -0.12969 0.99077
1547124731.701138973236 -0.19285 0.11581 0.05049 -0.03630 0.01595 -0.13100 0.99059
1547124731.800661087036 -0.18861 0.22013 0.04972 -0.03394 0.01851 -0.13289 0.99038
1547124731.933352947235 -0.17376 0.35830 0.04037 -0.03054 0.01841 -0.13595 0.99007
1547124732.198734760284 -0.12262 0.64198 0.02787 -0.02460 0.01466 -0.14039 0.98968
1547124732.231907606125 -0.11618 0.69028 0.02997 -0.02395 0.01422 -0.14133 0.98957
1547124732.331427097321 -0.09254 0.80137 0.03335 -0.02126 0.01177 -0.14319 0.98940
