# time x y z qx qy qz qw
1547124725.099712848663 4.24956 0.61827 0.07343 0.00710 -0.01763 -0.20248 0.97910
1547124725.132885694504 4.24517 0.64086 0.08399 0.00885 -0.01466 -0.20264 0.97910
1547124725.232415676117 4.22772 0.71078 0.09724 0.01093 -0.00763 -0.20474 0.97872
1547124725.365098237991 4.18980 0.78440 0.09360 0.01438 -0.00664 -0.20542 0.97855
1547124725.530961990356 4.13789 0.87313 0.09222 0.02096 -0.00561 -0.20648 0.97821
1547124725.564138650894 4.12482 0.88622 0.09902 0.02339 -0.00439 -0.20603 0.97826
1547124725.663655757904 4.08330 0.92863 0.09734 0.02769 -0.00618 -0.20869 0.97757
1547124725.796345710754 4.03027 0.96249 0.08571 0.02864 -0.00422 -0.21427 0.97635
1547124725.829522848129 4.01805 0.96856 0.08085 0.02879 -0.00443 -0.21681 0.97578
1547124725.962213516235 3.94982 0.99305 0.07424 0.02556 -0.00904 -0.22727 0.97345
1547124726.094905853271 3.87378 1.00185 0.07212 0.02291 -0.00978 -0.23792 0.97097
1547124726.128077030182 3.85197 0.99979 0.07182 0.02374 -0.01024 -0.24023 0.97037
1547124726.227593898773 3.78523 1.00131 0.07322 0.02448 -0.01290 -0.24717 0.96858
1547124726.393460750580 3.66498 0.99178 0.06829 0.02632 -0.01882 -0.25390 0.96669
1547124726.426633834839 3.63514 0.98050 0.07136 0.02985 -0.01920 -0.25370 0.96663
1547124726.559324741364 3.52696 0.95258 0.08048 0.03552 -0.01530 -0.25536 0.96607
1547124726.692021131516 3.41330 0.91398 0.09404 0.03769 -0.01036 -0.25564 0.96598
1547124726.725209951401 3.37807 0.90164 0.09434 0.03757 -0.01082 -0.25523 0.96609
1547124726.857882738113 3.24983 0.85288 0.10438 0.03647 -0.00989 -0.25547 0.96608
1547124726.990580797195 3.11517 0.78802 0.08488 0.03275 -0.01111 -0.25384 0.96663
1547124727.023748636246 3.07974 0.76191 0.07540 0.03388 -0.01112 -0.25231 0.96699
1547124727.156439065933 2.93644 0.67791 0.05264 0.02611 -0.01144 -0.25001 0.96782
1547124727.289131641388 2.77776 0.58391 0.04337 0.02176 -0.01342 -0.24846 0.96830
1547124727.322302818298 2.73590 0.55544 0.05666 0.02112 -0.01152 -0.24677 0.96878
1547124727.421821832657 2.61478 0.48200 0.06683 0.01652 -0.00964 -0.24612 0.96905
1547124727.554517745972 2.47059 0.36926 0.06376 0.01046 -0.00466 -0.24539 0.96936
1547124727.687206745148 2.32192 0.26561 0.05335 0.00612 -0.00427 -0.24656 0.96910
1547124727.720380783081 2.28380 0.24005 0.05367 0.00591 -0.00430 -0.24746 0.96887
1547124727.819901704788 2.15935 0.15982 0.07182 0.00649 -0.00197 -0.24790 0.96876
1547124727.952594757080 1.99162 0.05520 0.10063 0.00804 -0.00424 -0.24684 0.96901
1547124728.052110433578 1.87945 -0.03859 0.09804 0.00688 -0.00493 -0.24518 0.96944
1547124728.217974662781 1.68949 -0.17794 0.10997 0.00676 -0.00018 -0.24419 0.96970
1547124728.251148939133 1.65388 -0.20094 0.09485 0.00591 -0.00120 -0.24459 0.96961
1547124728.317492723465 1.56671 -0.25218 0.09701 0.00468 -0.00113 -0.24470 0.96959
1547124728.450191020966 1.39421 -0.34743 0.12071 0.00050 0.00471 -0.24565 0.96935
1547124728.582878828049 1.23255 -0.44684 0.11948 -0.00454 0.00441 -0.24623 0.96919
1547124728.616049766541 1.20000 -0.47467 0.09572 -0.00526 0.00237 -0.24555 0.96937
1547124728.748743057251 1.04531 -0.56921 0.08128 -0.00722 0.00578 -0.24425 0.96967
1547124728.881435871124 0.88663 -0.65832 0.07751 -0.00969 0.00804 -0.24285 0.96998
1547124728.914608716965 0.84097 -0.67595 0.07998 -0.01134 0.00726 -0.24271 0.97001
1547124729.014127969742 0.72936 -0.73026 0.08263 -0.01501 0.01125 -0.24179 0.97015
1547124729.113647699356 0.62176 -0.78565 0.08398 -0.01539 0.01552 -0.24068 0.97036
1547124729.246339797974 0.47847 -0.84940 0.08073 -0.01623 0.01761 -0.23884 0.97076
1547124729.412202835083 0.30459 -0.91327 0.08774 -0.02087 0.01972 -0.23568 0.97141
1547124729.445374727249 0.27221 -0.92673 0.08366 -0.02132 0.01980 -0.23458 0.97166
1547124729.511723756790 0.21390 -0.95050 0.07692 -0.02179 0.02134 -0.23205 0.97223
1547124729.677586793900 0.08310 -0.99309 0.06644 -0.02334 0.02105 -0.22669 0.97346
1547124729.710759878159 0.06647 -0.98943 0.05669 -0.02543 0.01934 -0.22618 0.97356
1547124729.909798860550 -0.06178 -0.99662 0.04347 -0.03123 0.00930 -0.22009 0.97493
1547124729.942971944809 -0.07956 -0.99245 0.04334 -0.03276 0.00821 -0.21926 0.97508
1547124730.042490959167 -0.13332 -0.98317 0.04182 -0.03548 0.00271 -0.21651 0.97563
1547124730.142011642456 -0.18859 -0.96756 0.04337 -0.03665 0.00112 -0.21381 0.97619
1547124730.274702787399 -0.25907 -0.93214 0.04050 -0.03768 0.00108 -0.21026 0.97692
1547124730.307874202728 -0.27351 -0.91920 0.03923 -0.03819 0.00171 -0.20926 0.97711
1547124730.407394647598 -0.32246 -0.88244 0.03954 -0.03764 0.00585 -0.20639 0.97773
1547124730.506913661957 -0.36722 -0.83721 0.03855 -0.03681 0.01038 -0.20362 0.97830
1547124730.639605760574 -0.41855 -0.76178 0.04357 -0.03697 0.01517 -0.19996 0.97899
1547124730.772294759750 -0.46558 -0.67168 0.05158 -0.03433 0.01959 -0.19657 0.97969
1547124730.805468797684 -0.47679 -0.64483 0.05315 -0.03422 0.02002 -0.19569 0.97986
1547124730.938160657883 -0.51112 -0.54600 0.05845 -0.03101 0.02311 -0.19223 0.98059
1547124731.070868730545 -0.53299 -0.43752 0.05904 -0.02876 0.02302 -0.18967 0.98116
1547124731.104028701782 -0.53578 -0.40725 0.06023 -0.02918 0.02357 -0.18951 0.98116
1547124731.236719608307 -0.54688 -0.28872 0.05996 -0.02851 0.02186 -0.18831 0.98145
1547124731.402582883835 -0.55126 -0.13390 0.06023 -0.02736 0.01949 -0.18788 0.98162
1547124731.435757875443 -0.55066 -0.09785 0.06225 -0.02775 0.01905 -0.18822 0.98155
1547124731.535273790359 -0.54159 0.00272 0.06112 -0.02713 0.01810 -0.18968 0.98130
1547124731.667967081070 -0.52490 0.13841 0.05678 -0.02712 0.01893 -0.19158 0.98092
1547124731.701138973236 -0.51703 0.17678 0.05553 -0.02705 0.01971 -0.19280 0.98067
1547124731.800661087036 -0.49835 0.28455 0.05553 -0.02429 0.02216 -0.19464 0.98032
1547124731.933352947235 -0.46510 0.42896 0.05147 -0.02035 0.02228 -0.19701 0.97994
1547124732.198734760284 -0.37459 0.71873 0.04207 -0.01482 0.01791 -0.20107 0.97930
1547124732.231907606125 -0.36172 0.75076 0.04202 -0.01348 0.01693 -0.20123 0.97930
1547124732.331427097321 -0.32245 0.85998 0.04332 -0.01043 0.01389 -0.20279 0.97907
1547124732.364600658417 -0.30694 0.89899 0.04080 -0.00925 0.01357 -0.20353 0.97893
1547124732.497292757034 -0.24442 1.04538 0.03462 -0.00802 0.01108 -0.20549 0.97856
1547124732.530465841293 -0.22930 1.08227 0.03588 -0.00803 0.01046 -0.20593 0.97848
1547124732.629982709885 -0.18575 1.18885 0.03885 -0.00623 0.00962 -0.20653 0.97837
1547124732.663156747818 -0.17014 1.22536 0.03864 -0.00579 0.00952 -0.20689 0.97830
1547124732.795849323273 -0.10511 1.35781 0.03618 0.00141 0.01349 -0.20706 0.97823
