# time x y z qx qy qz qw
1547124725.000195980072 4.40240 0.31824 0.11572 0.01498 -0.01804 -0.19662 0.98020
1547124725.099712848663 4.39014 0.38732 0.11136 0.01714 -0.01736 -0.19822 0.97985
1547124725.232415676117 4.36636 0.47528 0.11792 0.01904 -0.01101 -0.20150 0.97924
1547124725.365098237991 4.33078 0.55310 0.12288 0.02123 -0.00842 -0.20255 0.97901
1547124725.398271083832 4.32523 0.57283 0.12508 0.02245 -0.00671 -0.20264 0.97897
1547124725.530961990356 4.28212 0.63890 0.12548 0.02846 -0.00689 -0.20337 0.97866
1547124725.663655757904 4.22218 0.69122 0.11876 0.03512 -0.01033 -0.20602 0.97786
1547124725.696826696396 4.21227 0.70145 0.11870 0.03583 -0.00821 -0.20709 0.97763
1547124725.796345710754 4.17316 0.72613 0.11155 0.03651 -0.00651 -0.21218 0.97653
1547124725.962213516235 4.09125 0.75669 0.09988 0.03325 -0.01245 -0.22527 0.97365
1547124725.995385885239 4.07228 0.75991 0.09794 0.03214 -0.01345 -0.22808 0.97302
1547124726.094905853271 4.01847 0.76744 0.09760 0.03025 -0.01201 -0.23627 0.97114
1547124726.227593898773 3.93946 0.76944 0.10171 0.03006 -0.01261 -0.24604 0.96871
1547124726.393460750580 3.82381 0.76330 0.09925 0.03110 -0.01748 -0.25356 0.96666
1547124726.426633834839 3.79693 0.75582 0.09829 0.03330 -0.01758 -0.25407 0.96645
1547124726.559324741364 3.69567 0.72852 0.10921 0.03839 -0.01214 -0.25574 0.96591
1547124726.592500925064 3.67052 0.72087 0.11205 0.03851 -0.01077 -0.25617 0.96581
1547124726.692021131516 3.58572 0.69107 0.11898 0.04018 -0.00721 -0.25606 0.96580
1547124726.857882738113 3.43879 0.63241 0.12887 0.03725 -0.00563 -0.25648 0.96582
1547124726.891055583954 3.40047 0.61878 0.11416 0.03674 -0.00918 -0.25623 0.96588
1547124726.990580797195 3.29684 0.57382 0.09738 0.03439 -0.01095 -0.25495 0.96628
1547124727.156439065933 3.12755 0.47762 0.06960 0.02471 -0.01048 -0.25243 0.96724
1547124727.189611673355 3.08938 0.45043 0.07013 0.02425 -0.00987 -0.25125 0.96757
1547124727.289131641388 2.97838 0.37992 0.06422 0.02120 -0.01121 -0.24956 0.96806
1547124727.421821832657 2.82231 0.28690 0.07780 0.01564 -0.00967 -0.24846 0.96847
1547124727.554517745972 2.67486 0.18788 0.08248 0.00837 -0.00447 -0.24765 0.96880
1547124727.587687730789 2.64094 0.16123 0.07650 0.00638 -0.00338 -0.24824 0.96867
1547124727.687206745148 2.53429 0.08607 0.07075 0.00461 -0.00352 -0.24972 0.96830
1547124727.819901704788 2.37871 -0.01053 0.08679 0.00281 -0.00192 -0.25007 0.96822
1547124727.952594757080 2.21894 -0.11085 0.11236 0.00567 -0.00442 -0.24916 0.96844
1547124727.985763788223 2.18262 -0.14789 0.10327 0.00427 -0.00642 -0.24839 0.96863
1547124728.085282802582 2.07755 -0.23495 0.08631 0.00266 -0.00762 -0.24646 0.96912
1547124728.217974662781 1.92891 -0.33243 0.09018 0.00225 -0.00523 -0.24655 0.96911
1547124728.317492723465 1.80791 -0.40213 0.09790 0.00070 -0.00296 -0.24678 0.96907
1547124728.450191020966 1.64280 -0.49151 0.12130 -0.00298 0.00297 -0.24747 0.96889
1547124728.483358860016 1.60525 -0.51501 0.11428 -0.00495 0.00159 -0.24896 0.96850
1547124728.582878828049 1.49503 -0.58839 0.11000 -0.00726 0.00274 -0.24790 0.96875
1547124728.748743057251 1.32247 -0.70407 0.09795 -0.01145 0.00752 -0.24650 0.96905
1547124728.781917333603 1.27720 -0.72542 0.08060 -0.01160 0.00326 -0.24606 0.96918
1547124728.881435871124 1.16357 -0.78860 0.08007 -0.01259 0.00545 -0.24480 0.96948
1547124728.980963706970 1.05198 -0.84423 0.07995 -0.01574 0.00742 -0.24366 0.96970
1547124729.113647699356 0.91295 -0.91116 0.07845 -0.01788 0.01156 -0.24194 0.97006
1547124729.246339797974 0.78067 -0.97071 0.07698 -0.01879 0.01482 -0.23939 0.97063
1547124729.279511928558 0.74951 -0.98404 0.06681 -0.01944 0.01458 -0.23914 0.97068
1547124729.412202835083 0.61854 -1.03089 0.06873 -0.02385 0.01555 -0.23633 0.97126
1547124729.511723756790 0.53470 -1.06144 0.06186 -0.02577 0.01740 -0.23357 0.97184
1547124729.677586793900 0.41481 -1.09970 0.04730 -0.02694 0.01755 -0.22874 0.97296
