# time x y z qx qy qz qw
1547124725.000195980072 4.18739 0.39493 0.12571 0.01520 -0.01539 -0.19810 0.97994
1547124725.099712848663 4.17465 0.46385 0.12334 0.01689 -0.01465 -0.19983 0.97958
1547124725.232415676117 4.14987 0.55451 0.12919 0.01846 -0.00903 -0.20303 0.97896
1547124725.365098237991 4.11190 0.62850 0.13251 0.02206 -0.00737 -0.20352 0.97879
1547124725.398271083832 4.10768 0.64803 0.13272 0.02293 -0.00560 -0.20437 0.97861
1547124725.530961990356 4.06796 0.71505 0.13159 0.02818 -0.00547 -0.20550 0.97824
1547124725.663655757904 4.01366 0.76840 0.12507 0.03426 -0.00768 -0.20851 0.97739
1547124725.696826696396 4.00386 0.77621 0.12122 0.03483 -0.00651 -0.20985 0.97709
1547124725.796345710754 3.96375 0.80231 0.11087 0.03519 -0.00581 -0.21504 0.97595
1547124725.962213516235 3.88235 0.83319 0.10154 0.03181 -0.01121 -0.22811 0.97305
1547124725.995385885239 3.86056 0.84020 0.10016 0.03080 -0.01276 -0.23102 0.97238
1547124726.094905853271 3.80191 0.84908 0.09881 0.02899 -0.01304 -0.23927 0.97043
1547124726.227593898773 3.72121 0.85231 0.10292 0.02887 -0.01430 -0.24907 0.96795
1547124726.393460750580 3.60300 0.84596 0.09831 0.02991 -0.01969 -0.25617 0.96597
1547124726.426633834839 3.57531 0.83926 0.09839 0.03206 -0.01965 -0.25670 0.96576
1547124726.559324741364 3.47598 0.81110 0.10858 0.03748 -0.01398 -0.25882 0.96510
1547124726.592500925064 3.44852 0.80169 0.11195 0.03842 -0.01319 -0.25907 0.96500
1547124726.692021131516 3.35773 0.77332 0.11734 0.04040 -0.01101 -0.25863 0.96507
1547124726.857882738113 3.20900 0.71325 0.13140 0.03822 -0.00861 -0.25839 0.96525
1547124726.891055583954 3.17050 0.69580 0.12167 0.03847 -0.01127 -0.25739 0.96548
1547124726.990580797195 3.06828 0.64915 0.10379 0.03660 -0.01235 -0.25627 0.96583
1547124727.156439065933 2.89423 0.55182 0.07400 0.02767 -0.01240 -0.25341 0.96688
1547124727.189611673355 2.85068 0.52437 0.07665 0.02749 -0.01189 -0.25204 0.96725
1547124727.289131641388 2.73166 0.45331 0.07362 0.02548 -0.01299 -0.25054 0.96768
1547124727.421821832657 2.57417 0.35782 0.07925 0.01936 -0.01182 -0.24927 0.96817
1547124727.554517745972 2.43162 0.25195 0.08644 0.01193 -0.00556 -0.24796 0.96868
1547124727.587687730789 2.39638 0.22400 0.07953 0.01067 -0.00458 -0.24833 0.96861
1547124727.687206745148 2.28651 0.14692 0.07406 0.00878 -0.00454 -0.24945 0.96834
1547124727.819901704788 2.12902 0.04265 0.08612 0.00772 -0.00299 -0.24985 0.96825
1547124727.952594757080 1.96981 -0.05935 0.11092 0.01025 -0.00535 -0.24863 0.96853
1547124727.985763788223 1.93265 -0.09590 0.10162 0.00849 -0.00723 -0.24754 0.96881
1547124728.085282802582 1.82575 -0.17559 0.09422 0.00567 -0.00735 -0.24606 0.96921
1547124728.217974662781 1.67604 -0.28416 0.09798 0.00728 -0.00427 -0.24585 0.96927
1547124728.317492723465 1.55339 -0.36209 0.10242 0.00689 -0.00168 -0.24501 0.96950
1547124728.450191020966 1.38788 -0.45566 0.12098 0.00300 0.00373 -0.24463 0.96960
1547124728.483358860016 1.35030 -0.48473 0.11172 0.00070 0.00211 -0.24551 0.96939
1547124728.582878828049 1.24544 -0.55560 0.09499 -0.00287 0.00184 -0.24550 0.96939
1547124728.748743057251 1.06434 -0.66508 0.08773 -0.00747 0.00617 -0.24461 0.96957
1547124728.781917333603 1.01059 -0.68410 0.07369 -0.00805 0.00204 -0.24512 0.96946
1547124728.881435871124 0.89811 -0.74305 0.07077 -0.01040 0.00425 -0.24442 0.96961
1547124728.980963706970 0.78338 -0.79774 0.07246 -0.01390 0.00623 -0.24357 0.96976
1547124729.113647699356 0.64295 -0.86454 0.07781 -0.01578 0.01267 -0.24176 0.97013
1547124729.246339797974 0.50796 -0.93154 0.07246 -0.01616 0.01507 -0.23922 0.97071
1547124729.279511928558 0.47417 -0.94880 0.06581 -0.01611 0.01516 -0.23848 0.97090
1547124729.412202835083 0.33790 -0.99905 0.06784 -0.02034 0.01511 -0.23520 0.97162
1547124729.511723756790 0.24852 -1.03170 0.06078 -0.02219 0.01641 -0.23198 0.97233
1547124729.677586793900 0.12582 -1.07179 0.04456 -0.02330 0.01658 -0.22635 0.97363
1547124729.710759878159 0.10457 -1.07489 0.03817 -0.02376 0.01507 -0.22530 0.97388
1547124729.909798860550 -0.02485 -1.08720 0.02702 -0.02883 0.00507 -0.21905 0.97527
1547124729.942971944809 -0.04066 -1.08054 0.02495 -0.03059 0.00382 -0.21865 0.97532
1547124730.042490959167 -0.09765 -1.07315 0.02161 -0.03276 -0.00220 -0.21575 0.97590
1547124730.075661659241 -0.11416 -1.06848 0.02105 -0.03333 -0.00309 -0.21482 0.97608
1547124730.175182819366 -0.16625 -1.04781 0.02196 -0.03519 -0.00382 -0.21210 0.97661
1547124730.274702787399 -0.21855 -1.01873 0.02420 -0.03608 -0.00298 -0.20983 0.97707
1547124730.407394647598 -0.28383 -0.96741 0.02835 -0.03640 0.00279 -0.20630 0.97781
1547124730.506913661957 -0.33066 -0.92032 0.02982 -0.03607 0.00746 -0.20387 0.97830
1547124730.639605760574 -0.38509 -0.84655 0.03284 -0.03566 0.01195 -0.20065 0.97894
1547124730.672778606415 -0.39749 -0.82257 0.03449 -0.03562 0.01238 -0.20003 0.97906
1547124730.772294759750 -0.43053 -0.75579 0.04037 -0.03343 0.01633 -0.19744 0.97961
1547124730.938160657883 -0.47523 -0.63584 0.04852 -0.02929 0.01974 -0.19301 0.98056
1547124730.971335649490 -0.47996 -0.60832 0.04930 -0.02937 0.01990 -0.19263 0.98063
1547124731.070868730545 -0.49517 -0.52860 0.04910 -0.02733 0.01988 -0.19103 0.98100
1547124731.236719608307 -0.50990 -0.38425 0.04716 -0.02676 0.01817 -0.18985 0.98128
1547124731.269890785217 -0.51293 -0.35020 0.04945 -0.02691 0.01808 -0.19001 0.98125
1547124731.402582883835 -0.51638 -0.22143 0.05176 -0.02705 0.01590 -0.19054 0.98118
1547124731.535273790359 -0.50766 -0.09375 0.05021 -0.02606 0.01445 -0.19139 0.98106
1547124731.568447828293 -0.50271 -0.05799 0.04997 -0.02663 0.01481 -0.19202 0.98092
1547124731.667967081070 -0.48723 0.04556 0.04715 -0.02665 0.01558 -0.19351 0.98061
1547124731.767488002777 -0.47048 0.15023 0.04494 -0.02445 0.01776 -0.19496 0.98035
1547124731.933352947235 -0.43156 0.33018 0.03917 -0.02029 0.01807 -0.19855 0.97971
1547124731.966526031494 -0.42082 0.36563 0.03503 -0.01911 0.01814 -0.19938 0.97957
1547124732.198734760284 -0.34122 0.61971 0.02585 -0.01541 0.01292 -0.20286 0.97900
1547124732.231907606125 -0.32871 0.65198 0.02480 -0.01398 0.01188 -0.20320 0.97897
1547124732.331427097321 -0.29105 0.75648 0.02599 -0.01091 0.00865 -0.20426 0.97882
1547124732.364600658417 -0.27632 0.79268 0.02508 -0.00950 0.00850 -0.20409 0.97887
1547124732.497292757034 -0.21487 0.93065 0.02108 -0.00765 0.00627 -0.20532 0.97865
1547124732.629982709885 -0.15766 1.06580 0.02700 -0.00466 0.00541 -0.20620 0.97848
1547124732.663156747818 -0.14151 1.10190 0.02984 -0.00386 0.00569 -0.20657 0.97841
1547124732.795849323273 -0.07878 1.23261 0.03293 0.00316 0.01005 -0.20672 0.97834
1547124732.961715936661 0.00396 1.39207 0.04329 0.01071 0.01358 -0.20665 0.97826
1547124732.994889497757 0.02024 1.42335 0.04731 0.01286 0.01431 -0.20612 0.97834
1547124733.061231851578 0.05844 1.48344 0.04379 0.01675 0.01637 -0.20537 0.97840
