# time x y z qx qy qz qw
48.270000000000 0.10803 -0.03172 0.00728 -0.02109 0.06471 0.00102 0.99768
48.338000000000 0.15023 -0.04209 0.01001 -0.03320 0.04794 0.00207 0.99830
48.438000000000 0.21451 -0.04928 0.00754 -0.04524 0.02948 0.00252 0.99854
48.536000000000 0.27890 -0.04997 0.00548 -0.04883 0.01844 0.00240 0.99863
48.634000000000 0.34311 -0.04340 0.00296 -0.04707 0.01397 0.00194 0.99879
48.730000000000 0.40374 -0.02977 -0.00016 -0.04355 0.01394 0.00119 0.99895
48.824000000000 0.46159 -0.01102 -0.00228 -0.04003 0.01493 0.00056 0.99909
48.921000000000 0.51872 0.01437 -0.00688 -0.03579 0.01297 0.00012 0.99928
49.018000000000 0.57667 0.04293 -0.00882 -0.03185 0.00957 -0.00015 0.99945
49.113000000000 0.63127 0.07481 -0.01176 -0.02961 0.00636 -0.00041 0.99954
49.209000000000 0.68553 0.10949 -0.01363 -0.02769 0.00307 -0.00054 0.99961
49.303000000000 0.73351 0.14591 -0.01571 -0.02420 -0.00176 -0.00067 0.99971
49.399000000000 0.78235 0.18509 -0.01724 -0.02092 -0.00632 -0.00065 0.99976
49.501000000000 0.83229 0.22924 -0.01993 -0.01903 -0.00999 -0.00058 0.99977
49.600000000000 0.87565 0.27314 -0.02250 -0.01769 -0.01312 -0.00048 0.99976
49.697000000000 0.91079 0.31602 -0.02434 -0.01637 -0.01624 -0.00049 0.99973
49.797000000000 0.94091 0.36069 -0.02561 -0.01372 -0.01960 -0.00038 0.99971
49.863000000000 0.95952 0.39151 -0.02581 -0.01167 -0.02177 -0.00036 0.99969
49.961000000000 0.98184 0.43718 -0.02613 -0.00974 -0.02449 -0.00028 0.99965
50.059000000000 0.98938 0.47595 -0.02664 -0.00954 -0.02674 -0.00027 0.99960
50.159000000000 0.99391 0.51661 -0.02663 -0.01012 -0.02840 -0.00029 0.99955
50.246000000000 0.99364 0.55288 -0.02701 -0.00957 -0.02859 -0.00032 0.99955
50.341000000000 0.98735 0.59269 -0.02736 -0.00903 -0.02863 -0.00035 0.99955
50.438000000000 0.97391 0.63287 -0.02756 -0.00907 -0.02871 -0.00036 0.99955
50.535000000000 0.95364 0.67236 -0.02742 -0.00807 -0.02693 -0.00040 0.99960
50.632000000000 0.92730 0.71088 -0.02726 -0.00765 -0.02510 -0.00032 0.99966
50.728000000000 0.89592 0.74848 -0.02705 -0.00863 -0.02418 -0.00040 0.99967
50.825000000000 0.85899 0.78608 -0.02675 -0.01019 -0.02340 -0.00041 0.99967
50.920000000000 0.81792 0.82265 -0.02663 -0.01043 -0.02024 -0.00049 0.99974
51.017000000000 0.77207 0.85991 -0.02645 -0.01023 -0.01620 -0.00049 0.99982
51.119000000000 0.71959 0.89910 -0.02611 -0.01129 -0.01336 -0.00055 0.99985
51.218000000000 0.66583 0.93746 -0.02565 -0.01286 -0.01129 -0.00053 0.99985
51.316000000000 0.61005 0.97621 -0.02518 -0.01329 -0.00741 -0.00053 0.99988
51.413000000000 0.55366 1.01478 -0.02469 -0.01428 -0.00415 -0.00058 0.99989
51.481000000000 0.51271 1.04305 -0.02445 -0.01547 -0.00260 -0.00059 0.99988
51.581000000000 0.45343 1.08434 -0.02420 -0.01600 0.00120 -0.00067 0.99987
51.683000000000 0.39201 1.12835 -0.02410 -0.01609 0.00566 -0.00069 0.99985
51.780000000000 0.33459 1.17129 -0.02428 -0.01745 0.00824 -0.00075 0.99981
51.880000000000 0.27717 1.21690 -0.02444 -0.01832 0.01104 -0.00078 0.99977
51.980000000000 0.22217 1.26386 -0.02424 -0.01845 0.01429 -0.00082 0.99973
52.078000000000 0.17031 1.31140 -0.02432 -0.01971 0.01643 -0.00075 0.99967
52.180000000000 0.12001 1.36256 -0.02437 -0.01950 0.01913 -0.00084 0.99963
52.244000000000 0.09042 1.39580 -0.02433 -0.01890 0.02089 -0.00092 0.99960
52.363000000000 0.03996 1.45904 -0.02393 -0.01910 0.02309 -0.00098 0.99955
52.461000000000 0.00291 1.51291 -0.02382 -0.01979 0.02402 -0.00093 0.99952
52.558000000000 -0.02920 1.56784 -0.02394 -0.01772 0.02512 -0.00109 0.99953
52.656000000000 -0.05754 1.62533 -0.02412 -0.01567 0.02582 -0.00116 0.99954
52.725000000000 -0.07382 1.66567 -0.02423 -0.01504 0.02593 -0.00118 0.99955
52.822000000000 -0.09453 1.72403 -0.02418 -0.01304 0.02577 -0.00120 0.99958
52.924000000000 -0.11069 1.78578 -0.02447 -0.01056 0.02518 -0.00124 0.99963
53.028000000000 -0.12353 1.84973 -0.02491 -0.00925 0.02415 -0.00136 0.99966
53.128000000000 -0.13097 1.91113 -0.02536 -0.00619 0.02282 -0.00147 0.99972
53.227000000000 -0.13506 1.97138 -0.02618 -0.00351 0.02136 -0.00146 0.99976
53.323000000000 -0.13589 2.02894 -0.02673 -0.00204 0.02007 -0.00151 0.99980
53.393000000000 -0.13516 2.07036 -0.02701 -0.00019 0.01884 -0.00161 0.99982
53.494000000000 -0.13033 2.12898 -0.02774 0.00278 0.01692 -0.00175 0.99985
53.589000000000 -0.12481 2.18167 -0.02796 0.00541 0.01518 -0.00176 0.99987
53.693000000000 -0.11510 2.23604 -0.02844 0.00940 0.01287 -0.00174 0.99987
53.795000000000 -0.10489 2.28556 -0.02865 0.01305 0.01061 -0.00173 0.99986
53.864000000000 -0.09651 2.31711 -0.02889 0.01494 0.00932 -0.00173 0.99984
53.963000000000 -0.08492 2.35831 -0.02842 0.01797 0.00717 -0.00171 0.99981
54.065000000000 -0.07142 2.39693 -0.02868 0.02080 0.00507 -0.00168 0.99977
54.163000000000 -0.05922 2.42801 -0.02819 0.02325 0.00326 -0.00175 0.99972
