# time x y z qx qy qz qw
29.860000000000 0.06864 -0.01723 0.02364 -0.00150 0.09152 -0.00052 0.99580
29.954000000000 0.11706 -0.03162 0.01705 -0.02009 0.06709 0.00102 0.99754
30.052000000000 0.17582 -0.04336 0.01154 -0.03648 0.04219 0.00204 0.99844
30.148000000000 0.23860 -0.04988 0.00928 -0.04538 0.02532 0.00250 0.99865
30.243000000000 0.30237 -0.04981 0.00779 -0.04758 0.01684 0.00234 0.99872
30.335000000000 0.36376 -0.04308 0.00581 -0.04611 0.01529 0.00181 0.99882
30.430000000000 0.42553 -0.02910 0.00340 -0.04183 0.01479 0.00123 0.99901
30.520000000000 0.48303 -0.01042 0.00218 -0.03762 0.01440 0.00070 0.99919
30.612000000000 0.54051 0.01364 0.00063 -0.03456 0.01370 0.00025 0.99931
30.702000000000 0.59639 0.04075 -0.00018 -0.03234 0.01216 0.00000 0.99940
30.794000000000 0.64836 0.07262 -0.00351 -0.02876 0.00739 -0.00006 0.99956
30.884000000000 0.70139 0.10558 -0.00507 -0.02528 0.00255 0.00000 0.99968
31.007000000000 0.76848 0.15510 -0.00887 -0.02308 -0.00196 -0.00002 0.99973
31.098000000000 0.81563 0.19327 -0.01015 -0.02114 -0.00505 -0.00004 0.99976
31.185000000000 0.85923 0.23204 -0.01264 -0.01890 -0.00841 0.00006 0.99979
31.275000000000 0.89850 0.27173 -0.01373 -0.01739 -0.01144 0.00019 0.99978
31.369000000000 0.93295 0.31381 -0.01575 -0.01651 -0.01477 0.00033 0.99975
31.479000000000 0.96362 0.36148 -0.01724 -0.01384 -0.01870 0.00048 0.99973
31.567000000000 0.98255 0.39976 -0.01788 -0.01217 -0.02179 0.00046 0.99969
31.660000000000 0.99995 0.44161 -0.01822 -0.01141 -0.02463 0.00049 0.99963
31.750000000000 1.01115 0.48214 -0.01820 -0.00986 -0.02642 0.00047 0.99960
31.842000000000 1.01656 0.52288 -0.01840 -0.00849 -0.02755 0.00052 0.99958
31.937000000000 1.01414 0.56264 -0.01875 -0.00825 -0.02867 0.00043 0.99955
32.030000000000 1.00598 0.60114 -0.01927 -0.00854 -0.02927 0.00044 0.99953
32.126000000000 0.99132 0.64056 -0.01987 -0.00779 -0.02806 0.00047 0.99958
32.219000000000 0.97119 0.67790 -0.02025 -0.00752 -0.02692 0.00035 0.99961
32.343000000000 0.93601 0.72692 -0.02058 -0.00865 -0.02591 0.00031 0.99963
32.437000000000 0.90330 0.76333 -0.02052 -0.00925 -0.02417 0.00026 0.99967
32.524000000000 0.86890 0.79680 -0.02025 -0.00901 -0.02138 0.00022 0.99973
32.617000000000 0.82823 0.83242 -0.02016 -0.00937 -0.01869 0.00032 0.99978
32.710000000000 0.78369 0.86691 -0.01991 -0.01067 -0.01725 0.00032 0.99979
32.804000000000 0.73576 0.90287 -0.01984 -0.01158 -0.01451 0.00031 0.99983
32.900000000000 0.68310 0.93902 -0.01956 -0.01247 -0.01175 0.00036 0.99985
32.993000000000 0.63050 0.97539 -0.01951 -0.01325 -0.00853 0.00027 0.99988
33.089000000000 0.57353 1.01359 -0.01942 -0.01311 -0.00426 0.00023 0.99990
33.189000000000 0.51399 1.05409 -0.01946 -0.01415 -0.00097 0.00022 0.99990
33.287000000000 0.45386 1.09560 -0.01922 -0.01648 0.00062 0.00021 0.99986
33.385000000000 0.39540 1.13712 -0.01919 -0.01758 0.00365 0.00023 0.99984
33.473000000000 0.34219 1.17677 -0.01878 -0.01756 0.00711 0.00022 0.99982
33.569000000000 0.28649 1.22019 -0.01851 -0.01835 0.01028 0.00021 0.99978
33.664000000000 0.23277 1.26553 -0.01819 -0.01800 0.01385 0.00023 0.99974
33.755000000000 0.18414 1.30948 -0.01795 -0.01775 0.01704 0.00022 0.99970
33.849000000000 0.13627 1.35693 -0.01767 -0.01874 0.01890 0.00034 0.99965
33.949000000000 0.08936 1.40864 -0.01752 -0.01939 0.02074 0.00039 0.99960
34.043000000000 0.04944 1.45939 -0.01722 -0.01827 0.02259 0.00032 0.99958
34.140000000000 0.01198 1.51308 -0.01699 -0.01817 0.02370 0.00031 0.99955
34.241000000000 -0.02146 1.57036 -0.01674 -0.01742 0.02442 0.00036 0.99955
34.339000000000 -0.05103 1.62744 -0.01654 -0.01537 0.02498 0.00040 0.99957
34.435000000000 -0.07342 1.68354 -0.01642 -0.01449 0.02497 0.00037 0.99958
34.534000000000 -0.09339 1.74322 -0.01632 -0.01347 0.02462 0.00037 0.99961
34.603000000000 -0.10309 1.78368 -0.01666 -0.01103 0.02422 0.00035 0.99965
34.701000000000 -0.11596 1.84376 -0.01666 -0.00803 0.02329 0.00027 0.99970
34.799000000000 -0.12344 1.90222 -0.01711 -0.00654 0.02219 0.00034 0.99973
34.894000000000 -0.12855 1.95956 -0.01727 -0.00468 0.02088 0.00031 0.99977
34.994000000000 -0.12994 2.01883 -0.01811 -0.00054 0.01894 0.00019 0.99982
35.094000000000 -0.12877 2.07739 -0.01853 0.00234 0.01716 0.00019 0.99985
35.194000000000 -0.12412 2.13331 -0.01898 0.00388 0.01563 0.00017 0.99987
35.292000000000 -0.11726 2.18641 -0.01905 0.00695 0.01363 0.00010 0.99988
35.386000000000 -0.10853 2.23493 -0.01980 0.01011 0.01160 0.00003 0.99988
35.482000000000 -0.09822 2.28139 -0.02025 0.01261 0.00974 0.00006 0.99987
35.568000000000 -0.08780 2.32025 -0.02062 0.01470 0.00817 0.00002 0.99986
35.660000000000 -0.07651 2.35856 -0.02082 0.01752 0.00618 0.00005 0.99983
35.758000000000 -0.06372 2.39574 -0.02120 0.02074 0.00392 -0.00006 0.99978
35.854000000000 -0.05119 2.42717 -0.02161 0.02337 0.00206 0.00003 0.99972
35.950000000000 -0.03867 2.45293 -0.02164 0.02580 0.00045 0.00008 0.99967
36.045000000000 -0.02704 2.47378 -0.02175 0.02789 -0.00128 0.00004 0.99961
36.138000000000 -0.01643 2.48850 -0.02128 0.02992 -0.00272 0.00001 0.99955
36.237000000000 -0.00619 2.49951 -0.02117 0.03186 -0.00409 -0.00003 0.99948
36.334000000000 0.00282 2.50388 -0.02098 0.03276 -0.00523 -0.00007 0.99945
36.427000000000 0.01026 2.50225 -0.02079 0.03310 -0.00603 -0.00009 0.99943
36.520000000000 0.01624 2.49499 -0.02000 0.03385 -0.00653 -0.00013 0.99941
36.609000000000 0.02059 2.48325 -0.01962 0.03390 -0.00687 -0.00013 0.99940
36.705000000000 0.02422 2.46487 -0.01891 0.03281 -0.00683 -0.00015 0.99944
36.802000000000 0.02653 2.44119 -0.01805 0.03235 -0.00676 -0.00021 0.99945
36.899000000000 0.02717 2.41238 -0.01759 0.03046 -0.00629 -0.00027 0.99952
37.001000000000 0.02697 2.37657 -0.01622 0.02841 -0.00558 -0.00025 0.99958
37.099000000000 0.02474 2.33765 -0.01552 0.02721 -0.00489 -0.00026 0.99962
37.195000000000 0.02237 2.29555 -0.01446 0.02446 -0.00380 -0.00030 0.99969
37.292000000000 0.01784 2.25003 -0.01395 0.02164 -0.00273 -0.00036 0.99976
37.390000000000 0.01338 2.20095 -0.01352 0.01980 -0.00170 -0.00039 0.99980
37.456000000000 0.00955 2.16681 -0.01346 0.01824 -0.00086 -0.00041 0.99983
