# time x y z qx qy qz qw
66.510000000000 0.06020 -0.01846 0.02426 0.00191 0.09489 -0.00035 0.99549
66.613000000000 0.11003 -0.03325 0.01470 -0.01846 0.06843 0.00102 0.99748
66.713000000000 0.16746 -0.04447 0.00964 -0.03562 0.04281 0.00201 0.99845
66.807000000000 0.22714 -0.05049 0.00764 -0.04527 0.02698 0.00239 0.99861
66.906000000000 0.29226 -0.04994 0.00642 -0.04765 0.01767 0.00217 0.99871
67.001000000000 0.35446 -0.04207 0.00477 -0.04582 0.01554 0.00159 0.99883
67.090000000000 0.41137 -0.02865 0.00225 -0.04248 0.01612 0.00099 0.99897
67.187000000000 0.47250 -0.00892 0.00164 -0.03753 0.01496 0.00052 0.99918
67.285000000000 0.53444 0.01612 -0.00127 -0.03314 0.01293 0.00023 0.99937
67.381000000000 0.59286 0.04467 -0.00174 -0.03084 0.01096 -0.00008 0.99946
67.475000000000 0.64686 0.07640 -0.00571 -0.02835 0.00760 -0.00025 0.99957
67.570000000000 0.70092 0.11112 -0.00678 -0.02567 0.00355 -0.00032 0.99966
67.664000000000 0.75153 0.14848 -0.01039 -0.02375 -0.00016 -0.00028 0.99972
67.759000000000 0.80042 0.18753 -0.01143 -0.02096 -0.00429 -0.00014 0.99977
67.853000000000 0.84902 0.22926 -0.01444 -0.01830 -0.00843 -0.00014 0.99980
67.946000000000 0.88866 0.27041 -0.01665 -0.01666 -0.01208 -0.00009 0.99979
68.044000000000 0.92357 0.31383 -0.01805 -0.01482 -0.01564 -0.00004 0.99977
68.136000000000 0.95203 0.35520 -0.01882 -0.01217 -0.01902 0.00007 0.99974
68.230000000000 0.97631 0.39760 -0.01934 -0.01056 -0.02201 0.00012 0.99970
68.323000000000 0.99350 0.43834 -0.01984 -0.01007 -0.02458 0.00013 0.99965
68.419000000000 1.00378 0.47937 -0.02065 -0.00956 -0.02652 0.00019 0.99960
68.512000000000 1.00850 0.51934 -0.02151 -0.00839 -0.02743 0.00016 0.99959
68.609000000000 1.00744 0.56091 -0.02210 -0.00792 -0.02799 0.00020 0.99958
68.705000000000 0.99921 0.60017 -0.02258 -0.00818 -0.02879 0.00009 0.99955
68.799000000000 0.98509 0.63881 -0.02288 -0.00753 -0.02775 0.00005 0.99959
68.896000000000 0.96446 0.67871 -0.02300 -0.00716 -0.02648 -0.00012 0.99962
68.995000000000 0.93710 0.71874 -0.02306 -0.00798 -0.02567 -0.00012 0.99964
69.078000000000 0.90941 0.75176 -0.02287 -0.00780 -0.02346 -0.00013 0.99969
69.173000000000 0.87280 0.78897 -0.02251 -0.00815 -0.02121 -0.00010 0.99974
69.272000000000 0.82986 0.82751 -0.02194 -0.00969 -0.01999 -0.00014 0.99975
69.366000000000 0.78438 0.86363 -0.02146 -0.01052 -0.01761 -0.00010 0.99979
69.465000000000 0.73273 0.90190 -0.02100 -0.01041 -0.01350 -0.00011 0.99985
69.563000000000 0.67871 0.94053 -0.02021 -0.01143 -0.01050 -0.00017 0.99988
69.659000000000 0.62332 0.97852 -0.01971 -0.01214 -0.00699 -0.00026 0.99990
69.757000000000 0.56519 1.01817 -0.01888 -0.01233 -0.00277 -0.00028 0.99992
69.859000000000 0.50431 1.05980 -0.01829 -0.01391 0.00007 -0.00029 0.99990
69.957000000000 0.44551 1.10064 -0.01732 -0.01561 0.00235 -0.00023 0.99988
70.059000000000 0.38408 1.14442 -0.01583 -0.01632 0.00607 -0.00024 0.99985
70.125000000000 0.34594 1.17340 -0.01572 -0.01710 0.00803 -0.00029 0.99982
70.221000000000 0.28992 1.21746 -0.01508 -0.01873 0.01023 -0.00020 0.99977
