# time x y z qx qy qz qw
43.039000000000 0.08161 -0.02556 0.03709 -0.00689 0.08797 0.00034 0.99610
43.138000000000 0.13582 -0.04007 0.03378 -0.02636 0.06173 0.00181 0.99774
43.206000000000 0.17436 -0.04763 0.02421 -0.03715 0.04420 0.00249 0.99833
43.309000000000 0.23943 -0.05344 0.02000 -0.04738 0.02700 0.00303 0.99851
43.400000000000 0.29806 -0.05242 0.01672 -0.04932 0.01833 0.00286 0.99861
43.498000000000 0.36156 -0.04427 0.01385 -0.04673 0.01460 0.00226 0.99880
43.594000000000 0.42213 -0.02965 0.01056 -0.04276 0.01465 0.00160 0.99898
43.686000000000 0.48038 -0.01079 0.00932 -0.03958 0.01606 0.00104 0.99909
43.784000000000 0.54265 0.01473 0.00856 -0.03618 0.01522 0.00071 0.99923
43.881000000000 0.60312 0.04410 0.00771 -0.03245 0.01177 0.00054 0.99940
43.966000000000 0.65164 0.07333 0.00480 -0.03018 0.00840 0.00038 0.99951
44.065000000000 0.70934 0.11008 0.00301 -0.02738 0.00403 0.00032 0.99962
44.162000000000 0.76048 0.14901 -0.00063 -0.02393 -0.00083 0.00033 0.99971
44.261000000000 0.81046 0.19032 -0.00381 -0.02158 -0.00484 0.00048 0.99976
44.360000000000 0.85536 0.23270 -0.00601 -0.02026 -0.00806 0.00047 0.99976
44.457000000000 0.89461 0.27507 -0.00773 -0.01767 -0.01182 0.00053 0.99977
44.554000000000 0.92778 0.31792 -0.00912 -0.01553 -0.01553 0.00066 0.99976
44.648000000000 0.95549 0.36018 -0.01018 -0.01437 -0.01885 0.00066 0.99972
44.745000000000 0.97894 0.40389 -0.01122 -0.01223 -0.02167 0.00075 0.99969
44.841000000000 0.99468 0.44577 -0.01243 -0.01088 -0.02405 0.00078 0.99965
44.937000000000 1.00426 0.48693 -0.01334 -0.01080 -0.02628 0.00078 0.99960
45.034000000000 1.00726 0.52798 -0.01398 -0.01074 -0.02770 0.00084 0.99956
45.129000000000 1.00356 0.56786 -0.01463 -0.00939 -0.02769 0.00083 0.99957
45.226000000000 0.99285 0.60757 -0.01498 -0.00878 -0.02763 0.00077 0.99958
45.319000000000 0.97667 0.64503 -0.01498 -0.00887 -0.02742 0.00075 0.99958
45.417000000000 0.95361 0.68429 -0.01470 -0.00836 -0.02564 0.00068 0.99964
45.512000000000 0.92554 0.72145 -0.01419 -0.00877 -0.02427 0.00072 0.99967
45.609000000000 0.89179 0.75896 -0.01339 -0.01026 -0.02360 0.00072 0.99967
45.706000000000 0.85300 0.79593 -0.01253 -0.01094 -0.02120 0.00067 0.99972
45.803000000000 0.80936 0.83263 -0.01171 -0.01093 -0.01762 0.00061 0.99978
45.900000000000 0.76212 0.86990 -0.01154 -0.01193 -0.01527 0.00062 0.99981
45.966000000000 0.72749 0.89490 -0.01109 -0.01292 -0.01424 0.00059 0.99981
46.081000000000 0.66495 0.93921 -0.01100 -0.01305 -0.00942 0.00065 0.99987
46.182000000000 0.60703 0.97828 -0.01095 -0.01291 -0.00465 0.00077 0.99991
46.278000000000 0.55082 1.01575 -0.01098 -0.01427 -0.00201 0.00087 0.99990
46.373000000000 0.49468 1.05356 -0.01096 -0.01659 -0.00080 0.00092 0.99986
46.472000000000 0.43653 1.09408 -0.01104 -0.01740 0.00222 0.00107 0.99985
46.538000000000 0.39691 1.12131 -0.01093 -0.01776 0.00426 0.00114 0.99983
46.635000000000 0.34037 1.16322 -0.01097 -0.01842 0.00759 0.00115 0.99980
46.732000000000 0.28379 1.20641 -0.01061 -0.01798 0.01153 0.00117 0.99977
46.834000000000 0.22788 1.25381 -0.01047 -0.01893 0.01441 0.00119 0.99972
46.933000000000 0.17548 1.30118 -0.00993 -0.02070 0.01612 0.00136 0.99965
47.035000000000 0.12495 1.35231 -0.00970 -0.01973 0.01899 0.00138 0.99962
47.132000000000 0.08080 1.40271 -0.00978 -0.01830 0.02183 0.00138 0.99959
47.231000000000 0.03843 1.45610 -0.00999 -0.01827 0.02335 0.00148 0.99956
47.335000000000 -0.00181 1.51401 -0.01042 -0.01837 0.02412 0.00150 0.99954
47.402000000000 -0.02407 1.55201 -0.01067 -0.01711 0.02460 0.00149 0.99955
47.498000000000 -0.05374 1.60843 -0.01106 -0.01559 0.02496 0.00142 0.99957
47.597000000000 -0.07801 1.66696 -0.01156 -0.01494 0.02478 0.00151 0.99958
47.697000000000 -0.09878 1.72761 -0.01197 -0.01239 0.02424 0.00153 0.99963
47.795000000000 -0.11425 1.78725 -0.01232 -0.01015 0.02352 0.00152 0.99967
47.891000000000 -0.12592 1.84625 -0.01278 -0.00905 0.02252 0.00158 0.99970
47.986000000000 -0.13358 1.90456 -0.01333 -0.00637 0.02117 0.00156 0.99975
48.074000000000 -0.13788 1.95775 -0.01367 -0.00379 0.01977 0.00157 0.99980
48.170000000000 -0.13910 2.01506 -0.01403 -0.00190 0.01840 0.00159 0.99983
48.269000000000 -0.13811 2.07312 -0.01463 0.00120 0.01647 0.00154 0.99986
48.367000000000 -0.13349 2.12887 -0.01518 0.00514 0.01442 0.00154 0.99988
48.467000000000 -0.12710 2.18345 -0.01580 0.00805 0.01250 0.00147 0.99989
48.564000000000 -0.11782 2.23317 -0.01630 0.01060 0.01065 0.00153 0.99989
48.664000000000 -0.10719 2.28093 -0.01618 0.01392 0.00829 0.00150 0.99987
48.728000000000 -0.09955 2.30922 -0.01628 0.01587 0.00694 0.00157 0.99985
48.829000000000 -0.08677 2.35060 -0.01622 0.01838 0.00510 0.00158 0.99982
48.927000000000 -0.07412 2.38735 -0.01647 0.02061 0.00339 0.00156 0.99978
49.024000000000 -0.06134 2.41940 -0.01574 0.02343 0.00136 0.00149 0.99972
49.121000000000 -0.04860 2.44652 -0.01585 0.02630 -0.00093 0.00145 0.99965
49.221000000000 -0.03646 2.46917 -0.01516 0.02890 -0.00281 0.00155 0.99958
49.317000000000 -0.02512 2.48378 -0.01492 0.03114 -0.00420 0.00159 0.99950
49.413000000000 -0.01482 2.49270 -0.01435 0.03276 -0.00526 0.00161 0.99945
49.508000000000 -0.00661 2.49562 -0.01359 0.03351 -0.00632 0.00162 0.99942
49.606000000000 0.00129 2.49265 -0.01330 0.03433 -0.00723 0.00164 0.99938
49.698000000000 0.00730 2.48317 -0.01297 0.03478 -0.00779 0.00177 0.99936
49.796000000000 0.01212 2.46718 -0.01258 0.03417 -0.00818 0.00180 0.99938
49.893000000000 0.01536 2.44646 -0.01250 0.03366 -0.00829 0.00181 0.99940
49.989000000000 0.01691 2.42081 -0.01224 0.03341 -0.00817 0.00182 0.99941
50.084000000000 0.01715 2.39014 -0.01233 0.03138 -0.00784 0.00183 0.99948
50.171000000000 0.01568 2.35774 -0.01210 0.02922 -0.00727 0.00186 0.99954
50.268000000000 0.01389 2.31863 -0.01190 0.02763 -0.00655 0.00187 0.99959
50.371000000000 0.01054 2.27204 -0.01166 0.02595 -0.00565 0.00202 0.99965
50.469000000000 0.00665 2.22463 -0.01163 0.02248 -0.00453 0.00203 0.99973
50.537000000000 0.00356 2.19032 -0.01188 0.02044 -0.00378 0.00204 0.99978
50.637000000000 -0.00126 2.13734 -0.01192 0.01861 -0.00256 0.00207 0.99982
50.736000000000 -0.00656 2.08344 -0.01237 0.01487 -0.00122 0.00202 0.99989
50.836000000000 -0.01152 2.02690 -0.01248 0.01144 0.00017 0.00206 0.99993
50.935000000000 -0.01646 1.97124 -0.01268 0.00922 0.00164 0.00202 0.99995
51.034000000000 -0.02009 1.91430 -0.01256 0.00638 0.00313 0.00210 0.99997
51.134000000000 -0.02380 1.85863 -0.01319 0.00236 0.00462 0.00209 0.99998
51.205000000000 -0.02512 1.81893 -0.01335 0.00029 0.00572 0.00213 0.99998
51.304000000000 -0.02648 1.76681 -0.01409 -0.00206 0.00730 0.00210 0.99997
51.407000000000 -0.02577 1.71353 -0.01421 -0.00553 0.00874 0.00212 0.99994
51.507000000000 -0.02360 1.66559 -0.01446 -0.00830 0.00999 0.00208 0.99991
51.609000000000 -0.01877 1.61886 -0.01490 -0.01014 0.01164 0.00212 0.99988
51.707000000000 -0.01236 1.57654 -0.01565 -0.01222 0.01276 0.00213 0.99984
51.803000000000 -0.00337 1.53849 -0.01579 -0.01426 0.01355 0.00220 0.99980
51.901000000000 0.00749 1.50344 -0.01589 -0.01546 0.01477 0.00221 0.99977
51.969000000000 0.01721 1.48189 -0.01586 -0.01602 0.01542 0.00218 0.99975
52.068000000000 0.03296 1.45319 -0.01583 -0.01674 0.01578 0.00216 0.99973
52.167000000000 0.05232 1.42910 -0.01591 -0.01707 0.01644 0.00222 0.99972
52.258000000000 0.07280 1.41055 -0.01598 -0.01700 0.01720 0.00223 0.99971
52.349000000000 0.09530 1.39520 -0.01578 -0.01673 0.01669 0.00229 0.99972
52.444000000000 0.12176 1.38317 -0.01596 -0.01618 0.01627 0.00227 0.99973
52.543000000000 0.15215 1.37428 -0.01598 -0.01540 0.01669 0.00233 0.99974
52.644000000000 0.18598 1.36877 -0.01605 -0.01417 0.01639 0.00240 0.99976
52.737000000000 0.21961 1.36655 -0.01603 -0.01292 0.01584 0.00240 0.99979
52.836000000000 0.25800 1.36733 -0.01617 -0.01159 0.01616 0.00236 0.99980
52.931000000000 0.29744 1.37051 -0.01599 -0.01008 0.01563 0.00234 0.99982
53.029000000000 0.34034 1.37590 -0.01596 -0.00853 0.01531 0.00238 0.99984
53.128000000000 0.38593 1.38364 -0.01561 -0.00686 0.01508 0.00223 0.99986
53.227000000000 0.43420 1.39285 -0.01527 -0.00500 0.01409 0.00217 0.99989
53.323000000000 0.48282 1.40312 -0.01565 -0.00336 0.01420 0.00214 0.99989
53.425000000000 0.53627 1.41445 -0.01549 -0.00167 0.01395 0.00218 0.99990
53.490000000000 0.57165 1.42157 -0.01466 -0.00045 0.01279 0.00225 0.99992
53.591000000000 0.62759 1.43412 -0.01489 0.00137 0.01147 0.00224 0.99993
53.693000000000 0.68543 1.44621 -0.01479 0.00289 0.01170 0.00229 0.99992
53.788000000000 0.74034 1.45643 -0.01415 0.00446 0.01038 0.00236 0.99993
53.886000000000 0.79825 1.46781 -0.01456 0.00598 0.00876 0.00229 0.99994
53.984000000000 0.85679 1.47723 -0.01440 0.00718 0.00831 0.00229 0.99994
54.082000000000 0.91612 1.48671 -0.01473 0.00808 0.00904 0.00228 0.99992
54.181000000000 0.97685 1.49421 -0.01459 0.00888 0.00779 0.00227 0.99993
54.280000000000 1.03797 1.50107 -0.01491 0.00940 0.00602 0.00230 0.99994
54.365000000000 1.08982 1.50471 -0.01463 0.00971 0.00472 0.00236 0.99994
54.461000000000 1.14878 1.50862 -0.01522 0.00990 0.00270 0.00230 0.99994
54.556000000000 1.20624 1.51006 -0.01461 0.00976 0.00197 0.00237 0.99995
54.650000000000 1.26348 1.51111 -0.01481 0.00943 0.00236 0.00237 0.99995
54.749000000000 1.32326 1.51044 -0.01396 0.00877 0.00075 0.00231 0.99996
54.848000000000 1.38215 1.50935 -0.01469 0.00792 -0.00099 0.00233 0.99997
54.947000000000 1.44018 1.50700 -0.01384 0.00714 -0.00137 0.00225 0.99997
55.040000000000 1.49322 1.50406 -0.01299 0.00623 -0.00322 0.00220 0.99997
55.136000000000 1.54644 1.50042 -0.01210 0.00520 -0.00529 0.00232 0.99997
55.234000000000 1.59855 1.49639 -0.01126 0.00419 -0.00648 0.00231 0.99997
55.326000000000 1.64544 1.49235 -0.01028 0.00319 -0.00726 0.00225 0.99997
55.420000000000 1.69112 1.48830 -0.00940 0.00200 -0.00938 0.00223 0.99995
55.512000000000 1.73419 1.48451 -0.00892 0.00090 -0.01144 0.00222 0.99993
55.605000000000 1.77539 1.48107 -0.00858 -0.00025 -0.01273 0.00224 0.99992
55.698000000000 1.81395 1.47808 -0.00842 -0.00133 -0.01394 0.00219 0.99990
55.789000000000 1.84928 1.47596 -0.00829 -0.00224 -0.01577 0.00211 0.99987
55.876000000000 1.87909 1.47478 -0.00821 -0.00305 -0.01757 0.00214 0.99984
55.968000000000 1.90782 1.47468 -0.00836 -0.00397 -0.01887 0.00212 0.99981
56.090000000000 1.93895 1.47608 -0.00846 -0.00491 -0.02045 0.00215 0.99978
56.182000000000 1.95950 1.47879 -0.00857 -0.00541 -0.02162 0.00207 0.99975
56.274000000000 1.97414 1.48270 -0.00801 -0.00594 -0.02289 0.00203 0.99972
56.353000000000 1.98551 1.48747 -0.00789 -0.00624 -0.02388 0.00194 0.99969
56.466000000000 1.99502 1.49585 -0.00730 -0.00586 -0.02496 0.00197 0.99967
56.554000000000 2.00030 1.50382 -0.00697 -0.00548 -0.02562 0.00191 0.99965
56.645000000000 2.00194 1.51332 -0.00678 -0.00527 -0.02654 0.00192 0.99963
56.735000000000 1.99889 1.52361 -0.00635 -0.00491 -0.02744 0.00186 0.99961
56.832000000000 1.99157 1.53622 -0.00630 -0.00370 -0.02743 0.00198 0.99961
56.923000000000 1.98035 1.54874 -0.00608 -0.00235 -0.02753 0.00198 0.99962
57.020000000000 1.96411 1.56301 -0.00612 -0.00098 -0.02808 0.00198 0.99960
57.113000000000 1.94477 1.57705 -0.00591 0.00104 -0.02745 0.00205 0.99962
57.204000000000 1.92144 1.59105 -0.00603 0.00293 -0.02691 0.00216 0.99963
57.329000000000 1.88314 1.60978 -0.00613 0.00572 -0.02639 0.00232 0.99963
57.424000000000 1.84978 1.62298 -0.00618 0.00807 -0.02565 0.00239 0.99964
57.519000000000 1.81339 1.63528 -0.00637 0.01025 -0.02588 0.00245 0.99961
57.613000000000 1.77382 1.64589 -0.00681 0.01247 -0.02681 0.00254 0.99956
57.709000000000 1.72956 1.65473 -0.00701 0.01494 -0.02618 0.00272 0.99954
57.809000000000 1.67967 1.66154 -0.00724 0.01756 -0.02431 0.00288 0.99955
57.872000000000 1.64640 1.66441 -0.00721 0.01905 -0.02265 0.00293 0.99956
57.998000000000 1.57587 1.66657 -0.00772 0.02252 -0.02221 0.00295 0.99950
58.095000000000 1.51884 1.66410 -0.00854 0.02487 -0.02155 0.00306 0.99945
58.161000000000 1.47843 1.66022 -0.00877 0.02604 -0.02019 0.00311 0.99945
58.258000000000 1.41740 1.65098 -0.00944 0.02787 -0.01898 0.00323 0.99943
58.376000000000 1.34008 1.63394 -0.01064 0.03087 -0.01937 0.00319 0.99933
58.467000000000 1.27892 1.61592 -0.01109 0.03323 -0.01981 0.00321 0.99925
58.564000000000 1.21198 1.59140 -0.01159 0.03451 -0.01850 0.00329 0.99923
58.657000000000 1.14587 1.56296 -0.01212 0.03596 -0.01770 0.00321 0.99919
58.754000000000 1.07496 1.52816 -0.01282 0.03616 -0.01546 0.00315 0.99922
58.851000000000 1.00274 1.48777 -0.01373 0.03549 -0.01238 0.00325 0.99929
58.918000000000 0.95231 1.45667 -0.01427 0.03528 -0.01093 0.00326 0.99931
59.013000000000 0.88137 1.40813 -0.01510 0.03575 -0.01019 0.00338 0.99930
59.111000000000 0.80844 1.35300 -0.01626 0.03596 -0.00947 0.00335 0.99930
59.208000000000 0.73612 1.29329 -0.01684 0.03303 -0.00622 0.00328 0.99943
59.304000000000 0.66436 1.22981 -0.01769 0.03069 -0.00359 0.00318 0.99952
59.401000000000 0.59324 1.16177 -0.01851 0.02919 -0.00179 0.00315 0.99957
59.500000000000 0.52244 1.08888 -0.01948 0.02487 0.00181 0.00316 0.99968
59.600000000000 0.45301 1.01257 -0.02055 0.02149 0.00469 0.00314 0.99975
59.701000000000 0.38579 0.93338 -0.02161 0.02061 0.00574 0.00311 0.99977
59.799000000000 0.32416 0.85503 -0.02231 0.01780 0.00782 0.00310 0.99981
59.899000000000 0.26473 0.77417 -0.02300 0.01390 0.01055 0.00315 0.99984
59.998000000000 0.20928 0.69331 -0.02398 0.01097 0.01299 0.00317 0.99985
60.062000000000 0.17548 0.64077 -0.02466 0.00809 0.01493 0.00319 0.99985
60.163000000000 0.12601 0.55871 -0.02569 0.00396 0.01787 0.00326 0.99983
60.264000000000 0.08094 0.47814 -0.02641 0.00074 0.02031 0.00326 0.99979
60.367000000000 0.04278 0.39990 -0.02729 -0.00394 0.02304 0.00330 0.99972
60.459000000000 0.01460 0.33353 -0.02766 -0.00731 0.02535 0.00332 0.99965
60.556000000000 -0.00931 0.26730 -0.02762 -0.00968 0.02752 0.00344 0.99957
60.654000000000 -0.02759 0.20472 -0.02768 -0.01301 0.02939 0.00357 0.99948
60.753000000000 -0.03961 0.14656 -0.02767 -0.01692 0.03089 0.00365 0.99937
60.851000000000 -0.04511 0.09428 -0.02765 -0.01984 0.03254 0.00374 0.99927
60.918000000000 -0.04459 0.06219 -0.02745 -0.02136 0.03384 0.00382 0.99919
61.020000000000 -0.04063 0.01489 -0.02737 -0.02357 0.03454 0.00399 0.99912
61.121000000000 -0.02678 -0.02227 -0.02765 -0.02597 0.03386 0.00414 0.99908
61.220000000000 -0.00876 -0.05393 -0.02624 -0.03499 0.01505 0.00487 0.99926
61.324000000000 0.01438 -0.07669 -0.02442 -0.05173 -0.03205 0.00622 0.99813
61.394000000000 0.02684 -0.08590 -0.02341 -0.05521 -0.05354 0.00666 0.99702
61.496000000000 0.03469 -0.09167 -0.02347 -0.04536 -0.05758 0.00627 0.99729
61.597000000000 0.03152 -0.08753 -0.02542 -0.02537 -0.03875 0.00536 0.99891
