# time x y z qx qy qz qw
84.829000000000 -0.04627 0.01895 0.01662 -0.04002 0.05092 0.00056 0.99790
84.918000000000 -0.07612 0.08850 0.02189 -0.03663 0.08311 -0.00487 0.99585
85.022000000000 -0.07549 0.13236 0.02298 -0.02444 0.10564 -0.00499 0.99409
85.090000000000 -0.06516 0.16125 0.02114 -0.01797 0.10829 -0.00426 0.99395
85.194000000000 -0.03583 0.20802 0.01898 -0.01168 0.10078 -0.00263 0.99484
85.297000000000 0.01008 0.25359 0.01583 -0.00781 0.08730 -0.00064 0.99615
85.398000000000 0.06819 0.29729 0.00974 -0.00374 0.07080 0.00099 0.99748
85.495000000000 0.13458 0.33697 0.00332 0.00067 0.05493 0.00221 0.99849
85.594000000000 0.20872 0.37326 -0.00451 0.00512 0.04211 0.00327 0.99909
85.692000000000 0.28515 0.40665 -0.01308 0.00938 0.02978 0.00385 0.99951
85.757000000000 0.34153 0.43301 -0.01654 0.01196 0.02220 0.00391 0.99967
85.855000000000 0.42074 0.46039 -0.02294 0.01474 0.01230 0.00393 0.99981
85.957000000000 0.50355 0.48590 -0.03019 0.01631 0.00374 0.00373 0.99985
86.055000000000 0.58163 0.50654 -0.03692 0.01683 -0.00416 0.00332 0.99984
86.157000000000 0.65907 0.52310 -0.04352 0.01644 -0.00998 0.00274 0.99981
86.255000000000 0.72287 0.53237 -0.04887 0.01519 -0.01432 0.00234 0.99978
86.352000000000 0.78367 0.53789 -0.05283 0.01299 -0.01818 0.00177 0.99975
86.451000000000 0.83754 0.53852 -0.05550 0.01035 -0.02018 0.00129 0.99974
86.548000000000 0.88411 0.53572 -0.05651 0.00719 -0.02119 0.00102 0.99975
86.641000000000 0.92180 0.53037 -0.05703 0.00370 -0.02183 0.00072 0.99975
86.738000000000 0.95415 0.52312 -0.05575 -0.00012 -0.02210 0.00061 0.99976
86.832000000000 0.97874 0.51481 -0.05513 -0.00399 -0.02182 0.00058 0.99975
86.928000000000 0.99938 0.50604 -0.05322 -0.00808 -0.02119 0.00058 0.99974
87.012000000000 1.01239 0.49881 -0.05166 -0.01158 -0.02057 0.00081 0.99972
87.102000000000 1.02169 0.49178 -0.05009 -0.01543 -0.01961 0.00165 0.99969
87.192000000000 1.02770 0.48588 -0.04803 -0.01910 -0.01889 0.00302 0.99963
87.282000000000 1.02780 0.48239 -0.04609 -0.02206 -0.01780 0.00448 0.99959
87.406000000000 1.02191 0.48202 -0.04380 -0.02551 -0.01559 0.00667 0.99953
87.497000000000 1.01337 0.48514 -0.04197 -0.02770 -0.01482 0.00819 0.99947
87.593000000000 1.00048 0.49229 -0.04034 -0.02907 -0.01351 0.00954 0.99944
87.688000000000 0.98487 0.50305 -0.03880 -0.02918 -0.01199 0.01062 0.99945
87.787000000000 0.96454 0.51888 -0.03762 -0.02971 -0.01120 0.01140 0.99943
87.857000000000 0.94841 0.53268 -0.03689 -0.03010 -0.01116 0.01178 0.99942
87.951000000000 0.92424 0.55472 -0.03596 -0.02886 -0.00997 0.01193 0.99946
88.047000000000 0.89693 0.58099 -0.03529 -0.02700 -0.00868 0.01198 0.99953
88.143000000000 0.86799 0.61074 -0.03491 -0.02588 -0.00843 0.01176 0.99956
88.242000000000 0.83538 0.64444 -0.03471 -0.02378 -0.00751 0.01141 0.99962
88.338000000000 0.80307 0.68010 -0.03429 -0.02067 -0.00586 0.01103 0.99971
88.437000000000 0.76754 0.71904 -0.03401 -0.01855 -0.00531 0.01061 0.99976
88.532000000000 0.73305 0.75882 -0.03410 -0.01593 -0.00443 0.01011 0.99981
88.632000000000 0.69467 0.80144 -0.03463 -0.01285 -0.00323 0.00979 0.99986
88.728000000000 0.65792 0.84382 -0.03558 -0.01093 -0.00305 0.00942 0.99989
88.826000000000 0.61929 0.88712 -0.03636 -0.00829 -0.00201 0.00911 0.99992
88.925000000000 0.57907 0.93058 -0.03699 -0.00598 -0.00124 0.00900 0.99994
89.011000000000 0.54428 0.96794 -0.03757 -0.00477 -0.00107 0.00888 0.99995
89.111000000000 0.50326 1.01092 -0.03798 -0.00367 -0.00063 0.00884 0.99995
89.213000000000 0.46200 1.05400 -0.03845 -0.00134 0.00146 0.00882 0.99996
89.313000000000 0.42161 1.09486 -0.03861 0.00023 0.00308 0.00891 0.99996
89.378000000000 0.39592 1.12079 -0.03896 0.00083 0.00378 0.00898 0.99995
89.472000000000 0.35914 1.15664 -0.03894 0.00170 0.00523 0.00916 0.99994
89.570000000000 0.32144 1.19312 -0.03906 0.00238 0.00670 0.00926 0.99993
89.669000000000 0.28471 1.22809 -0.03881 0.00197 0.00752 0.00998 0.99992
89.767000000000 0.24868 1.26155 -0.03874 0.00176 0.00870 0.01123 0.99990
