# time x y z qx qy qz qw
66.039000000000 -0.03751 0.08153 0.03627 -0.07508 0.06065 -0.00980 0.99528
66.144000000000 -0.03644 0.12778 0.02494 -0.04708 0.10292 -0.01174 0.99351
66.241000000000 -0.02078 0.17992 0.02299 -0.02418 0.12465 -0.01170 0.99184
66.337000000000 0.01353 0.23545 0.02214 -0.00884 0.12735 -0.00988 0.99177
66.440000000000 0.07176 0.29329 0.01909 0.00260 0.11042 -0.00676 0.99386
66.540000000000 0.14653 0.34577 0.01446 0.00975 0.08665 -0.00333 0.99619
66.642000000000 0.23643 0.39436 0.00851 0.01555 0.06210 -0.00009 0.99795
66.742000000000 0.33227 0.43585 0.00064 0.02077 0.03681 0.00237 0.99910
66.843000000000 0.43235 0.47135 -0.00694 0.02516 0.01451 0.00417 0.99957
66.911000000000 0.50017 0.49168 -0.01262 0.02693 0.00328 0.00497 0.99962
67.012000000000 0.59644 0.51525 -0.02040 0.02768 -0.01120 0.00556 0.99954
67.112000000000 0.68520 0.53094 -0.02772 0.02638 -0.02195 0.00537 0.99940
67.212000000000 0.76488 0.53917 -0.03413 0.02325 -0.02912 0.00482 0.99929
67.297000000000 0.82445 0.54086 -0.03895 0.01918 -0.03404 0.00403 0.99923
67.396000000000 0.88369 0.53755 -0.04208 0.01317 -0.03788 0.00306 0.99919
67.493000000000 0.93130 0.53047 -0.04345 0.00653 -0.03942 0.00207 0.99920
67.591000000000 0.96765 0.52034 -0.04375 -0.00089 -0.03936 0.00102 0.99922
67.690000000000 0.99554 0.50960 -0.04309 -0.00857 -0.03790 0.00019 0.99924
67.788000000000 1.01173 0.49908 -0.04051 -0.01617 -0.03581 -0.00041 0.99923
67.882000000000 1.02055 0.49112 -0.03830 -0.02344 -0.03338 -0.00083 0.99917
67.980000000000 1.02121 0.48568 -0.03496 -0.02965 -0.03011 -0.00102 0.99911
68.077000000000 1.01550 0.48521 -0.03196 -0.03508 -0.02699 -0.00127 0.99902
68.169000000000 1.00381 0.48964 -0.02919 -0.03907 -0.02430 -0.00123 0.99894
68.261000000000 0.98685 0.49869 -0.02596 -0.04034 -0.02090 -0.00098 0.99897
68.353000000000 0.96545 0.51377 -0.02361 -0.04120 -0.01822 -0.00014 0.99898
68.449000000000 0.93905 0.53539 -0.02167 -0.04217 -0.01679 0.00127 0.99897
68.546000000000 0.90861 0.56303 -0.01970 -0.04127 -0.01523 0.00299 0.99903
68.648000000000 0.87244 0.59851 -0.01878 -0.03836 -0.01316 0.00492 0.99917
68.751000000000 0.83265 0.64023 -0.01791 -0.03495 -0.01186 0.00669 0.99930
68.819000000000 0.80475 0.67051 -0.01765 -0.03153 -0.01052 0.00775 0.99942
68.917000000000 0.76255 0.71765 -0.01779 -0.02609 -0.00852 0.00899 0.99958
69.015000000000 0.71818 0.76756 -0.01816 -0.02168 -0.00762 0.00998 0.99969
69.115000000000 0.67143 0.82113 -0.01914 -0.01621 -0.00574 0.01054 0.99980
69.212000000000 0.62475 0.87393 -0.02042 -0.01218 -0.00483 0.01088 0.99985
69.301000000000 0.58100 0.92263 -0.02166 -0.00896 -0.00409 0.01100 0.99989
69.397000000000 0.53268 0.97502 -0.02283 -0.00446 -0.00166 0.01092 0.99993
69.487000000000 0.48677 1.02324 -0.02381 -0.00165 0.00010 0.01063 0.99994
69.586000000000 0.43622 1.07468 -0.02467 0.00048 0.00183 0.01023 0.99995
69.689000000000 0.38460 1.12586 -0.02514 0.00303 0.00506 0.00973 0.99994
69.791000000000 0.33469 1.17383 -0.02540 0.00386 0.00753 0.00924 0.99992
69.888000000000 0.28884 1.21722 -0.02573 0.00388 0.00966 0.00881 0.99991
69.985000000000 0.24485 1.25858 -0.02590 0.00450 0.01283 0.00842 0.99987
70.082000000000 0.20321 1.29765 -0.02504 0.00399 0.01545 0.00821 0.99984
70.148000000000 0.17704 1.32282 -0.02508 0.00329 0.01687 0.00811 0.99982
70.245000000000 0.14051 1.35868 -0.02387 0.00243 0.01922 0.00791 0.99978
70.341000000000 0.10879 1.39198 -0.02352 0.00090 0.02095 0.00792 0.99975
70.441000000000 0.07850 1.42557 -0.02256 -0.00136 0.02203 0.00792 0.99972
70.542000000000 0.05380 1.45791 -0.02233 -0.00306 0.02319 0.00799 0.99969
70.643000000000 0.03230 1.49030 -0.02080 -0.00462 0.02394 0.00806 0.99967
70.745000000000 0.01664 1.52183 -0.02055 -0.00695 0.02401 0.00819 0.99965
70.846000000000 0.00364 1.55392 -0.01901 -0.00843 0.02314 0.00846 0.99966
70.911000000000 -0.00105 1.57429 -0.01953 -0.00968 0.02223 0.00892 0.99967
71.011000000000 -0.00745 1.60755 -0.01845 -0.01212 0.02053 0.01014 0.99966
71.106000000000 -0.00911 1.63948 -0.01864 -0.01382 0.01833 0.01163 0.99967
71.203000000000 -0.00937 1.67446 -0.01787 -0.01621 0.01591 0.01324 0.99965
71.302000000000 -0.00666 1.71117 -0.01866 -0.01804 0.01326 0.01496 0.99964
71.395000000000 -0.00291 1.74860 -0.01847 -0.01782 0.01041 0.01631 0.99965
71.490000000000 0.00202 1.78808 -0.01989 -0.01863 0.00762 0.01747 0.99964
71.596000000000 0.00874 1.83560 -0.02008 -0.02016 0.00493 0.01849 0.99961
71.698000000000 0.01458 1.88390 -0.02169 -0.01872 0.00235 0.01904 0.99964
71.767000000000 0.01899 1.91831 -0.02190 -0.01766 0.00077 0.01931 0.99966
71.868000000000 0.02457 1.96956 -0.02343 -0.01660 -0.00115 0.01950 0.99967
71.966000000000 0.02973 2.02138 -0.02389 -0.01340 -0.00243 0.01942 0.99972
72.064000000000 0.03330 2.07417 -0.02540 -0.00963 -0.00316 0.01908 0.99977
72.160000000000 0.03624 2.12691 -0.02578 -0.00657 -0.00338 0.01875 0.99980
72.259000000000 0.03800 2.18035 -0.02704 -0.00250 -0.00329 0.01838 0.99982
72.359000000000 0.03889 2.23424 -0.02728 0.00336 -0.00268 0.01789 0.99983
72.457000000000 0.03871 2.28456 -0.02884 0.00909 -0.00180 0.01759 0.99980
72.554000000000 0.03789 2.33194 -0.02910 0.01521 -0.00076 0.01728 0.99973
72.654000000000 0.03661 2.37616 -0.02949 0.02138 0.00046 0.01709 0.99963
72.722000000000 0.03577 2.40389 -0.02899 0.02525 0.00129 0.01689 0.99954
72.822000000000 0.03448 2.43890 -0.02905 0.03034 0.00237 0.01682 0.99940
72.924000000000 0.03365 2.46808 -0.02820 0.03488 0.00337 0.01678 0.99924
73.025000000000 0.03347 2.48919 -0.02759 0.03897 0.00399 0.01681 0.99909
73.127000000000 0.03382 2.50210 -0.02612 0.04210 0.00429 0.01692 0.99896
73.224000000000 0.03526 2.50761 -0.02458 0.04327 0.00403 0.01686 0.99891
73.319000000000 0.03795 2.50459 -0.02308 0.04392 0.00342 0.01697 0.99889
73.386000000000 0.03948 2.49727 -0.02149 0.04435 0.00284 0.01712 0.99887
73.482000000000 0.04203 2.48060 -0.01940 0.04293 0.00163 0.01747 0.99892
73.601000000000 0.04577 2.45029 -0.01700 0.03970 -0.00017 0.01869 0.99904
73.699000000000 0.04895 2.41745 -0.01548 0.03767 -0.00204 0.02014 0.99909
73.770000000000 0.05081 2.38919 -0.01474 0.03570 -0.00341 0.02134 0.99913
73.872000000000 0.05315 2.34372 -0.01435 0.02970 -0.00507 0.02303 0.99928
73.973000000000 0.05345 2.29412 -0.01406 0.02395 -0.00662 0.02455 0.99939
74.069000000000 0.05304 2.24322 -0.01486 0.01985 -0.00804 0.02585 0.99944
