# time x y z qx qy qz qw
72.455000000000 -0.08502 0.00432 0.01634 -0.01803 0.01102 0.00048 0.99978
72.560000000000 -0.11412 0.00940 0.01660 -0.01938 0.02967 0.00017 0.99937
72.665000000000 -0.11607 0.01511 0.00463 -0.01942 0.04098 0.00029 0.99897
72.733000000000 -0.11047 0.02033 -0.00297 -0.01951 0.04413 0.00042 0.99884
72.834000000000 -0.11746 0.03101 -0.00263 -0.01911 0.04264 0.00057 0.99891
72.936000000000 -0.12027 0.04375 -0.00134 -0.01815 0.03872 0.00071 0.99908
73.035000000000 -0.11649 0.05792 -0.00086 -0.01756 0.03530 0.00067 0.99922
73.132000000000 -0.10834 0.07327 -0.00065 -0.01675 0.03269 0.00069 0.99932
73.230000000000 -0.09698 0.08970 0.00022 -0.01556 0.03048 0.00075 0.99941
73.331000000000 -0.08262 0.10792 -0.00032 -0.01483 0.02900 0.00061 0.99947
73.405000000000 -0.06966 0.12183 -0.00094 -0.01462 0.02838 0.00051 0.99949
73.511000000000 -0.04854 0.14242 -0.00127 -0.01366 0.02680 0.00041 0.99955
73.614000000000 -0.02614 0.16357 -0.00215 -0.01198 0.02436 0.00026 0.99963
73.682000000000 -0.01005 0.17778 -0.00309 -0.01108 0.02302 0.00022 0.99967
73.790000000000 0.01689 0.19954 -0.00535 -0.01032 0.02177 0.00014 0.99971
73.892000000000 0.04348 0.22103 -0.00753 -0.01010 0.02150 0.00011 0.99972
73.989000000000 0.06990 0.24153 -0.00990 -0.00993 0.02132 0.00006 0.99972
74.117000000000 0.10636 0.26852 -0.01258 -0.00839 0.01922 0.00008 0.99978
74.191000000000 0.12831 0.28419 -0.01387 -0.00759 0.01811 0.00005 0.99981
74.256000000000 0.14782 0.29754 -0.01522 -0.00719 0.01763 0.00014 0.99982
74.358000000000 0.17948 0.31929 -0.01637 -0.00651 0.01698 0.00017 0.99983
74.464000000000 0.21265 0.34111 -0.01789 -0.00528 0.01511 0.00015 0.99987
74.558000000000 0.24234 0.35960 -0.01950 -0.00462 0.01432 0.00019 0.99989
74.657000000000 0.27334 0.37752 -0.02152 -0.00429 0.01423 0.00087 0.99989
74.762000000000 0.30649 0.39637 -0.02359 -0.00358 0.01314 0.00219 0.99990
74.832000000000 0.32892 0.40839 -0.02463 -0.00297 0.01223 0.00325 0.99992
74.936000000000 0.36278 0.42670 -0.02666 -0.00230 0.01139 0.00487 0.99992
75.035000000000 0.39375 0.44218 -0.02798 -0.00172 0.01114 0.00650 0.99992
75.141000000000 0.42705 0.45765 -0.02897 -0.00116 0.01083 0.00799 0.99991
75.215000000000 0.45045 0.46809 -0.02919 -0.00051 0.00961 0.00889 0.99991
75.321000000000 0.48179 0.48084 -0.03045 0.00023 0.00803 0.00991 0.99992
75.419000000000 0.51097 0.49147 -0.03128 0.00058 0.00751 0.01058 0.99992
75.517000000000 0.54052 0.50113 -0.03120 0.00071 0.00756 0.01084 0.99991
