# time x y z qx qy qz qw
50.089000000000 -0.03475 0.06007 0.02276 -0.05749 0.07840 -0.00686 0.99524
50.193000000000 -0.02851 0.13766 0.02696 -0.03543 0.11521 -0.01106 0.99265
50.297000000000 -0.00039 0.19620 0.02815 -0.01491 0.12824 -0.01014 0.99158
50.365000000000 0.03050 0.23534 0.02551 -0.00480 0.12276 -0.00849 0.99239
50.466000000000 0.09170 0.29153 0.02080 0.00530 0.10368 -0.00542 0.99458
50.570000000000 0.17142 0.34560 0.01344 0.01183 0.07911 -0.00197 0.99679
50.668000000000 0.25743 0.39073 0.00422 0.01728 0.05321 0.00092 0.99843
50.769000000000 0.35220 0.43229 -0.00549 0.02208 0.02896 0.00333 0.99933
50.863000000000 0.44648 0.46818 -0.01366 0.02523 0.01186 0.00487 0.99960
50.961000000000 0.54210 0.49599 -0.02144 0.02686 -0.00379 0.00578 0.99962
51.031000000000 0.61239 0.51463 -0.02725 0.02687 -0.01332 0.00594 0.99953
51.156000000000 0.72340 0.53359 -0.03566 0.02466 -0.02687 0.00556 0.99932
51.223000000000 0.77285 0.53776 -0.04044 0.02187 -0.03288 0.00510 0.99921
51.319000000000 0.84847 0.54259 -0.04540 0.01708 -0.03871 0.00416 0.99910
51.414000000000 0.90509 0.53942 -0.04819 0.01124 -0.04130 0.00317 0.99908
51.539000000000 0.95891 0.52946 -0.05072 0.00218 -0.04224 0.00174 0.99910
51.604000000000 0.97841 0.52212 -0.05075 -0.00284 -0.04162 0.00106 0.99913
51.702000000000 1.00376 0.51157 -0.04941 -0.01061 -0.04001 0.00014 0.99914
51.797000000000 1.01987 0.50206 -0.04783 -0.01803 -0.03783 -0.00052 0.99912
51.889000000000 1.02752 0.49452 -0.04415 -0.02439 -0.03480 -0.00102 0.99910
51.984000000000 1.02880 0.49006 -0.04174 -0.03056 -0.03148 -0.00134 0.99904
52.078000000000 1.02348 0.48914 -0.03739 -0.03617 -0.02891 -0.00156 0.99893
52.191000000000 1.00924 0.49484 -0.03421 -0.04063 -0.02533 -0.00154 0.99885
52.285000000000 0.99159 0.50588 -0.03162 -0.04265 -0.02260 -0.00121 0.99883
52.381000000000 0.96887 0.52290 -0.02847 -0.04400 -0.02051 -0.00013 0.99882
52.474000000000 0.94186 0.54571 -0.02688 -0.04293 -0.01757 0.00126 0.99892
52.569000000000 0.91097 0.57442 -0.02507 -0.04134 -0.01555 0.00301 0.99902
52.664000000000 0.87606 0.60891 -0.02471 -0.03891 -0.01423 0.00474 0.99913
52.765000000000 0.83627 0.65080 -0.02465 -0.03420 -0.01196 0.00645 0.99932
52.865000000000 0.79423 0.69700 -0.02529 -0.03023 -0.01104 0.00796 0.99945
52.963000000000 0.75057 0.74618 -0.02637 -0.02622 -0.01036 0.00917 0.99956
53.062000000000 0.70428 0.79872 -0.02791 -0.02043 -0.00816 0.01001 0.99971
53.127000000000 0.67312 0.83419 -0.02922 -0.01719 -0.00736 0.01023 0.99977
53.225000000000 0.62501 0.88887 -0.03126 -0.01252 -0.00601 0.01046 0.99985
53.328000000000 0.57322 0.94633 -0.03356 -0.00757 -0.00385 0.01048 0.99991
53.432000000000 0.52023 1.00368 -0.03534 -0.00470 -0.00288 0.01030 0.99993
53.529000000000 0.47026 1.05555 -0.03681 -0.00266 -0.00162 0.01000 0.99995
53.625000000000 0.42101 1.10514 -0.03789 0.00020 0.00113 0.00959 0.99995
53.722000000000 0.37252 1.15287 -0.03868 0.00201 0.00374 0.00920 0.99995
53.824000000000 0.32270 1.20047 -0.03946 0.00273 0.00604 0.00876 0.99994
53.888000000000 0.29261 1.22878 -0.03978 0.00339 0.00789 0.00842 0.99993
53.987000000000 0.24745 1.27101 -0.04046 0.00384 0.01088 0.00806 0.99990
54.085000000000 0.20433 1.31105 -0.04117 0.00305 0.01315 0.00778 0.99988
54.203000000000 0.15842 1.35505 -0.04139 0.00215 0.01601 0.00759 0.99984
54.303000000000 0.12175 1.39107 -0.04199 0.00114 0.01817 0.00752 0.99981
54.366000000000 0.10273 1.41204 -0.04096 0.00007 0.01918 0.00753 0.99979
54.461000000000 0.07327 1.44451 -0.04149 -0.00208 0.02030 0.00748 0.99976
54.556000000000 0.05083 1.47466 -0.04036 -0.00337 0.02140 0.00760 0.99974
54.653000000000 0.02980 1.50571 -0.04032 -0.00434 0.02207 0.00763 0.99972
54.749000000000 0.01633 1.53549 -0.03869 -0.00668 0.02206 0.00769 0.99970
54.847000000000 0.00383 1.56666 -0.03870 -0.00894 0.02122 0.00788 0.99970
54.946000000000 -0.00190 1.59827 -0.03703 -0.01053 0.01994 0.00853 0.99971
55.045000000000 -0.00687 1.63181 -0.03652 -0.01265 0.01819 0.00976 0.99971
55.142000000000 -0.00658 1.66534 -0.03465 -0.01509 0.01611 0.01147 0.99969
55.242000000000 -0.00553 1.70150 -0.03437 -0.01597 0.01345 0.01314 0.99970
55.341000000000 -0.00159 1.73980 -0.03332 -0.01729 0.01066 0.01469 0.99969
55.440000000000 0.00331 1.78064 -0.03365 -0.01927 0.00798 0.01605 0.99965
55.509000000000 0.00710 1.81041 -0.03309 -0.01914 0.00602 0.01688 0.99966
