# time x y z qx qy qz qw
1547124725.099712848663 3.84556 5.21592 -0.10482 0.00619 0.01486 0.19474 0.98072
1547124725.132885694504 3.82742 5.22504 -0.10126 0.00758 0.01663 0.19430 0.98077
1547124725.232415676117 3.76620 5.25658 -0.08567 0.00775 0.02403 0.19309 0.98086
1547124725.365098237991 3.68202 5.28400 -0.09012 0.00949 0.02453 0.19209 0.98103
1547124725.530961990356 3.58290 5.31172 -0.07958 0.01522 0.02985 0.19057 0.98110
1547124725.564138650894 3.56452 5.31034 -0.07331 0.01711 0.03139 0.19072 0.98099
1547124725.663655757904 3.50408 5.30618 -0.06929 0.02218 0.03113 0.18817 0.98139
1547124725.796345710754 3.44422 5.29152 -0.08238 0.02255 0.03272 0.18192 0.98251
1547124725.829522848129 3.43099 5.28317 -0.08530 0.02341 0.03258 0.17982 0.98288
1547124725.962213516235 3.36521 5.25155 -0.08373 0.02259 0.02782 0.16880 0.98500
1547124726.094905853271 3.30565 5.20418 -0.08396 0.01968 0.02555 0.15769 0.98696
1547124726.128077030182 3.28940 5.18875 -0.08194 0.02002 0.02509 0.15515 0.98737
1547124726.227593898773 3.23953 5.14638 -0.07069 0.02078 0.02363 0.14785 0.98851
1547124726.393460750580 3.16762 5.05791 -0.07148 0.02326 0.01998 0.13991 0.98969
1547124726.426633834839 3.15388 5.02951 -0.07326 0.02531 0.02011 0.13986 0.98964
1547124726.559324741364 3.10342 4.93286 -0.06086 0.02922 0.02634 0.13777 0.98968
1547124726.692021131516 3.04894 4.82956 -0.03831 0.02914 0.03225 0.13674 0.98965
1547124726.725209951401 3.03203 4.78938 -0.03677 0.03152 0.03116 0.13741 0.98952
1547124726.857882738113 2.97199 4.66424 -0.01682 0.02997 0.03173 0.13741 0.98955
1547124726.990580797195 2.91894 4.53096 -0.01986 0.02634 0.03097 0.13713 0.98972
1547124727.023748636246 2.91475 4.48352 -0.03257 0.02699 0.03042 0.13913 0.98944
