# time x y z qx qy qz qw
1547124667.037024974823 -0.62909 -0.15970 1.13766 -0.00495 0.00006 0.14001 0.99014
1547124667.045357942581 -0.63234 -0.15809 1.13699 -0.00895 -0.00352 0.14162 0.98987
1547124667.053688287735 -0.63490 -0.15740 1.13723 -0.00352 0.00045 0.14153 0.98993
1547124667.062025308609 -0.63867 -0.15475 1.13886 -0.00362 -0.00761 0.14681 0.98913
1547124667.070320844650 -0.64064 -0.15564 1.13798 0.00288 -0.00059 0.14299 0.98972
1547124667.078662872314 -0.64367 -0.15499 1.13882 -0.00001 -0.00510 0.14318 0.98968
1547124667.086925268173 -0.64525 -0.15375 1.13800 -0.00365 -0.00480 0.13857 0.99033
1547124667.095231771469 -0.64848 -0.15274 1.13869 -0.00121 -0.00481 0.14210 0.98984
1547124667.103615283966 -0.65145 -0.15286 1.13799 -0.00554 -0.00942 0.13979 0.99012
1547124667.112019538879 -0.65310 -0.15253 1.13868 -0.00573 -0.00235 0.14013 0.99011
1547124667.120349884033 -0.65631 -0.15243 1.13869 -0.00462 -0.00804 0.13692 0.99054
1547124667.128595829010 -0.65872 -0.15155 1.13801 0.00598 0.00065 0.13750 0.99048
1547124667.136996984482 -0.66075 -0.15086 1.13810 0.00807 0.00313 0.13426 0.99091
1547124667.145296812057 -0.66397 -0.14997 1.13853 0.00803 0.00078 0.13806 0.99039
1547124667.153577566147 -0.66637 -0.14974 1.13940 0.00660 -0.00305 0.13542 0.99076
1547124667.161866426468 -0.66879 -0.15002 1.13805 0.00337 0.00173 0.13484 0.99086
1547124667.170115232468 -0.67113 -0.14996 1.13722 0.00196 0.00362 0.13069 0.99141
1547124667.178479194641 -0.67385 -0.14830 1.13758 -0.00112 -0.00530 0.13207 0.99123
1547124667.186734437943 -0.67704 -0.14752 1.13885 -0.00340 -0.00218 0.14061 0.99006
1547124667.195124149323 -0.67945 -0.14715 1.13844 0.00369 0.00040 0.13419 0.99095
1547124667.203435182571 -0.68213 -0.14693 1.13934 0.00805 0.00043 0.13559 0.99073
1547124667.211773395538 -0.68411 -0.14785 1.13838 0.00313 0.00068 0.13097 0.99138
1547124667.220165014267 -0.68715 -0.14638 1.13934 0.00891 0.00062 0.13468 0.99085
1547124667.228518247604 -0.68928 -0.14627 1.13921 0.00786 -0.00255 0.13169 0.99126
1547124667.236847162247 -0.69236 -0.14578 1.13933 0.00853 -0.00139 0.13391 0.99096
1547124667.245106697083 -0.69408 -0.14612 1.13840 -0.01022 -0.00437 0.13148 0.99126
1547124667.253624439240 -0.69614 -0.14559 1.13953 0.00918 -0.00395 0.12757 0.99178
1547124667.262078762054 -0.69916 -0.14677 1.13990 -0.00570 -0.00739 0.12646 0.99193
1547124667.270488262177 -0.70075 -0.14570 1.13874 0.01185 0.00470 0.12681 0.99185
1547124667.278868198395 -0.70355 -0.14572 1.13878 0.01585 0.00388 0.12737 0.99172
1547124667.287183046341 -0.70548 -0.14591 1.13851 0.01151 0.00510 0.12636 0.99190
1547124667.295509815216 -0.70933 -0.14446 1.13890 0.00712 -0.00285 0.13248 0.99116
1547124667.303804636002 -0.71104 -0.14430 1.13902 0.01075 -0.00004 0.12846 0.99166
1547124667.312091827393 -0.71287 -0.14581 1.13845 0.02387 0.00372 0.12911 0.99134
