# time x y z qx qy qz qw
1547124725.000195980072 3.68215 0.62323 -0.05654 -0.01513 0.00939 -0.17032 0.98523
1547124725.099712848663 3.66743 0.68915 -0.06869 -0.01432 0.00831 -0.17214 0.98493
1547124725.232415676117 3.63873 0.77367 -0.06978 -0.01383 0.01276 -0.17616 0.98418
1547124725.365098237991 3.60356 0.85203 -0.07285 -0.01389 0.01453 -0.17918 0.98361
1547124725.398271083832 3.59707 0.86205 -0.06974 -0.01196 0.01658 -0.17935 0.98357
1547124725.530961990356 3.55610 0.92364 -0.06837 -0.00672 0.01731 -0.18066 0.98337
1547124725.663655757904 3.50292 0.97026 -0.07350 -0.00109 0.01519 -0.18348 0.98291
1547124725.696826696396 3.49153 0.97556 -0.07401 0.00082 0.01671 -0.18408 0.98277
1547124725.796345710754 3.45330 0.99670 -0.08798 0.00179 0.01711 -0.18887 0.98185
1547124725.962213516235 3.37132 1.02737 -0.09398 -0.00366 0.00950 -0.20227 0.97928
1547124725.995385885239 3.35142 1.03264 -0.09330 -0.00507 0.00800 -0.20519 0.97868
1547124726.094905853271 3.29888 1.03580 -0.09461 -0.00694 0.00770 -0.21309 0.97698
1547124726.227593898773 3.22317 1.03494 -0.08171 -0.00634 0.00681 -0.22276 0.97483
1547124726.393460750580 3.10829 1.02118 -0.08661 -0.00478 -0.00208 -0.22933 0.97333
1547124726.426633834839 3.07972 1.01180 -0.08563 -0.00219 -0.00326 -0.22969 0.97326
1547124726.559324741364 2.98233 0.98059 -0.07402 0.00331 0.00094 -0.23118 0.97291
1547124726.592500925064 2.95641 0.97354 -0.06926 0.00365 0.00172 -0.23157 0.97281
1547124726.692021131516 2.87192 0.94162 -0.05401 0.00703 0.00468 -0.23068 0.97299
1547124726.857882738113 2.73203 0.88076 -0.01898 0.00669 0.00882 -0.23095 0.97290
1547124726.891055583954 2.70062 0.85571 -0.03056 0.00747 0.00657 -0.23018 0.97310
1547124726.990580797195 2.60283 0.80455 -0.04690 0.00404 0.00390 -0.22857 0.97351
1547124727.156439065933 2.44720 0.70196 -0.05914 -0.00427 0.00519 -0.22575 0.97416
1547124727.189611673355 2.41331 0.67674 -0.05447 -0.00508 0.00588 -0.22539 0.97424
1547124727.289131641388 2.31190 0.60624 -0.04754 -0.00783 0.00608 -0.22458 0.97441
1547124727.421821832657 2.16867 0.50821 -0.02423 -0.01361 0.00833 -0.22430 0.97439
1547124727.554517745972 2.03198 0.41398 -0.00465 -0.02223 0.01396 -0.22443 0.97414
1547124727.587687730789 2.00069 0.38358 -0.01016 -0.02310 0.01435 -0.22449 0.97410
1547124727.687206745148 1.90235 0.30529 -0.00568 -0.02445 0.01474 -0.22549 0.97383
