# time x y z qx qy qz qw
32.215000000000 0.08679 -0.02780 0.01927 -0.01134 0.07761 0.00058 0.99692
32.302000000000 0.13244 -0.03828 0.00926 -0.02821 0.05431 0.00158 0.99812
32.400000000000 0.19424 -0.04731 0.00661 -0.04212 0.03402 0.00243 0.99853
32.500000000000 0.26088 -0.05007 0.00541 -0.04772 0.02044 0.00253 0.99865
32.593000000000 0.32360 -0.04604 0.00413 -0.04733 0.01489 0.00226 0.99877
32.693000000000 0.38961 -0.03467 0.00196 -0.04395 0.01394 0.00166 0.99893
32.790000000000 0.45133 -0.01716 0.00039 -0.03922 0.01310 0.00106 0.99914
32.883000000000 0.50760 0.00492 -0.00386 -0.03553 0.01232 0.00058 0.99929
32.978000000000 0.56362 0.03148 -0.00600 -0.03314 0.01144 0.00015 0.99939
33.069000000000 0.61369 0.06114 -0.01006 -0.03016 0.00796 -0.00007 0.99951
33.159000000000 0.66337 0.09221 -0.01215 -0.02748 0.00422 -0.00025 0.99961
33.254000000000 0.70917 0.12757 -0.01540 -0.02579 0.00071 -0.00038 0.99967
33.349000000000 0.75700 0.16466 -0.01735 -0.02309 -0.00330 -0.00034 0.99973
33.445000000000 0.80173 0.20485 -0.02053 -0.02064 -0.00733 -0.00031 0.99976
33.538000000000 0.84441 0.24539 -0.02345 -0.01915 -0.01062 -0.00025 0.99976
33.637000000000 0.88047 0.28745 -0.02554 -0.01759 -0.01391 -0.00011 0.99975
33.732000000000 0.91124 0.32892 -0.02717 -0.01525 -0.01714 -0.00004 0.99974
33.825000000000 0.93752 0.37055 -0.02845 -0.01408 -0.02021 0.00006 0.99970
33.923000000000 0.95854 0.41440 -0.02927 -0.01310 -0.02279 0.00013 0.99965
34.015000000000 0.97465 0.45702 -0.03011 -0.01120 -0.02453 0.00021 0.99964
34.104000000000 0.98653 0.49926 -0.03101 -0.01025 -0.02588 0.00018 0.99961
34.198000000000 0.99277 0.54410 -0.03208 -0.01041 -0.02710 0.00010 0.99958
34.313000000000 0.98634 0.59342 -0.03305 -0.01014 -0.02708 0.00019 0.99958
34.408000000000 0.97365 0.63305 -0.03368 -0.01060 -0.02698 0.00010 0.99958
34.500000000000 0.95546 0.67046 -0.03396 -0.01139 -0.02675 0.00004 0.99958
34.597000000000 0.92982 0.70723 -0.03400 -0.01150 -0.02486 -0.00001 0.99962
34.690000000000 0.90054 0.74483 -0.03432 -0.01094 -0.02209 -0.00009 0.99970
34.789000000000 0.86386 0.78225 -0.03427 -0.01135 -0.01979 -0.00002 0.99974
34.885000000000 0.82350 0.81930 -0.03440 -0.01280 -0.01833 -0.00008 0.99975
34.982000000000 0.77809 0.85666 -0.03428 -0.01306 -0.01496 -0.00015 0.99980
35.073000000000 0.73186 0.89189 -0.03448 -0.01352 -0.01163 -0.00016 0.99984
35.173000000000 0.67796 0.93120 -0.03415 -0.01517 -0.00912 -0.00019 0.99984
35.268000000000 0.62411 0.96871 -0.03436 -0.01693 -0.00713 -0.00024 0.99983
35.366000000000 0.56659 1.00853 -0.03418 -0.01677 -0.00244 -0.00030 0.99986
35.464000000000 0.50786 1.04864 -0.03472 -0.01704 0.00194 -0.00036 0.99985
35.564000000000 0.44809 1.09025 -0.03438 -0.01892 0.00433 -0.00034 0.99981
