# time x y z qx qy qz qw
38.925000000000 0.00190 0.01742 -0.02167 -0.01479 0.01037 0.00856 0.99980
39.022000000000 -0.01095 0.03864 -0.01542 0.00772 0.00744 0.01139 0.99988
39.121000000000 -0.01492 0.06148 -0.01389 0.02595 0.00763 0.01348 0.99954
39.218000000000 -0.01361 0.06527 -0.01442 0.04666 0.00915 0.01431 0.99877
39.319000000000 -0.00497 0.09886 -0.01709 0.05773 0.01098 0.01552 0.99815
39.419000000000 0.00052 0.13487 -0.01897 0.06085 0.01247 0.01740 0.99792
39.519000000000 0.00661 0.16167 -0.02233 0.05691 0.01293 0.01925 0.99811
39.617000000000 0.01149 0.14921 -0.02545 0.04947 0.01265 0.02059 0.99848
39.681000000000 0.01932 0.18512 -0.02973 0.03874 0.01249 0.02208 0.99893
39.780000000000 0.02402 0.21239 -0.03813 0.02350 0.01141 0.02395 0.99937
39.879000000000 0.02481 0.24458 -0.04859 0.01046 0.00992 0.02608 0.99956
39.975000000000 0.01005 0.37471 -0.07401 -0.00028 0.00547 0.02684 0.99962
40.091000000000 0.00352 0.37679 -0.07323 -0.00814 0.00599 0.02552 0.99962
40.189000000000 0.00494 0.38846 -0.07391 -0.01215 0.00556 0.02364 0.99963
40.258000000000 0.00276 0.38796 -0.07039 -0.01427 0.00644 0.02281 0.99962
40.347000000000 0.00266 0.40463 -0.06759 -0.01326 0.00699 0.02068 0.99967
40.471000000000 0.00107 0.40560 -0.06553 -0.01217 0.00752 0.02020 0.99969
40.564000000000 -0.00081 0.39605 -0.05874 -0.01262 0.00889 0.02060 0.99967
40.657000000000 0.00056 0.40403 -0.06150 -0.01263 0.00994 0.02001 0.99967
40.753000000000 0.00116 0.41039 -0.06048 -0.01638 0.01408 0.01928 0.99958
40.849000000000 0.00211 0.41089 -0.05853 -0.02382 0.02121 0.01934 0.99930
40.950000000000 0.00518 0.41136 -0.05624 -0.03342 0.03021 0.01998 0.99879
41.015000000000 0.01007 0.42699 -0.05309 -0.03917 0.03650 0.01914 0.99838
41.122000000000 0.02152 0.44386 -0.04915 -0.05062 0.04798 0.01949 0.99737
41.222000000000 0.03830 0.44913 -0.04153 -0.06126 0.05851 0.02138 0.99618
41.319000000000 0.06665 0.49302 -0.04580 -0.06593 0.06342 0.02040 0.99560
41.419000000000 0.10197 0.53238 -0.04156 -0.07047 0.06827 0.02050 0.99496
41.518000000000 0.14740 0.58230 -0.04166 -0.07197 0.06978 0.02041 0.99475
41.585000000000 0.18388 0.62132 -0.04039 -0.06875 0.06695 0.02004 0.99518
41.681000000000 0.24430 0.68728 -0.04052 -0.06139 0.05987 0.01955 0.99612
41.777000000000 0.31047 0.76247 -0.04293 -0.05166 0.05050 0.01868 0.99721
41.877000000000 0.38833 0.84737 -0.04477 -0.03687 0.03652 0.01807 0.99849
41.975000000000 0.46851 0.93251 -0.04808 -0.02000 0.02033 0.01829 0.99943
42.078000000000 0.55191 1.02161 -0.05217 -0.00281 0.00384 0.01896 0.99981
42.167000000000 0.62218 1.09590 -0.05633 0.01046 -0.00893 0.01979 0.99971
42.268000000000 0.69711 1.17497 -0.06089 0.02411 -0.02186 0.02053 0.99926
42.366000000000 0.76195 1.24355 -0.06549 0.03509 -0.03231 0.02087 0.99864
42.467000000000 0.82070 1.30550 -0.06983 0.04186 -0.03872 0.02077 0.99816
42.563000000000 0.86703 1.35447 -0.07360 0.04390 -0.04051 0.02023 0.99801
42.659000000000 0.90043 1.39023 -0.07686 0.04159 -0.03822 0.01934 0.99822
42.753000000000 0.92675 1.41819 -0.07895 0.03572 -0.03271 0.01845 0.99866
42.853000000000 0.94439 1.43721 -0.08030 0.02684 -0.02430 0.01766 0.99919
42.919000000000 0.95313 1.44603 -0.08019 0.02045 -0.01821 0.01739 0.99947
43.016000000000 0.96031 1.45354 -0.08030 0.01124 -0.00956 0.01723 0.99974
43.110000000000 0.96365 1.45699 -0.08040 0.00361 -0.00235 0.01732 0.99984
43.205000000000 0.96502 1.45773 -0.07883 -0.00181 0.00282 0.01746 0.99984
43.328000000000 0.96557 1.45803 -0.07822 -0.00566 0.00639 0.01768 0.99981
43.422000000000 0.96589 1.45746 -0.07628 -0.00750 0.00808 0.01780 0.99978
43.520000000000 0.96564 1.45714 -0.07564 -0.00843 0.00920 0.01794 0.99976
43.587000000000 0.96580 1.45662 -0.07477 -0.00815 0.00896 0.01812 0.99976
43.707000000000 0.96598 1.45668 -0.07388 -0.00532 0.00458 0.01816 0.99981
43.802000000000 0.96614 1.45662 -0.07236 -0.00057 -0.00333 0.01824 0.99983
43.899000000000 0.96408 1.45522 -0.06966 0.00562 -0.01390 0.01849 0.99972
43.988000000000 0.95876 1.45176 -0.06566 0.01122 -0.02387 0.01885 0.99947
44.085000000000 0.94750 1.44534 -0.05770 0.01744 -0.03535 0.01935 0.99904
44.168000000000 0.93163 1.43665 -0.04789 0.02190 -0.04337 0.01968 0.99863
44.265000000000 0.90430 1.42148 -0.03191 0.02608 -0.05100 0.01992 0.99816
44.363000000000 0.86541 1.39988 -0.00976 0.02917 -0.05675 0.01996 0.99776
44.463000000000 0.81334 1.37111 0.01959 0.02996 -0.05775 0.01971 0.99769
44.556000000000 0.75409 1.33855 0.05189 0.02697 -0.05175 0.01936 0.99811
44.652000000000 0.68339 1.29962 0.09033 0.02166 -0.04134 0.01885 0.99873
44.747000000000 0.60587 1.25705 0.13227 0.01478 -0.02824 0.01853 0.99932
44.846000000000 0.52053 1.20987 0.17811 0.00536 -0.01036 0.01852 0.99976
44.943000000000 0.43514 1.16287 0.22299 -0.00543 0.00998 0.01886 0.99976
45.044000000000 0.34846 1.11524 0.26796 -0.01571 0.02975 0.01958 0.99924
45.109000000000 0.29553 1.08623 0.29512 -0.02158 0.04091 0.02005 0.99873
45.208000000000 0.22195 1.04537 0.33280 -0.02908 0.05525 0.02068 0.99783
45.303000000000 0.16054 1.01114 0.36379 -0.03357 0.06397 0.02099 0.99717
45.403000000000 0.10740 0.98146 0.39053 -0.03521 0.06714 0.02076 0.99691
45.498000000000 0.06827 0.96003 0.40944 -0.03406 0.06473 0.02014 0.99712
45.592000000000 0.04011 0.94358 0.42392 -0.03043 0.05790 0.01947 0.99767
45.692000000000 0.02041 0.93289 0.43334 -0.02484 0.04728 0.01880 0.99840
45.790000000000 0.00888 0.92612 0.43970 -0.01841 0.03541 0.01855 0.99903
45.884000000000 0.00336 0.92288 0.44310 -0.01247 0.02466 0.01850 0.99945
45.982000000000 0.00149 0.92167 0.44494 -0.00745 0.01567 0.01849 0.99968
46.077000000000 0.00139 0.92151 0.44556 -0.00434 0.01002 0.01849 0.99977
46.177000000000 0.00178 0.92172 0.44546 -0.00220 0.00627 0.01857 0.99981
46.266000000000 0.00187 0.92170 0.44527 -0.00089 0.00381 0.01859 0.99982
46.363000000000 0.00162 0.92177 0.44381 -0.00030 0.00268 0.01865 0.99982
46.449000000000 0.00128 0.92107 0.44327 -0.00039 0.00285 0.01875 0.99982
46.541000000000 0.00064 0.92033 0.44249 -0.00098 0.00366 0.01879 0.99982
46.637000000000 -0.00025 0.91947 0.44170 -0.00141 0.00443 0.01885 0.99981
46.729000000000 -0.00112 0.91845 0.44100 -0.00156 0.00481 0.01890 0.99981
46.844000000000 -0.00203 0.91736 0.44054 -0.00154 0.00473 0.01893 0.99981
46.930000000000 -0.00275 0.91685 0.44045 -0.00133 0.00441 0.01890 0.99981
47.021000000000 -0.00315 0.91642 0.44047 -0.00107 0.00403 0.01892 0.99981
47.111000000000 -0.00335 0.91614 0.44071 -0.00080 0.00372 0.01888 0.99981
47.230000000000 -0.00340 0.91556 0.44056 -0.00068 0.00332 0.01899 0.99981
47.317000000000 -0.00360 0.91495 0.44013 -0.00054 0.00311 0.01900 0.99981
47.403000000000 -0.00377 0.91472 0.44004 -0.00044 0.00301 0.01901 0.99981
47.493000000000 -0.00395 0.91424 0.43986 -0.00026 0.00309 0.01907 0.99981
47.595000000000 -0.00349 0.91409 0.44770 -0.00083 0.02884 0.01943 0.99940
47.700000000000 0.00469 0.91435 0.49176 0.00007 0.05861 0.02028 0.99808
47.799000000000 0.02663 0.91554 0.56956 0.00391 0.07750 0.02113 0.99676
47.900000000000 0.06578 0.91619 0.65987 0.01122 0.10147 0.02180 0.99454
47.999000000000 0.12183 0.91441 0.74161 0.02011 0.12364 0.02201 0.99188
48.065000000000 0.16894 0.91191 0.78638 0.02656 0.13756 0.02164 0.98990
48.162000000000 0.25390 0.90549 0.83234 0.03525 0.15050 0.02054 0.98777
48.252000000000 0.34937 0.89514 0.85216 0.03869 0.13923 0.01899 0.98932
48.349000000000 0.46855 0.88006 0.84833 0.03760 0.10863 0.01731 0.99322
48.448000000000 0.60330 0.86009 0.82024 0.03369 0.07113 0.01568 0.99677
