# time x y z qx qy qz qw
66.039000000000 -0.03346 0.07581 0.03266 -0.07437 0.06131 -0.00944 0.99530
66.109000000000 -0.03535 0.10712 0.02873 -0.05621 0.09138 -0.01108 0.99417
66.207000000000 -0.02658 0.15813 0.02764 -0.03124 0.11975 -0.01185 0.99224
66.306000000000 0.00161 0.21479 0.02607 -0.01307 0.12912 -0.01047 0.99149
66.405000000000 0.05058 0.27206 0.02305 -0.00084 0.11801 -0.00783 0.99298
66.506000000000 0.11947 0.32558 0.01818 0.00748 0.09541 -0.00443 0.99540
66.609000000000 0.20528 0.37675 0.01217 0.01342 0.07035 -0.00101 0.99743
66.677000000000 0.26843 0.40681 0.00534 0.01706 0.05395 0.00095 0.99840
66.776000000000 0.36489 0.44568 -0.00211 0.02200 0.02930 0.00317 0.99932
66.879000000000 0.46737 0.47967 -0.00998 0.02558 0.00895 0.00476 0.99962
66.980000000000 0.56506 0.50576 -0.01841 0.02703 -0.00603 0.00559 0.99960
67.078000000000 0.65474 0.52400 -0.02602 0.02620 -0.01766 0.00567 0.99948
67.180000000000 0.73882 0.53454 -0.03392 0.02355 -0.02597 0.00523 0.99937
67.265000000000 0.80123 0.53826 -0.03976 0.01992 -0.03109 0.00459 0.99931
67.365000000000 0.86575 0.53710 -0.04463 0.01401 -0.03552 0.00366 0.99926
67.464000000000 0.91608 0.53045 -0.04706 0.00734 -0.03748 0.00275 0.99927
67.559000000000 0.95391 0.52126 -0.04830 0.00016 -0.03779 0.00177 0.99928
67.658000000000 0.98532 0.51090 -0.04818 -0.00760 -0.03652 0.00091 0.99930
67.755000000000 1.00529 0.50021 -0.04626 -0.01529 -0.03439 0.00022 0.99929
67.819000000000 1.01414 0.49409 -0.04474 -0.02034 -0.03284 -0.00007 0.99925
67.915000000000 1.01957 0.48685 -0.04232 -0.02750 -0.02999 -0.00041 0.99917
68.013000000000 1.01836 0.48331 -0.03945 -0.03347 -0.02643 -0.00060 0.99909
68.109000000000 1.01020 0.48450 -0.03660 -0.03878 -0.02330 -0.00066 0.99898
68.200000000000 0.99653 0.49022 -0.03326 -0.04186 -0.02019 -0.00064 0.99892
68.323000000000 0.97112 0.50655 -0.03002 -0.04324 -0.01577 0.00014 0.99894
68.415000000000 0.94722 0.52524 -0.02800 -0.04431 -0.01380 0.00133 0.99892
