# time x y z qx qy qz qw
72.455000000000 -0.08581 0.00923 0.00850 -0.01828 0.01073 0.00012 0.99978
72.560000000000 -0.12146 0.01115 0.01088 -0.01956 0.02865 0.00003 0.99940
72.665000000000 -0.12371 0.01585 0.00077 -0.01960 0.04005 0.00015 0.99901
72.768000000000 -0.11837 0.02422 -0.00687 -0.01970 0.04350 0.00027 0.99886
72.869000000000 -0.12108 0.03592 -0.00946 -0.01901 0.04097 0.00047 0.99898
72.967000000000 -0.12245 0.04898 -0.01003 -0.01823 0.03713 0.00060 0.99914
73.068000000000 -0.11706 0.06425 -0.01090 -0.01778 0.03404 0.00058 0.99926
73.132000000000 -0.11059 0.07476 -0.01149 -0.01719 0.03236 0.00056 0.99933
73.230000000000 -0.09908 0.09132 -0.01093 -0.01609 0.03028 0.00063 0.99941
73.331000000000 -0.08491 0.10951 -0.01207 -0.01544 0.02887 0.00049 0.99946
73.440000000000 -0.06553 0.12999 -0.01325 -0.01516 0.02802 0.00034 0.99949
73.546000000000 -0.04369 0.15044 -0.01443 -0.01383 0.02602 0.00027 0.99957
73.614000000000 -0.02669 0.16312 -0.01426 -0.01272 0.02470 0.00013 0.99961
73.717000000000 -0.00322 0.18442 -0.01584 -0.01159 0.02288 0.00003 0.99967
73.822000000000 0.02297 0.20585 -0.01807 -0.01118 0.02209 -0.00004 0.99969
73.922000000000 0.04966 0.22579 -0.02108 -0.01109 0.02222 -0.00009 0.99969
73.989000000000 0.06760 0.23989 -0.02290 -0.01102 0.02208 -0.00016 0.99970
74.117000000000 0.10341 0.26642 -0.02596 -0.00960 0.02015 -0.00017 0.99975
74.191000000000 0.12578 0.28259 -0.02669 -0.00894 0.01939 -0.00021 0.99977
74.291000000000 0.15522 0.30311 -0.02880 -0.00857 0.01908 -0.00012 0.99978
74.392000000000 0.18599 0.32346 -0.03084 -0.00771 0.01797 -0.00014 0.99981
74.498000000000 0.21986 0.34563 -0.03203 -0.00667 0.01660 -0.00014 0.99984
74.589000000000 0.24847 0.36339 -0.03359 -0.00624 0.01631 0.00004 0.99985
74.657000000000 0.26993 0.37637 -0.03461 -0.00622 0.01654 0.00055 0.99984
74.762000000000 0.30410 0.39555 -0.03647 -0.00561 0.01576 0.00192 0.99986
74.867000000000 0.33719 0.41362 -0.03894 -0.00488 0.01473 0.00350 0.99987
74.969000000000 0.36950 0.43069 -0.04049 -0.00438 0.01442 0.00515 0.99987
75.070000000000 0.40418 0.44805 -0.04210 -0.00404 0.01468 0.00678 0.99986
75.141000000000 0.42647 0.45849 -0.04353 -0.00373 0.01450 0.00771 0.99986
75.248000000000 0.46102 0.47358 -0.04476 -0.00299 0.01316 0.00906 0.99987
75.351000000000 0.49204 0.48613 -0.04655 -0.00255 0.01207 0.00991 0.99987
75.419000000000 0.51285 0.49364 -0.04734 -0.00236 0.01189 0.01034 0.99987
75.517000000000 0.54286 0.50351 -0.04797 -0.00239 0.01220 0.01061 0.99987
75.616000000000 0.57109 0.51193 -0.04925 -0.00226 0.01171 0.01076 0.99987
75.717000000000 0.59920 0.51913 -0.05034 -0.00226 0.01146 0.01061 0.99988
75.814000000000 0.62562 0.52506 -0.05155 -0.00237 0.01161 0.01030 0.99988
75.912000000000 0.65184 0.52949 -0.05164 -0.00244 0.01132 0.00994 0.99988
76.010000000000 0.67625 0.53288 -0.05250 -0.00258 0.01054 0.00962 0.99989
76.111000000000 0.70104 0.53530 -0.05350 -0.00276 0.01051 0.00923 0.99990
76.208000000000 0.72415 0.53692 -0.05426 -0.00298 0.01036 0.00881 0.99990
76.278000000000 0.74068 0.53706 -0.05414 -0.00310 0.01003 0.00863 0.99991
76.379000000000 0.76261 0.53677 -0.05508 -0.00339 0.00972 0.00838 0.99991
76.476000000000 0.78317 0.53580 -0.05594 -0.00365 0.00985 0.00821 0.99991
76.573000000000 0.80280 0.53400 -0.05671 -0.00396 0.00965 0.00815 0.99991
76.666000000000 0.82168 0.53173 -0.05689 -0.00436 0.00911 0.00816 0.99992
76.751000000000 0.83750 0.52921 -0.05716 -0.00468 0.00890 0.00815 0.99992
76.875000000000 0.85933 0.52495 -0.05745 -0.00495 0.00909 0.00822 0.99991
76.974000000000 0.87579 0.52121 -0.05776 -0.00532 0.00891 0.00823 0.99991
77.041000000000 0.88591 0.51813 -0.05782 -0.00565 0.00836 0.00828 0.99991
77.138000000000 0.90065 0.51398 -0.05834 -0.00609 0.00791 0.00836 0.99992
77.234000000000 0.91417 0.50986 -0.05848 -0.00641 0.00777 0.00888 0.99991
77.328000000000 0.92640 0.50578 -0.05833 -0.00693 0.00751 0.00997 0.99990
77.424000000000 0.93819 0.50144 -0.05787 -0.00732 0.00724 0.01145 0.99988
77.519000000000 0.94897 0.49713 -0.05756 -0.00765 0.00706 0.01304 0.99986
77.614000000000 0.95855 0.49285 -0.05699 -0.00792 0.00690 0.01465 0.99984
77.709000000000 0.96741 0.48920 -0.05684 -0.00843 0.00666 0.01602 0.99981
77.802000000000 0.97546 0.48588 -0.05664 -0.00889 0.00615 0.01728 0.99979
77.895000000000 0.98266 0.48274 -0.05632 -0.00926 0.00586 0.01821 0.99977
78.017000000000 0.99086 0.47934 -0.05595 -0.00971 0.00552 0.01906 0.99976
78.108000000000 0.99598 0.47734 -0.05537 -0.01003 0.00527 0.01938 0.99975
78.201000000000 1.00000 0.47620 -0.05510 -0.01027 0.00496 0.01936 0.99975
78.294000000000 1.00320 0.47551 -0.05481 -0.01063 0.00462 0.01931 0.99975
78.392000000000 1.00539 0.47552 -0.05443 -0.01098 0.00428 0.01899 0.99975
78.489000000000 1.00668 0.47638 -0.05399 -0.01112 0.00401 0.01864 0.99976
78.582000000000 1.00709 0.47779 -0.05349 -0.01143 0.00371 0.01829 0.99976
78.684000000000 1.00598 0.47986 -0.05284 -0.01165 0.00347 0.01800 0.99976
78.772000000000 1.00419 0.48267 -0.05239 -0.01179 0.00338 0.01764 0.99977
78.865000000000 1.00128 0.48668 -0.05185 -0.01198 0.00304 0.01731 0.99977
78.963000000000 0.99731 0.49179 -0.05149 -0.01209 0.00276 0.01707 0.99978
79.059000000000 0.99239 0.49779 -0.05100 -0.01194 0.00285 0.01687 0.99978
79.156000000000 0.98651 0.50486 -0.05047 -0.01181 0.00282 0.01673 0.99979
