# time x y z qx qy qz qw
267.697000000000 0.00671 0.13431 0.20426 -0.01564 0.00841 0.00239 0.99984
267.800000000000 0.00675 0.14100 0.20833 -0.01361 0.00894 0.00135 0.99987
267.895000000000 0.00737 0.14615 0.21352 -0.01219 0.00950 0.00069 0.99988
267.978000000000 0.00741 0.14779 0.21476 -0.01152 0.00965 0.00056 0.99989
268.060000000000 0.00752 0.14911 0.21574 -0.01128 0.00980 0.00051 0.99989
268.179000000000 0.00753 0.15055 0.21739 -0.01152 0.00982 0.00054 0.99989
268.245000000000 0.00768 0.15119 0.21739 -0.01168 0.00980 0.00054 0.99988
268.355000000000 0.00761 0.15232 0.21912 -0.01187 0.00986 0.00054 0.99988
268.454000000000 0.00772 0.15330 0.22029 -0.01182 0.00986 0.00056 0.99988
268.532000000000 0.00779 0.15418 0.22138 -0.01171 0.00981 0.00060 0.99988
268.645000000000 0.00792 0.15556 0.22371 -0.01158 0.00979 0.00053 0.99988
268.790000000000 0.00794 0.15689 0.22620 -0.01132 0.01033 0.00055 0.99988
268.866000000000 0.00827 0.15921 0.22766 -0.00149 0.03316 -0.00003 0.99945
268.937000000000 0.01045 0.15939 0.22891 0.01130 0.06748 -0.00074 0.99766
269.012000000000 0.01942 0.15606 0.23200 0.01708 0.09272 -0.00103 0.99554
269.108000000000 0.04416 0.14753 0.23539 0.00963 0.09794 -0.00063 0.99515
269.215000000000 0.08951 0.13401 0.23804 -0.01124 0.07687 0.00069 0.99698
269.298000000000 0.13485 0.12298 0.23854 -0.02799 0.05366 0.00177 0.99817
269.407000000000 0.20254 0.11218 0.23886 -0.04284 0.02837 0.00263 0.99868
269.518000000000 0.27535 0.10875 0.23828 -0.04822 0.01468 0.00272 0.99873
269.642000000000 0.35651 0.11562 0.23694 -0.04690 0.01318 0.00194 0.99881
269.676000000000 0.37912 0.11992 0.23512 -0.04570 0.01370 0.00167 0.99886
269.770000000000 0.43814 0.13500 0.23457 -0.04212 0.01473 0.00111 0.99900
269.899000000000 0.51688 0.16536 0.23031 -0.03728 0.01298 0.00057 0.99922
269.959000000000 0.55270 0.18181 0.22916 -0.03551 0.01126 0.00042 0.99931
270.076000000000 0.62113 0.21925 0.22589 -0.03147 0.00583 0.00019 0.99949
270.177000000000 0.67942 0.25488 0.22382 -0.02850 0.00144 0.00017 0.99959
270.251000000000 0.71772 0.28263 0.22134 -0.02723 -0.00091 0.00017 0.99963
270.350000000000 0.76969 0.32191 0.21913 -0.02531 -0.00378 0.00021 0.99967
270.442000000000 0.81542 0.36008 0.21777 -0.02335 -0.00682 0.00029 0.99970
270.540000000000 0.86317 0.40321 0.21518 -0.02036 -0.01097 0.00049 0.99973
270.633000000000 0.89881 0.44317 0.21310 -0.01806 -0.01472 0.00056 0.99973
270.767000000000 0.94297 0.50167 0.21062 -0.01604 -0.01946 0.00069 0.99968
270.851000000000 0.96588 0.53900 0.20957 -0.01464 -0.02204 0.00078 0.99965
270.938000000000 0.98799 0.57947 0.20839 -0.01334 -0.02433 0.00075 0.99961
271.043000000000 1.00363 0.62591 0.20709 -0.01264 -0.02678 0.00075 0.99956
271.120000000000 1.01117 0.66044 0.20646 -0.01250 -0.02820 0.00073 0.99952
271.201000000000 1.01214 0.69431 0.20559 -0.01144 -0.02853 0.00083 0.99953
271.319000000000 1.00695 0.74411 0.20449 -0.01089 -0.02869 0.00087 0.99953
271.388000000000 0.99836 0.77224 0.20381 -0.01107 -0.02881 0.00082 0.99952
271.515000000000 0.97442 0.82358 0.20277 -0.01135 -0.02794 0.00080 0.99954
271.588000000000 0.95599 0.85272 0.20246 -0.01160 -0.02703 0.00077 0.99957
271.714000000000 0.91560 0.90212 0.20217 -0.01174 -0.02427 0.00078 0.99964
271.790000000000 0.88714 0.93185 0.20209 -0.01159 -0.02181 0.00076 0.99969
