# time x y z qx qy qz qw
49.885000000000 0.06045 -0.01863 0.02192 0.00012 0.09545 -0.00028 0.99543
49.981000000000 0.10603 -0.03185 0.01200 -0.01918 0.07074 0.00103 0.99731
50.081000000000 0.16471 -0.04309 0.00915 -0.03671 0.04480 0.00211 0.99832
50.178000000000 0.22653 -0.04910 0.00671 -0.04684 0.02768 0.00253 0.99852
50.274000000000 0.28867 -0.04848 0.00402 -0.04921 0.01823 0.00239 0.99862
50.369000000000 0.34932 -0.04090 0.00082 -0.04744 0.01571 0.00182 0.99875
50.463000000000 0.40709 -0.02709 -0.00386 -0.04397 0.01634 0.00116 0.99890
50.560000000000 0.46714 -0.00726 -0.00631 -0.03939 0.01611 0.00066 0.99909
50.654000000000 0.52290 0.01635 -0.00993 -0.03525 0.01369 0.00033 0.99928
50.757000000000 0.58366 0.04692 -0.01285 -0.03208 0.01079 0.00010 0.99943
50.852000000000 0.63570 0.07755 -0.01718 -0.02985 0.00738 0.00002 0.99953
50.938000000000 0.68330 0.10844 -0.01970 -0.02800 0.00443 -0.00003 0.99960
51.030000000000 0.72969 0.14327 -0.02313 -0.02491 -0.00021 -0.00008 0.99969
51.126000000000 0.77686 0.18195 -0.02555 -0.02239 -0.00423 -0.00003 0.99974
51.219000000000 0.81928 0.22035 -0.02782 -0.02117 -0.00724 0.00001 0.99975
51.319000000000 0.86037 0.26284 -0.02997 -0.01900 -0.01074 0.00011 0.99976
51.410000000000 0.89326 0.30301 -0.03178 -0.01736 -0.01384 -0.00004 0.99975
51.506000000000 0.92308 0.34542 -0.03370 -0.01640 -0.01700 -0.00008 0.99972
51.602000000000 0.94752 0.38796 -0.03541 -0.01420 -0.01983 -0.00014 0.99970
51.697000000000 0.96589 0.42940 -0.03736 -0.01272 -0.02229 -0.00007 0.99967
51.794000000000 0.97797 0.47100 -0.03911 -0.01261 -0.02461 -0.00005 0.99962
51.893000000000 0.98323 0.51329 -0.04063 -0.01218 -0.02590 -0.00001 0.99959
51.988000000000 0.98129 0.55342 -0.04135 -0.01100 -0.02577 -0.00003 0.99961
52.089000000000 0.97210 0.59559 -0.04198 -0.01031 -0.02524 -0.00011 0.99963
52.184000000000 0.95705 0.63443 -0.04216 -0.01046 -0.02460 -0.00015 0.99964
52.279000000000 0.93636 0.67254 -0.04208 -0.01154 -0.02417 -0.00028 0.99964
52.381000000000 0.90782 0.71299 -0.04186 -0.01289 -0.02324 -0.00039 0.99965
52.478000000000 0.87486 0.75100 -0.04127 -0.01252 -0.01990 -0.00039 0.99972
52.574000000000 0.83717 0.78805 -0.04064 -0.01265 -0.01672 -0.00042 0.99978
52.665000000000 0.79733 0.82273 -0.04007 -0.01385 -0.01500 -0.00045 0.99979
52.759000000000 0.75235 0.85825 -0.03979 -0.01461 -0.01212 -0.00040 0.99982
52.855000000000 0.70303 0.89526 -0.03982 -0.01489 -0.00822 -0.00044 0.99986
52.940000000000 0.65712 0.92787 -0.03957 -0.01627 -0.00613 -0.00038 0.99985
