# time x y z qx qy qz qw
27.689000000000 0.07978 0.00025 0.01894 -0.02791 0.05274 -0.00336 0.99821
27.773000000000 0.14971 -0.02263 0.01787 -0.03891 0.03496 -0.00017 0.99863
27.876000000000 0.24226 -0.04292 0.01641 -0.04582 0.02246 0.00115 0.99870
27.970000000000 0.30553 -0.04080 0.01284 -0.04674 0.01673 0.00082 0.99877
28.061000000000 0.36446 -0.03236 0.00956 -0.04405 0.01493 0.00029 0.99892
28.154000000000 0.42218 -0.01723 0.00791 -0.04033 0.01534 -0.00034 0.99907
28.274000000000 0.49602 0.01026 0.00310 -0.03502 0.01430 -0.00103 0.99928
28.363000000000 0.54889 0.03531 0.00143 -0.03112 0.01137 -0.00149 0.99945
28.453000000000 0.60055 0.06503 -0.00235 -0.02883 0.00858 -0.00171 0.99955
28.547000000000 0.65435 0.09700 -0.00421 -0.02763 0.00637 -0.00184 0.99960
28.635000000000 0.70192 0.13007 -0.00667 -0.02524 0.00280 -0.00193 0.99968
28.726000000000 0.74976 0.16552 -0.00813 -0.02279 -0.00091 -0.00198 0.99974
28.818000000000 0.79449 0.20318 -0.01086 -0.02116 -0.00431 -0.00187 0.99977
28.938000000000 0.84829 0.25380 -0.01351 -0.01795 -0.00905 -0.00187 0.99980
29.031000000000 0.88576 0.29485 -0.01622 -0.01611 -0.01261 -0.00179 0.99979
29.122000000000 0.91654 0.33464 -0.01815 -0.01521 -0.01576 -0.00177 0.99976
29.218000000000 0.94272 0.37659 -0.02004 -0.01326 -0.01894 -0.00183 0.99973
29.306000000000 0.96207 0.41548 -0.02134 -0.01183 -0.02147 -0.00175 0.99970
29.399000000000 0.97807 0.45688 -0.02247 -0.01129 -0.02377 -0.00174 0.99965
29.487000000000 0.98662 0.49519 -0.02304 -0.00994 -0.02494 -0.00178 0.99964
29.580000000000 0.98968 0.53501 -0.02325 -0.00939 -0.02585 -0.00180 0.99962
29.692000000000 0.98522 0.58241 -0.02402 -0.00987 -0.02677 -0.00191 0.99959
29.780000000000 0.97526 0.61900 -0.02430 -0.01021 -0.02680 -0.00203 0.99959
29.870000000000 0.95983 0.65618 -0.02447 -0.00966 -0.02521 -0.00205 0.99963
29.963000000000 0.93787 0.69351 -0.02470 -0.00971 -0.02391 -0.00210 0.99966
30.056000000000 0.91069 0.73077 -0.02428 -0.01089 -0.02334 -0.00224 0.99967
30.178000000000 0.86744 0.77897 -0.02377 -0.01099 -0.01980 -0.00229 0.99974
30.267000000000 0.83101 0.81361 -0.02386 -0.01144 -0.01730 -0.00236 0.99978
30.358000000000 0.78994 0.84926 -0.02302 -0.01290 -0.01594 -0.00242 0.99979
30.449000000000 0.74559 0.88446 -0.02301 -0.01371 -0.01315 -0.00248 0.99982
30.540000000000 0.69841 0.91961 -0.02234 -0.01456 -0.01028 -0.00257 0.99984
30.630000000000 0.64957 0.95483 -0.02210 -0.01601 -0.00802 -0.00261 0.99984
30.749000000000 0.58214 1.00161 -0.02146 -0.01651 -0.00300 -0.00260 0.99986
30.842000000000 0.52822 1.03868 -0.02144 -0.01712 0.00059 -0.00260 0.99985
30.937000000000 0.47218 1.07760 -0.02098 -0.01906 0.00267 -0.00255 0.99981
31.026000000000 0.42019 1.11486 -0.02087 -0.01969 0.00601 -0.00262 0.99978
31.119000000000 0.36511 1.15490 -0.02040 -0.02021 0.00950 -0.00268 0.99975
31.210000000000 0.31346 1.19512 -0.02039 -0.02155 0.01207 -0.00266 0.99969
31.299000000000 0.26257 1.23580 -0.01975 -0.02222 0.01482 -0.00268 0.99964
31.391000000000 0.21376 1.27876 -0.01997 -0.02224 0.01791 -0.00263 0.99959
31.513000000000 0.15034 1.33926 -0.01971 -0.02355 0.02072 -0.00276 0.99950
31.605000000000 0.10786 1.38628 -0.01977 -0.02309 0.02319 -0.00284 0.99946
31.689000000000 0.06961 1.43133 -0.01987 -0.02271 0.02499 -0.00298 0.99943
31.784000000000 0.03200 1.48276 -0.02012 -0.02333 0.02614 -0.00298 0.99938
31.876000000000 -0.00241 1.53490 -0.02062 -0.02412 0.02654 -0.00298 0.99935
31.972000000000 -0.03290 1.59026 -0.02147 -0.02378 0.02701 -0.00303 0.99935
32.066000000000 -0.05987 1.64635 -0.02237 -0.02083 0.02762 -0.00309 0.99940
32.163000000000 -0.08192 1.70495 -0.02319 -0.01883 0.02783 -0.00328 0.99943
32.256000000000 -0.10061 1.76250 -0.02465 -0.01781 0.02747 -0.00343 0.99946
32.349000000000 -0.11392 1.82005 -0.02555 -0.01563 0.02659 -0.00347 0.99952
32.448000000000 -0.12507 1.88220 -0.02720 -0.01354 0.02539 -0.00356 0.99958
32.544000000000 -0.13132 1.94169 -0.02829 -0.01219 0.02411 -0.00360 0.99963
32.639000000000 -0.13485 2.00001 -0.03013 -0.00989 0.02245 -0.00358 0.99969
32.733000000000 -0.13450 2.05666 -0.03150 -0.00666 0.02062 -0.00365 0.99976
32.822000000000 -0.13265 2.10841 -0.03339 -0.00465 0.01909 -0.00368 0.99980
32.914000000000 -0.12703 2.16069 -0.03467 -0.00231 0.01725 -0.00369 0.99984
33.010000000000 -0.12068 2.21336 -0.03638 0.00086 0.01518 -0.00383 0.99988
33.105000000000 -0.11084 2.26305 -0.03763 0.00331 0.01327 -0.00392 0.99990
33.231000000000 -0.09783 2.32465 -0.03916 0.00671 0.01058 -0.00401 0.99991
33.298000000000 -0.08928 2.35450 -0.03971 0.00868 0.00897 -0.00401 0.99991
33.393000000000 -0.07800 2.39488 -0.04080 0.01104 0.00699 -0.00398 0.99991
33.493000000000 -0.06430 2.43146 -0.04177 0.01340 0.00502 -0.00405 0.99989
33.588000000000 -0.05267 2.46271 -0.04235 0.01591 0.00293 -0.00405 0.99986
33.707000000000 -0.03663 2.49250 -0.04290 0.01886 0.00065 -0.00402 0.99981
33.799000000000 -0.02673 2.51074 -0.04294 0.02076 -0.00102 -0.00404 0.99978
33.894000000000 -0.01565 2.52329 -0.04303 0.02220 -0.00255 -0.00404 0.99974
33.988000000000 -0.00604 2.52963 -0.04294 0.02351 -0.00379 -0.00400 0.99971
34.083000000000 0.00148 2.53158 -0.04271 0.02463 -0.00485 -0.00410 0.99968
34.173000000000 0.00840 2.52757 -0.04241 0.02449 -0.00554 -0.00412 0.99968
34.265000000000 0.01387 2.51686 -0.04207 0.02441 -0.00623 -0.00409 0.99967
34.362000000000 0.01787 2.50014 -0.04173 0.02487 -0.00666 -0.00412 0.99966
34.459000000000 0.02035 2.47799 -0.04119 0.02382 -0.00677 -0.00416 0.99968
34.554000000000 0.02121 2.45138 -0.04054 0.02233 -0.00660 -0.00423 0.99972
34.650000000000 0.02054 2.41979 -0.03975 0.02141 -0.00626 -0.00426 0.99974
34.744000000000 0.01824 2.38389 -0.03891 0.01913 -0.00584 -0.00425 0.99979
34.838000000000 0.01546 2.34480 -0.03847 0.01652 -0.00508 -0.00433 0.99984
34.931000000000 0.01150 2.30222 -0.03777 0.01465 -0.00435 -0.00431 0.99987
35.027000000000 0.00667 2.25631 -0.03718 0.01312 -0.00356 -0.00443 0.99990
35.125000000000 0.00099 2.20603 -0.03648 0.01016 -0.00252 -0.00443 0.99994
35.225000000000 -0.00504 2.15285 -0.03578 0.00601 -0.00116 -0.00450 0.99997
35.324000000000 -0.01081 2.09795 -0.03528 0.00349 0.00003 -0.00452 0.99998
35.419000000000 -0.01617 2.04527 -0.03499 0.00025 0.00131 -0.00461 0.99999
35.485000000000 -0.01965 2.00772 -0.03470 -0.00157 0.00213 -0.00461 0.99999
35.583000000000 -0.02444 1.95313 -0.03459 -0.00338 0.00353 -0.00473 0.99998
35.703000000000 -0.02916 1.88663 -0.03388 -0.00698 0.00517 -0.00480 0.99995
35.801000000000 -0.03173 1.83373 -0.03364 -0.01089 0.00644 -0.00480 0.99991
35.899000000000 -0.03267 1.78196 -0.03289 -0.01322 0.00798 -0.00479 0.99987
35.965000000000 -0.03259 1.74876 -0.03274 -0.01426 0.00905 -0.00483 0.99985
36.061000000000 -0.03084 1.70155 -0.03222 -0.01683 0.01020 -0.00487 0.99979
36.157000000000 -0.02717 1.65824 -0.03221 -0.01914 0.01143 -0.00497 0.99974
36.253000000000 -0.02094 1.61680 -0.03120 -0.02078 0.01284 -0.00502 0.99969
36.353000000000 -0.01234 1.57808 -0.03125 -0.02284 0.01356 -0.00505 0.99963
36.446000000000 -0.00159 1.54436 -0.03025 -0.02406 0.01444 -0.00504 0.99959
36.549000000000 0.01293 1.51249 -0.02986 -0.02500 0.01524 -0.00509 0.99956
36.645000000000 0.02986 1.48580 -0.02850 -0.02571 0.01525 -0.00509 0.99954
36.743000000000 0.04957 1.46371 -0.02811 -0.02578 0.01566 -0.00511 0.99953
36.843000000000 0.07322 1.44486 -0.02642 -0.02534 0.01654 -0.00524 0.99953
36.943000000000 0.09922 1.43094 -0.02588 -0.02465 0.01675 -0.00526 0.99954
37.035000000000 0.12624 1.42057 -0.02515 -0.02377 0.01612 -0.00521 0.99957
37.129000000000 0.15709 1.41282 -0.02387 -0.02280 0.01623 -0.00518 0.99959
37.224000000000 0.18976 1.40949 -0.02312 -0.02167 0.01620 -0.00534 0.99962
37.325000000000 0.22743 1.40879 -0.02252 -0.02019 0.01521 -0.00539 0.99967
37.389000000000 0.25272 1.40984 -0.02245 -0.01919 0.01509 -0.00547 0.99969
37.487000000000 0.29390 1.41268 -0.02167 -0.01774 0.01557 -0.00550 0.99971
37.588000000000 0.33812 1.41845 -0.02094 -0.01590 0.01433 -0.00558 0.99976
37.681000000000 0.38126 1.42495 -0.02060 -0.01417 0.01367 -0.00551 0.99979
37.803000000000 0.44076 1.43565 -0.02006 -0.01227 0.01431 -0.00558 0.99981
37.898000000000 0.48896 1.44543 -0.01912 -0.01043 0.01317 -0.00554 0.99984
37.961000000000 0.52285 1.45165 -0.01889 -0.00918 0.01236 -0.00551 0.99987
38.061000000000 0.57643 1.46299 -0.01790 -0.00763 0.01233 -0.00560 0.99988
38.153000000000 0.62747 1.47329 -0.01721 -0.00607 0.01207 -0.00558 0.99989
38.250000000000 0.68303 1.48350 -0.01700 -0.00409 0.00960 -0.00560 0.99993
38.349000000000 0.74010 1.49434 -0.01630 -0.00252 0.00842 -0.00561 0.99995
38.447000000000 0.79776 1.50353 -0.01668 -0.00113 0.00807 -0.00551 0.99995
38.545000000000 0.85655 1.51253 -0.01611 0.00013 0.00647 -0.00546 0.99996
38.641000000000 0.91415 1.51980 -0.01659 0.00105 0.00592 -0.00552 0.99997
38.738000000000 0.97324 1.52659 -0.01610 0.00183 0.00673 -0.00555 0.99996
38.833000000000 1.03168 1.53145 -0.01659 0.00234 0.00605 -0.00557 0.99996
38.934000000000 1.09378 1.53540 -0.01629 0.00260 0.00429 -0.00558 0.99997
39.032000000000 1.15424 1.53782 -0.01656 0.00285 0.00276 -0.00564 0.99998
39.126000000000 1.21207 1.53860 -0.01604 0.00256 0.00011 -0.00562 0.99998
39.224000000000 1.27189 1.53814 -0.01576 0.00215 -0.00128 -0.00563 0.99998
39.319000000000 1.32950 1.53674 -0.01509 0.00149 -0.00288 -0.00573 0.99998
39.413000000000 1.38564 1.53415 -0.01478 0.00086 -0.00452 -0.00567 0.99997
39.511000000000 1.44200 1.53072 -0.01446 0.00001 -0.00541 -0.00578 0.99997
39.604000000000 1.49445 1.52678 -0.01404 -0.00089 -0.00573 -0.00595 0.99997
39.701000000000 1.54790 1.52233 -0.01337 -0.00192 -0.00659 -0.00602 0.99996
39.786000000000 1.59219 1.51848 -0.01267 -0.00295 -0.00887 -0.00610 0.99994
39.877000000000 1.63846 1.51421 -0.01213 -0.00406 -0.01084 -0.00612 0.99991
39.974000000000 1.68626 1.50957 -0.01166 -0.00526 -0.01183 -0.00618 0.99990
40.064000000000 1.72790 1.50556 -0.01128 -0.00636 -0.01334 -0.00632 0.99987
40.157000000000 1.76828 1.50183 -0.01074 -0.00758 -0.01545 -0.00631 0.99983
40.248000000000 1.80593 1.49870 -0.01005 -0.00864 -0.01687 -0.00645 0.99980
40.369000000000 1.85058 1.49588 -0.00923 -0.01004 -0.01841 -0.00665 0.99976
40.460000000000 1.88087 1.49484 -0.00888 -0.01080 -0.02015 -0.00671 0.99972
40.553000000000 1.90820 1.49495 -0.00841 -0.01163 -0.02181 -0.00679 0.99967
40.651000000000 1.93346 1.49634 -0.00777 -0.01255 -0.02307 -0.00689 0.99963
40.743000000000 1.95249 1.49898 -0.00766 -0.01332 -0.02426 -0.00697 0.99959
40.834000000000 1.96859 1.50309 -0.00724 -0.01349 -0.02536 -0.00710 0.99956
40.925000000000 1.97862 1.50891 -0.00749 -0.01366 -0.02648 -0.00721 0.99953
41.016000000000 1.98664 1.51606 -0.00740 -0.01384 -0.02756 -0.00733 0.99950
41.114000000000 1.98969 1.52533 -0.00764 -0.01338 -0.02817 -0.00745 0.99949
41.204000000000 1.98957 1.53505 -0.00765 -0.01269 -0.02853 -0.00752 0.99948
41.296000000000 1.98525 1.54628 -0.00775 -0.01204 -0.02915 -0.00765 0.99947
41.389000000000 1.97736 1.55871 -0.00789 -0.01083 -0.02904 -0.00770 0.99949
41.513000000000 1.96061 1.57665 -0.00809 -0.00901 -0.02914 -0.00779 0.99950
41.608000000000 1.94311 1.59103 -0.00826 -0.00726 -0.02848 -0.00778 0.99954
41.704000000000 1.92126 1.60563 -0.00848 -0.00541 -0.02810 -0.00768 0.99956
41.793000000000 1.89710 1.61911 -0.00863 -0.00363 -0.02849 -0.00763 0.99956
41.884000000000 1.86937 1.63277 -0.00896 -0.00165 -0.02803 -0.00760 0.99958
41.982000000000 1.83546 1.64677 -0.00921 0.00066 -0.02665 -0.00744 0.99962
42.076000000000 1.79977 1.65910 -0.00977 0.00285 -0.02660 -0.00736 0.99961
42.168000000000 1.76128 1.66993 -0.01011 0.00514 -0.02683 -0.00728 0.99960
42.263000000000 1.71831 1.67927 -0.01041 0.00750 -0.02517 -0.00723 0.99963
42.359000000000 1.67156 1.68641 -0.01076 0.00997 -0.02420 -0.00720 0.99963
42.459000000000 1.61955 1.69126 -0.01103 0.01275 -0.02439 -0.00717 0.99960
42.555000000000 1.56626 1.69299 -0.01132 0.01498 -0.02291 -0.00716 0.99960
42.652000000000 1.50944 1.69145 -0.01161 0.01730 -0.02192 -0.00720 0.99958
42.746000000000 1.45192 1.68658 -0.01181 0.01984 -0.02213 -0.00722 0.99953
42.841000000000 1.39139 1.67765 -0.01208 0.02162 -0.02051 -0.00720 0.99953
