# time x y z qx qy qz qw
61.036000000000 -0.02062 0.15213 -0.02348 -0.04091 0.00873 0.00831 0.99909
61.136000000000 -0.01949 0.22876 -0.01116 -0.02105 0.01070 0.00212 0.99972
61.236000000000 -0.01100 0.29043 -0.00909 0.00010 0.01193 0.00057 0.99993
61.299000000000 -0.00569 0.32433 -0.00873 0.01254 0.01244 0.00034 0.99984
61.400000000000 -0.00539 0.37465 -0.00887 0.02867 0.01266 0.00014 0.99951
61.501000000000 -0.00641 0.41698 -0.00955 0.03780 0.01275 -0.00001 0.99920
61.602000000000 -0.00603 0.44855 -0.01024 0.03919 0.01297 -0.00011 0.99915
61.701000000000 -0.00669 0.46925 -0.01051 0.03338 0.01296 0.00008 0.99936
61.801000000000 -0.00558 0.48106 -0.01105 0.02281 0.01303 0.00021 0.99965
61.900000000000 -0.00559 0.48739 -0.01134 0.01168 0.01286 0.00036 0.99985
61.998000000000 -0.00529 0.48981 -0.01174 0.00320 0.01265 0.00051 0.99991
62.082000000000 -0.00446 0.49071 -0.01202 -0.00133 0.01265 0.00054 0.99992
62.179000000000 -0.00444 0.49097 -0.01174 -0.00588 0.01256 0.00059 0.99990
62.276000000000 -0.00413 0.49141 -0.01152 -0.01003 0.01247 0.00055 0.99987
62.371000000000 -0.00394 0.49172 -0.01108 -0.01171 0.01248 0.00062 0.99985
62.459000000000 -0.00321 0.49236 -0.01088 -0.01138 0.01250 0.00059 0.99986
62.548000000000 -0.00314 0.49277 -0.01058 -0.00995 0.01252 0.00058 0.99987
62.642000000000 -0.00307 0.49362 -0.01007 -0.00850 0.01270 0.00058 0.99988
62.737000000000 -0.00306 0.49417 -0.01003 -0.00872 0.01381 0.00066 0.99987
62.840000000000 -0.00283 0.49447 -0.01024 -0.01239 0.01785 0.00079 0.99976
62.939000000000 -0.00177 0.49549 -0.01024 -0.01932 0.02471 0.00106 0.99951
63.046000000000 0.00188 0.49905 -0.01037 -0.02990 0.03493 0.00157 0.99894
63.111000000000 0.00676 0.50392 -0.01113 -0.03635 0.04129 0.00198 0.99848
63.208000000000 0.01779 0.51522 -0.01088 -0.04609 0.05087 0.00281 0.99764
63.305000000000 0.03549 0.53308 -0.01042 -0.05584 0.06058 0.00358 0.99659
63.405000000000 0.06267 0.56078 -0.01021 -0.06232 0.06704 0.00424 0.99579
63.506000000000 0.10034 0.59896 -0.01009 -0.06744 0.07217 0.00445 0.99510
63.604000000000 0.14700 0.64643 -0.00979 -0.06797 0.07271 0.00429 0.99503
63.702000000000 0.20427 0.70457 -0.01002 -0.06342 0.06832 0.00366 0.99564
63.801000000000 0.27092 0.77269 -0.01030 -0.05583 0.06087 0.00292 0.99658
63.903000000000 0.34804 0.85150 -0.01224 -0.04303 0.04806 0.00235 0.99791
63.969000000000 0.40159 0.90638 -0.01441 -0.03259 0.03779 0.00210 0.99875
64.066000000000 0.48311 0.98824 -0.01789 -0.01683 0.02235 0.00213 0.99961
64.191000000000 0.58792 1.09404 -0.02255 0.00305 0.00261 0.00279 0.99999
64.257000000000 0.64197 1.14770 -0.02617 0.01393 -0.00815 0.00320 0.99986
64.354000000000 0.71608 1.22204 -0.03076 0.02788 -0.02194 0.00389 0.99936
64.454000000000 0.78423 1.29053 -0.03513 0.03802 -0.03191 0.00421 0.99876
64.547000000000 0.83972 1.34658 -0.03880 0.04357 -0.03713 0.00404 0.99835
64.637000000000 0.88564 1.39293 -0.04213 0.04553 -0.03878 0.00351 0.99820
64.733000000000 0.92171 1.42858 -0.04476 0.04371 -0.03669 0.00266 0.99837
64.826000000000 0.94810 1.45447 -0.04638 0.03855 -0.03147 0.00177 0.99876
64.919000000000 0.96770 1.47363 -0.04796 0.03107 -0.02402 0.00087 0.99923
65.047000000000 0.98415 1.48951 -0.04820 0.01878 -0.01222 0.00017 0.99975
65.113000000000 0.98865 1.49405 -0.04673 0.01265 -0.00625 0.00004 0.99990
65.232000000000 0.99320 1.49850 -0.04588 0.00366 0.00248 0.00004 0.99999
65.329000000000 0.99489 1.49967 -0.04541 -0.00088 0.00698 0.00017 0.99998
65.425000000000 0.99483 1.49935 -0.04327 -0.00321 0.00926 0.00042 0.99995
65.518000000000 0.99503 1.49886 -0.04245 -0.00472 0.01072 0.00050 0.99993
65.614000000000 0.99468 1.49861 -0.04169 -0.00577 0.01164 0.00053 0.99992
65.703000000000 0.99399 1.49874 -0.03969 -0.00530 0.01087 0.00048 0.99993
