# time x y z qx qy qz qw
233.394000000000 0.65135 0.00823 0.00167 -0.01267 0.03455 0.00116 0.99932
233.516000000000 0.76558 0.01047 0.00902 -0.01646 0.05537 0.00090 0.99833
233.594000000000 0.83683 0.01143 0.02052 -0.01875 0.05424 0.00093 0.99835
233.694000000000 0.92734 0.01522 0.03818 -0.02304 0.04203 0.00113 0.99885
233.794000000000 1.02129 0.02165 0.05549 -0.03199 0.02622 0.00138 0.99914
233.914000000000 1.15052 0.03505 0.07290 -0.05276 0.00736 0.00200 0.99858
233.994000000000 1.23842 0.04982 0.08763 -0.07645 -0.00950 0.00253 0.99703
234.095000000000 1.35241 0.07578 0.10030 -0.10819 -0.03036 0.00274 0.99366
234.195000000000 1.46353 0.11312 0.10925 -0.13291 -0.04997 0.00287 0.98986
234.295000000000 1.57263 0.16582 0.11839 -0.14172 -0.07005 0.00381 0.98742
234.394000000000 1.67837 0.23491 0.12762 -0.13642 -0.08760 0.00474 0.98676
234.494000000000 1.76836 0.31878 0.13772 -0.12082 -0.09905 0.00405 0.98771
234.594000000000 1.84760 0.41378 0.14551 -0.10086 -0.10322 0.00202 0.98953
234.694000000000 1.90508 0.51703 0.15178 -0.07687 -0.10286 -0.00111 0.99172
234.794000000000 1.94933 0.62739 0.15313 -0.05539 -0.09788 -0.00400 0.99365
234.894000000000 1.97898 0.74336 0.15022 -0.03830 -0.08877 -0.00635 0.99530
235.014000000000 1.99341 0.88622 0.14264 -0.02458 -0.07361 -0.00818 0.99695
235.115000000000 1.99258 1.00533 0.13294 -0.01851 -0.06056 -0.00892 0.99795
235.199000000000 1.98980 1.11299 0.13507 -0.01324 -0.05335 -0.00905 0.99845
235.275000000000 1.98101 1.21489 0.13924 -0.00804 -0.04817 -0.00881 0.99877
235.376000000000 1.95504 1.35227 0.14780 -0.00003 -0.04541 -0.00647 0.99895
235.474000000000 1.92009 1.48576 0.15517 0.00840 -0.04420 0.00192 0.99899
235.574000000000 1.87550 1.62428 0.16613 0.01721 -0.04215 0.01867 0.99879
235.674000000000 1.81996 1.76016 0.17791 0.02263 -0.03864 0.04476 0.99799
