# time x y z qx qy qz qw
66.075000000000 -0.04737 0.08382 0.03753 -0.06436 0.07569 -0.00965 0.99501
66.179000000000 -0.03627 0.14058 0.02960 -0.03741 0.11218 -0.01173 0.99291
66.272000000000 -0.01341 0.19009 0.02512 -0.01793 0.12727 -0.01083 0.99165
66.371000000000 0.02986 0.24576 0.02199 -0.00402 0.12329 -0.00852 0.99233
66.473000000000 0.09403 0.30199 0.01763 0.00542 0.10286 -0.00526 0.99467
66.575000000000 0.17514 0.35503 0.01103 0.01192 0.07838 -0.00179 0.99685
66.677000000000 0.26868 0.40137 0.00277 0.01730 0.05378 0.00125 0.99840
66.776000000000 0.36433 0.43993 -0.00587 0.02226 0.02907 0.00349 0.99932
66.879000000000 0.46643 0.47430 -0.01455 0.02581 0.00870 0.00507 0.99962
66.980000000000 0.56449 0.50131 -0.02292 0.02723 -0.00624 0.00589 0.99959
67.078000000000 0.65408 0.51965 -0.03135 0.02635 -0.01791 0.00599 0.99947
67.180000000000 0.73947 0.53126 -0.03887 0.02366 -0.02623 0.00556 0.99936
67.297000000000 0.82569 0.53637 -0.04641 0.01829 -0.03295 0.00465 0.99928
67.365000000000 0.87215 0.53629 -0.05016 0.01410 -0.03572 0.00399 0.99925
67.464000000000 0.92273 0.53004 -0.05352 0.00732 -0.03780 0.00310 0.99925
67.559000000000 0.96170 0.52122 -0.05509 0.00012 -0.03798 0.00215 0.99928
67.658000000000 0.99011 0.50971 -0.05460 -0.00765 -0.03688 0.00130 0.99929
67.755000000000 1.01055 0.49913 -0.05410 -0.01536 -0.03478 0.00063 0.99928
67.849000000000 1.02092 0.49033 -0.05050 -0.02281 -0.03251 0.00022 0.99921
67.947000000000 1.02462 0.48382 -0.04824 -0.02964 -0.02944 0.00001 0.99913
68.045000000000 1.02004 0.48109 -0.04385 -0.03540 -0.02595 -0.00021 0.99904
68.140000000000 1.01013 0.48391 -0.04080 -0.04030 -0.02331 -0.00022 0.99892
68.231000000000 0.99517 0.49164 -0.03790 -0.04230 -0.01989 -0.00010 0.99891
68.323000000000 0.97550 0.50445 -0.03406 -0.04330 -0.01671 0.00060 0.99892
68.415000000000 0.95163 0.52328 -0.03183 -0.04437 -0.01486 0.00179 0.99890
68.514000000000 0.92217 0.54956 -0.02927 -0.04458 -0.01363 0.00348 0.99891
68.613000000000 0.88825 0.58196 -0.02831 -0.04205 -0.01136 0.00539 0.99904
68.715000000000 0.85020 0.62127 -0.02741 -0.03932 -0.01014 0.00717 0.99915
68.819000000000 0.80811 0.66686 -0.02700 -0.03450 -0.00806 0.00884 0.99933
68.917000000000 0.76594 0.71402 -0.02716 -0.02922 -0.00591 0.01006 0.99950
68.983000000000 0.73602 0.74756 -0.02797 -0.02619 -0.00515 0.01072 0.99959
69.081000000000 0.69020 0.79898 -0.02926 -0.02142 -0.00392 0.01136 0.99970
69.181000000000 0.64237 0.85279 -0.03030 -0.01665 -0.00250 0.01185 0.99979
69.276000000000 0.59557 0.90462 -0.03236 -0.01359 -0.00214 0.01205 0.99983
69.397000000000 0.53469 0.97037 -0.03418 -0.00808 0.00089 0.01197 0.99990
69.463000000000 0.50083 1.00567 -0.03540 -0.00592 0.00224 0.01175 0.99991
69.586000000000 0.43784 1.06973 -0.03666 -0.00330 0.00439 0.01128 0.99992
69.656000000000 0.40240 1.10476 -0.03725 -0.00147 0.00650 0.01099 0.99992
69.756000000000 0.35285 1.15236 -0.03812 -0.00008 0.00912 0.01050 0.99990
69.855000000000 0.30530 1.19755 -0.03840 -0.00010 0.01101 0.00999 0.99989
69.953000000000 0.26033 1.23941 -0.03889 0.00048 0.01391 0.00958 0.99986
70.051000000000 0.21722 1.27944 -0.03868 0.00040 0.01674 0.00931 0.99982
70.148000000000 0.17873 1.31613 -0.03851 -0.00074 0.01883 0.00914 0.99978
70.245000000000 0.14213 1.35162 -0.03781 -0.00169 0.02110 0.00895 0.99974
70.341000000000 0.11080 1.38443 -0.03769 -0.00330 0.02274 0.00896 0.99970
70.441000000000 0.08050 1.41765 -0.03703 -0.00567 0.02384 0.00897 0.99966
70.509000000000 0.06350 1.43945 -0.03772 -0.00694 0.02455 0.00903 0.99963
70.611000000000 0.03989 1.47214 -0.03648 -0.00853 0.02537 0.00911 0.99960
70.708000000000 0.02345 1.50231 -0.03689 -0.01071 0.02557 0.00916 0.99957
70.812000000000 0.00852 1.53505 -0.03556 -0.01253 0.02496 0.00940 0.99957
70.911000000000 0.00004 1.56604 -0.03602 -0.01444 0.02352 0.01000 0.99957
71.011000000000 -0.00660 1.59896 -0.03571 -0.01694 0.02174 0.01124 0.99956
71.106000000000 -0.00816 1.63054 -0.03693 -0.01877 0.01947 0.01274 0.99955
71.203000000000 -0.00852 1.66524 -0.03675 -0.02124 0.01694 0.01437 0.99953
71.269000000000 -0.00647 1.68907 -0.03811 -0.02292 0.01511 0.01558 0.99950
71.372000000000 -0.00263 1.72953 -0.03797 -0.02310 0.01205 0.01717 0.99951
71.490000000000 0.00394 1.77828 -0.03986 -0.02402 0.00858 0.01867 0.99950
71.559000000000 0.00804 1.80879 -0.04051 -0.02531 0.00675 0.01939 0.99947
71.664000000000 0.01411 1.85736 -0.04255 -0.02487 0.00402 0.02014 0.99948
71.767000000000 0.02044 1.90798 -0.04350 -0.02335 0.00160 0.02060 0.99951
71.868000000000 0.02576 1.95898 -0.04588 -0.02239 -0.00035 0.02084 0.99953
71.966000000000 0.03059 2.01072 -0.04695 -0.01926 -0.00166 0.02077 0.99960
72.031000000000 0.03304 2.04503 -0.04914 -0.01670 -0.00230 0.02054 0.99965
72.127000000000 0.03633 2.09754 -0.04988 -0.01358 -0.00267 0.02024 0.99970
72.226000000000 0.03859 2.15075 -0.05187 -0.01027 -0.00265 0.01985 0.99975
72.326000000000 0.03959 2.20470 -0.05292 -0.00479 -0.00226 0.01946 0.99980
72.426000000000 0.03981 2.25652 -0.05531 0.00105 -0.00144 0.01909 0.99982
72.522000000000 0.03900 2.30419 -0.05632 0.00674 -0.00052 0.01883 0.99980
72.621000000000 0.03764 2.34917 -0.05784 0.01303 0.00065 0.01856 0.99974
72.722000000000 0.03630 2.39103 -0.05794 0.01879 0.00186 0.01832 0.99965
72.822000000000 0.03520 2.42538 -0.05879 0.02386 0.00291 0.01826 0.99954
72.891000000000 0.03451 2.44569 -0.05892 0.02697 0.00350 0.01824 0.99946
72.990000000000 0.03401 2.46852 -0.05881 0.03108 0.00422 0.01823 0.99934
73.091000000000 0.03397 2.48445 -0.05773 0.03475 0.00471 0.01835 0.99922
73.192000000000 0.03500 2.49255 -0.05647 0.03637 0.00452 0.01835 0.99916
73.287000000000 0.03733 2.49216 -0.05530 0.03707 0.00399 0.01845 0.99913
