# time x y z qx qy qz qw
47.317000000000 -0.07415 0.06308 0.01957 -0.05146 0.04395 -0.00494 0.99770
47.386000000000 -0.07413 0.08143 0.01080 -0.04171 0.07290 -0.00569 0.99645
47.486000000000 -0.07825 0.12028 0.00868 -0.02914 0.09970 -0.00600 0.99457
47.593000000000 -0.06678 0.16670 0.00955 -0.01951 0.10626 -0.00501 0.99413
47.695000000000 -0.03666 0.21209 0.00865 -0.01448 0.09954 -0.00326 0.99492
47.801000000000 0.01276 0.25904 0.00589 -0.01019 0.08397 -0.00135 0.99642
47.866000000000 0.05063 0.28747 0.00333 -0.00718 0.07236 -0.00028 0.99735
47.966000000000 0.11772 0.32925 -0.00288 -0.00275 0.05670 0.00118 0.99839
48.067000000000 0.19316 0.36831 -0.00912 0.00169 0.04312 0.00223 0.99907
48.164000000000 0.27084 0.40561 -0.01456 0.00608 0.03066 0.00282 0.99951
48.263000000000 0.35103 0.43666 -0.02157 0.00939 0.02036 0.00321 0.99974
48.370000000000 0.43846 0.46643 -0.02974 0.01205 0.01043 0.00328 0.99987
48.438000000000 0.49411 0.48316 -0.03547 0.01310 0.00406 0.00313 0.99990
48.537000000000 0.57178 0.50333 -0.04290 0.01381 -0.00347 0.00278 0.99989
48.632000000000 0.64098 0.51754 -0.04839 0.01361 -0.00899 0.00231 0.99986
48.736000000000 0.71445 0.52928 -0.05399 0.01231 -0.01441 0.00178 0.99982
48.835000000000 0.77483 0.53413 -0.05836 0.01037 -0.01751 0.00123 0.99979
48.934000000000 0.83284 0.53716 -0.06166 0.00781 -0.01877 0.00071 0.99979
49.032000000000 0.87889 0.53459 -0.06418 0.00451 -0.01988 0.00022 0.99979
49.128000000000 0.92066 0.53090 -0.06428 0.00091 -0.02063 -0.00015 0.99979
49.210000000000 0.94803 0.52485 -0.06476 -0.00233 -0.02077 -0.00030 0.99978
49.303000000000 0.97672 0.51785 -0.06325 -0.00610 -0.02062 -0.00044 0.99977
49.401000000000 1.00051 0.50970 -0.06246 -0.01020 -0.02016 -0.00052 0.99974
49.497000000000 1.01393 0.50102 -0.06076 -0.01433 -0.01920 -0.00037 0.99971
49.592000000000 1.02442 0.49400 -0.05728 -0.01836 -0.01831 0.00044 0.99966
49.688000000000 1.02842 0.48814 -0.05542 -0.02223 -0.01704 0.00184 0.99961
49.780000000000 1.02922 0.48481 -0.05304 -0.02526 -0.01560 0.00337 0.99955
49.874000000000 1.02531 0.48401 -0.05035 -0.02818 -0.01450 0.00501 0.99948
49.973000000000 1.01576 0.48655 -0.04794 -0.03057 -0.01315 0.00666 0.99942
50.068000000000 1.00394 0.49257 -0.04497 -0.03183 -0.01162 0.00804 0.99939
50.162000000000 0.98852 0.50266 -0.04324 -0.03284 -0.01068 0.00919 0.99936
50.260000000000 0.96930 0.51736 -0.04164 -0.03368 -0.01011 0.01002 0.99933
50.355000000000 0.94779 0.53535 -0.03980 -0.03328 -0.00897 0.01063 0.99935
50.449000000000 0.92348 0.55718 -0.03888 -0.03175 -0.00739 0.01084 0.99941
50.547000000000 0.89601 0.58362 -0.03794 -0.03051 -0.00673 0.01092 0.99945
50.646000000000 0.86584 0.61389 -0.03739 -0.02922 -0.00628 0.01075 0.99950
50.744000000000 0.83424 0.64711 -0.03706 -0.02654 -0.00506 0.01043 0.99958
50.840000000000 0.80191 0.68213 -0.03715 -0.02433 -0.00443 0.01006 0.99964
50.937000000000 0.76794 0.72007 -0.03762 -0.02228 -0.00414 0.00960 0.99970
51.005000000000 0.74365 0.74740 -0.03797 -0.02097 -0.00414 0.00940 0.99973
51.129000000000 0.69777 0.79962 -0.03940 -0.01793 -0.00319 0.00888 0.99979
51.216000000000 0.66480 0.83684 -0.04009 -0.01470 -0.00170 0.00865 0.99985
51.314000000000 0.62675 0.87993 -0.04162 -0.01215 -0.00095 0.00831 0.99989
51.411000000000 0.58859 0.92206 -0.04252 -0.01074 -0.00084 0.00817 0.99991
51.512000000000 0.54759 0.96676 -0.04427 -0.00812 0.00045 0.00799 0.99993
51.577000000000 0.52163 0.99477 -0.04496 -0.00661 0.00143 0.00791 0.99995
51.672000000000 0.48213 1.03577 -0.04665 -0.00557 0.00204 0.00789 0.99995
51.774000000000 0.44114 1.07738 -0.04759 -0.00520 0.00241 0.00792 0.99995
51.874000000000 0.40010 1.11745 -0.04854 -0.00393 0.00391 0.00801 0.99995
51.975000000000 0.36035 1.15604 -0.04915 -0.00320 0.00536 0.00801 0.99995
52.074000000000 0.32192 1.19227 -0.04942 -0.00324 0.00625 0.00813 0.99994
52.169000000000 0.28643 1.22565 -0.04965 -0.00267 0.00803 0.00892 0.99992
52.265000000000 0.25229 1.25752 -0.04955 -0.00256 0.00944 0.01016 0.99990
52.371000000000 0.21625 1.29163 -0.04990 -0.00293 0.01052 0.01185 0.99987
52.437000000000 0.19543 1.31173 -0.04979 -0.00278 0.01159 0.01290 0.99985
52.538000000000 0.16427 1.34190 -0.04998 -0.00304 0.01293 0.01456 0.99981
52.638000000000 0.13660 1.37057 -0.05013 -0.00399 0.01385 0.01606 0.99977
52.735000000000 0.11158 1.39740 -0.05030 -0.00497 0.01448 0.01718 0.99974
52.832000000000 0.08996 1.42340 -0.05074 -0.00529 0.01542 0.01799 0.99971
52.930000000000 0.07008 1.44942 -0.05112 -0.00610 0.01608 0.01854 0.99968
53.029000000000 0.05367 1.47475 -0.05118 -0.00747 0.01645 0.01889 0.99966
53.125000000000 0.03938 1.49992 -0.05124 -0.00806 0.01659 0.01876 0.99965
53.226000000000 0.02809 1.52613 -0.05113 -0.00872 0.01631 0.01855 0.99966
53.312000000000 0.02008 1.54872 -0.05143 -0.00984 0.01592 0.01829 0.99966
53.405000000000 0.01355 1.57296 -0.05147 -0.01092 0.01520 0.01799 0.99966
53.502000000000 0.00896 1.59843 -0.05117 -0.01139 0.01424 0.01765 0.99968
53.602000000000 0.00651 1.62573 -0.05152 -0.01266 0.01315 0.01728 0.99968
53.703000000000 0.00578 1.65399 -0.05160 -0.01327 0.01181 0.01694 0.99970
53.770000000000 0.00573 1.67264 -0.05118 -0.01354 0.01080 0.01679 0.99971
53.872000000000 0.00794 1.70386 -0.05179 -0.01474 0.00937 0.01646 0.99971
53.973000000000 0.01127 1.73580 -0.05225 -0.01534 0.00789 0.01628 0.99972
54.074000000000 0.01390 1.76879 -0.05269 -0.01526 0.00631 0.01614 0.99973
54.169000000000 0.01824 1.80211 -0.05334 -0.01580 0.00500 0.01610 0.99973
54.269000000000 0.02215 1.83778 -0.05353 -0.01676 0.00382 0.01610 0.99972
54.367000000000 0.02708 1.87494 -0.05421 -0.01640 0.00262 0.01622 0.99973
54.436000000000 0.03008 1.90149 -0.05385 -0.01547 0.00181 0.01623 0.99975
54.532000000000 0.03451 1.94063 -0.05481 -0.01475 0.00091 0.01626 0.99976
54.631000000000 0.03912 1.98166 -0.05474 -0.01364 0.00019 0.01631 0.99977
54.729000000000 0.04290 2.02392 -0.05571 -0.01144 -0.00030 0.01668 0.99980
54.830000000000 0.04691 2.06814 -0.05553 -0.00992 -0.00060 0.01774 0.99979
54.929000000000 0.04920 2.11201 -0.05694 -0.00880 -0.00061 0.01913 0.99978
55.028000000000 0.05185 2.15619 -0.05682 -0.00616 -0.00034 0.02069 0.99977
55.130000000000 0.05294 2.20070 -0.05757 -0.00279 -0.00004 0.02250 0.99974
55.226000000000 0.05432 2.24218 -0.05724 -0.00014 0.00035 0.02396 0.99971
55.292000000000 0.05431 2.27007 -0.05784 0.00222 0.00065 0.02474 0.99969
55.412000000000 0.05443 2.31775 -0.05775 0.00588 0.00126 0.02591 0.99965
55.510000000000 0.05408 2.35412 -0.05864 0.00850 0.00178 0.02657 0.99961
55.579000000000 0.05357 2.37696 -0.05781 0.01082 0.00222 0.02686 0.99958
55.678000000000 0.05343 2.40847 -0.05812 0.01416 0.00274 0.02706 0.99953
55.777000000000 0.05293 2.43432 -0.05752 0.01724 0.00331 0.02691 0.99948
55.873000000000 0.05300 2.45681 -0.05749 0.01997 0.00377 0.02674 0.99944
55.973000000000 0.05287 2.47307 -0.05634 0.02254 0.00406 0.02642 0.99939
56.073000000000 0.05359 2.48616 -0.05604 0.02493 0.00430 0.02605 0.99934
56.167000000000 0.05445 2.49298 -0.05490 0.02644 0.00446 0.02564 0.99931
56.264000000000 0.05556 2.49502 -0.05339 0.02712 0.00432 0.02525 0.99930
56.356000000000 0.05639 2.49129 -0.05116 0.02770 0.00399 0.02489 0.99930
56.450000000000 0.05831 2.48429 -0.05040 0.02827 0.00344 0.02466 0.99929
56.547000000000 0.06033 2.47191 -0.04918 0.02774 0.00290 0.02439 0.99931
56.646000000000 0.06238 2.45398 -0.04782 0.02651 0.00210 0.02428 0.99935
56.748000000000 0.06431 2.43038 -0.04660 0.02580 0.00117 0.02420 0.99937
56.815000000000 0.06536 2.41207 -0.04561 0.02515 0.00056 0.02423 0.99939
56.912000000000 0.06617 2.38208 -0.04454 0.02239 -0.00034 0.02428 0.99945
57.009000000000 0.06729 2.34935 -0.04423 0.02028 -0.00127 0.02428 0.99950
57.108000000000 0.06782 2.31242 -0.04400 0.01805 -0.00214 0.02438 0.99954
57.212000000000 0.06729 2.27038 -0.04360 0.01535 -0.00287 0.02454 0.99958
57.310000000000 0.06638 2.22910 -0.04383 0.01398 -0.00358 0.02492 0.99959
57.405000000000 0.06425 2.18661 -0.04475 0.01274 -0.00430 0.02589 0.99957
57.493000000000 0.06131 2.14707 -0.04640 0.00995 -0.00434 0.02711 0.99957
57.591000000000 0.05690 2.10234 -0.04791 0.00730 -0.00425 0.02874 0.99955
57.692000000000 0.05092 2.05608 -0.05022 0.00583 -0.00416 0.03050 0.99951
57.791000000000 0.04430 2.01008 -0.05230 0.00413 -0.00364 0.03214 0.99947
57.890000000000 0.03637 1.96487 -0.05519 0.00144 -0.00220 0.03344 0.99944
57.990000000000 0.02798 1.91984 -0.05771 -0.00019 -0.00072 0.03446 0.99941
58.058000000000 0.02157 1.89016 -0.06011 -0.00069 0.00031 0.03505 0.99939
58.157000000000 0.01268 1.84749 -0.06282 -0.00230 0.00234 0.03560 0.99936
58.255000000000 0.00319 1.80706 -0.06599 -0.00342 0.00452 0.03589 0.99934
58.353000000000 -0.00510 1.76785 -0.06877 -0.00367 0.00680 0.03587 0.99933
58.454000000000 -0.01342 1.73041 -0.07124 -0.00474 0.00935 0.03572 0.99931
58.551000000000 -0.01849 1.69653 -0.07221 -0.00559 0.01179 0.03549 0.99928
58.651000000000 -0.02346 1.66449 -0.07339 -0.00609 0.01436 0.03502 0.99926
58.748000000000 -0.02397 1.63663 -0.07310 -0.00676 0.01648 0.03457 0.99924
58.815000000000 -0.02418 1.61822 -0.07312 -0.00688 0.01803 0.03435 0.99922
58.917000000000 -0.01992 1.59358 -0.07166 -0.00719 0.01993 0.03402 0.99920
59.016000000000 -0.01413 1.57051 -0.06986 -0.00739 0.02137 0.03392 0.99917
59.119000000000 -0.00416 1.55006 -0.06677 -0.00705 0.02300 0.03372 0.99914
59.213000000000 0.00984 1.53536 -0.06211 -0.00665 0.02429 0.03350 0.99912
59.315000000000 0.02693 1.52125 -0.05701 -0.00643 0.02423 0.03336 0.99913
59.413000000000 0.04727 1.51017 -0.05131 -0.00607 0.02368 0.03335 0.99914
59.511000000000 0.07204 1.50214 -0.04497 -0.00570 0.02246 0.03337 0.99917
59.600000000000 0.09626 1.49516 -0.03925 -0.00509 0.02034 0.03348 0.99922
59.699000000000 0.12577 1.48956 -0.03289 -0.00427 0.01829 0.03357 0.99926
59.768000000000 0.14835 1.48718 -0.02818 -0.00360 0.01727 0.03363 0.99928
59.866000000000 0.18115 1.48433 -0.02210 -0.00254 0.01524 0.03377 0.99931
59.963000000000 0.21494 1.48304 -0.01708 -0.00137 0.01171 0.03442 0.99934
60.060000000000 0.24977 1.48326 -0.01324 -0.00026 0.00842 0.03564 0.99933
60.159000000000 0.28568 1.48433 -0.01018 0.00091 0.00573 0.03720 0.99929
60.260000000000 0.32261 1.48635 -0.00880 0.00211 0.00210 0.03886 0.99924
60.362000000000 0.35860 1.48937 -0.00921 0.00320 -0.00103 0.04046 0.99918
60.455000000000 0.38994 1.49244 -0.01212 0.00426 -0.00287 0.04172 0.99912
60.551000000000 0.42059 1.49538 -0.01694 0.00526 -0.00506 0.04289 0.99905
60.648000000000 0.44948 1.49861 -0.02477 0.00615 -0.00677 0.04374 0.99900
60.736000000000 0.47396 1.50173 -0.03470 0.00699 -0.00741 0.04418 0.99897
60.834000000000 0.49858 1.50472 -0.04858 0.00778 -0.00714 0.04446 0.99896
60.930000000000 0.52064 1.50724 -0.06512 0.00835 -0.00665 0.04452 0.99895
61.025000000000 0.54050 1.50942 -0.08452 0.00877 -0.00547 0.04441 0.99896
