# time x y z qx qy qz qw
47.317000000000 -0.07415 0.06308 0.01957 -0.05146 0.04395 -0.00494 0.99770
47.386000000000 -0.07413 0.08143 0.01080 -0.04171 0.07290 -0.00569 0.99645
47.486000000000 -0.07825 0.12028 0.00868 -0.02914 0.09970 -0.00600 0.99457
47.593000000000 -0.06678 0.16670 0.00955 -0.01951 0.10626 -0.00501 0.99413
47.695000000000 -0.03666 0.21209 0.00865 -0.01448 0.09954 -0.00326 0.99492
47.801000000000 0.01276 0.25904 0.00589 -0.01019 0.08397 -0.00135 0.99642
47.866000000000 0.05063 0.28747 0.00333 -0.00718 0.07236 -0.00028 0.99735
47.966000000000 0.11773 0.32926 -0.00291 -0.00275 0.05670 0.00118 0.99839
48.067000000000 0.19316 0.36831 -0.00913 0.00169 0.04313 0.00223 0.99907
48.164000000000 0.27080 0.40519 -0.01469 0.00606 0.03062 0.00284 0.99951
48.263000000000 0.35106 0.43659 -0.02160 0.00939 0.02036 0.00321 0.99974
48.370000000000 0.43849 0.46637 -0.02977 0.01205 0.01044 0.00328 0.99987
48.438000000000 0.49414 0.48310 -0.03550 0.01310 0.00407 0.00313 0.99990
48.537000000000 0.57180 0.50327 -0.04293 0.01381 -0.00346 0.00278 0.99989
48.632000000000 0.64100 0.51747 -0.04842 0.01361 -0.00898 0.00231 0.99986
48.736000000000 0.71445 0.52920 -0.05402 0.01231 -0.01440 0.00178 0.99982
48.835000000000 0.77482 0.53405 -0.05839 0.01037 -0.01750 0.00123 0.99979
48.934000000000 0.83279 0.53707 -0.06169 0.00781 -0.01876 0.00071 0.99979
49.032000000000 0.87885 0.53450 -0.06421 0.00451 -0.01987 0.00022 0.99979
49.128000000000 0.92060 0.53081 -0.06431 0.00091 -0.02062 -0.00015 0.99979
49.210000000000 0.94799 0.52476 -0.06479 -0.00232 -0.02076 -0.00030 0.99978
49.303000000000 0.97669 0.51777 -0.06328 -0.00610 -0.02061 -0.00044 0.99977
49.401000000000 0.99927 0.50937 -0.06253 -0.01022 -0.02006 -0.00051 0.99975
49.497000000000 1.01385 0.50092 -0.06088 -0.01434 -0.01915 -0.00037 0.99971
49.592000000000 1.02441 0.49391 -0.05740 -0.01837 -0.01826 0.00044 0.99966
49.688000000000 1.02931 0.48820 -0.05546 -0.02221 -0.01710 0.00184 0.99961
49.780000000000 1.02923 0.48473 -0.05305 -0.02525 -0.01561 0.00337 0.99955
49.874000000000 1.02483 0.48385 -0.05045 -0.02820 -0.01443 0.00502 0.99949
49.973000000000 1.01578 0.48648 -0.04807 -0.03058 -0.01310 0.00666 0.99942
50.068000000000 1.00395 0.49250 -0.04508 -0.03184 -0.01158 0.00804 0.99939
50.162000000000 0.98853 0.50259 -0.04335 -0.03285 -0.01063 0.00919 0.99936
50.260000000000 0.96930 0.51729 -0.04175 -0.03369 -0.01007 0.01002 0.99933
50.355000000000 0.94778 0.53527 -0.03983 -0.03327 -0.00898 0.01063 0.99935
50.449000000000 0.92347 0.55711 -0.03882 -0.03172 -0.00747 0.01084 0.99941
50.547000000000 0.89600 0.58355 -0.03789 -0.03047 -0.00681 0.01091 0.99945
50.646000000000 0.86583 0.61382 -0.03734 -0.02918 -0.00636 0.01075 0.99950
50.744000000000 0.83423 0.64704 -0.03701 -0.02650 -0.00513 0.01043 0.99958
50.840000000000 0.80191 0.68205 -0.03715 -0.02433 -0.00444 0.01006 0.99964
50.937000000000 0.76793 0.71999 -0.03763 -0.02228 -0.00415 0.00960 0.99970
51.005000000000 0.74364 0.74732 -0.03798 -0.02097 -0.00415 0.00939 0.99973
51.129000000000 0.69776 0.79954 -0.03941 -0.01792 -0.00320 0.00888 0.99979
51.216000000000 0.66479 0.83676 -0.04009 -0.01469 -0.00171 0.00865 0.99985
51.314000000000 0.62674 0.87986 -0.04163 -0.01214 -0.00095 0.00831 0.99989
51.411000000000 0.58859 0.92198 -0.04252 -0.01076 -0.00080 0.00816 0.99991
51.512000000000 0.54760 0.96668 -0.04427 -0.00815 0.00049 0.00799 0.99993
51.577000000000 0.52163 0.99468 -0.04496 -0.00664 0.00146 0.00791 0.99995
51.672000000000 0.48212 1.03570 -0.04666 -0.00557 0.00205 0.00789 0.99995
51.774000000000 0.44113 1.07731 -0.04759 -0.00523 0.00245 0.00792 0.99995
51.874000000000 0.40013 1.11735 -0.04855 -0.00398 0.00398 0.00801 0.99995
51.975000000000 0.36037 1.15594 -0.04915 -0.00326 0.00543 0.00801 0.99995
52.074000000000 0.32194 1.19217 -0.04942 -0.00329 0.00632 0.00813 0.99994
52.169000000000 0.28646 1.22554 -0.04966 -0.00275 0.00812 0.00891 0.99992
52.265000000000 0.25234 1.25740 -0.04956 -0.00266 0.00956 0.01015 0.99990
52.371000000000 0.21630 1.29150 -0.04992 -0.00306 0.01065 0.01185 0.99987
52.437000000000 0.19548 1.31160 -0.04981 -0.00290 0.01172 0.01290 0.99984
52.538000000000 0.16433 1.34177 -0.05000 -0.00316 0.01305 0.01455 0.99980
52.638000000000 0.13665 1.37044 -0.05016 -0.00413 0.01399 0.01605 0.99976
52.735000000000 0.11163 1.39728 -0.05034 -0.00513 0.01464 0.01718 0.99973
52.832000000000 0.09001 1.42328 -0.05079 -0.00545 0.01557 0.01799 0.99970
52.930000000000 0.07013 1.44930 -0.05116 -0.00624 0.01621 0.01853 0.99968
53.029000000000 0.05371 1.47464 -0.05124 -0.00763 0.01659 0.01888 0.99966
53.125000000000 0.03942 1.49981 -0.05129 -0.00819 0.01671 0.01876 0.99965
53.226000000000 0.02813 1.52602 -0.05119 -0.00885 0.01642 0.01854 0.99965
53.312000000000 0.02012 1.54861 -0.05149 -0.00996 0.01603 0.01828 0.99965
53.405000000000 0.01359 1.57285 -0.05155 -0.01105 0.01530 0.01798 0.99966
53.502000000000 0.00899 1.59832 -0.05125 -0.01151 0.01434 0.01765 0.99968
53.602000000000 0.00654 1.62562 -0.05159 -0.01275 0.01323 0.01727 0.99968
53.703000000000 0.00582 1.65389 -0.05170 -0.01339 0.01190 0.01694 0.99970
53.770000000000 0.00575 1.67254 -0.05128 -0.01365 0.01089 0.01679 0.99971
53.872000000000 0.00797 1.70376 -0.05190 -0.01486 0.00945 0.01645 0.99971
53.973000000000 0.01130 1.73570 -0.05241 -0.01548 0.00798 0.01627 0.99972
54.074000000000 0.01393 1.76870 -0.05286 -0.01540 0.00639 0.01614 0.99973
54.169000000000 0.01827 1.80201 -0.05356 -0.01596 0.00508 0.01609 0.99973
54.269000000000 0.02217 1.83769 -0.05379 -0.01695 0.00390 0.01610 0.99972
54.367000000000 0.02710 1.87484 -0.05448 -0.01659 0.00270 0.01622 0.99973
54.436000000000 0.03011 1.90140 -0.05413 -0.01566 0.00188 0.01622 0.99974
54.532000000000 0.03453 1.94054 -0.05513 -0.01496 0.00098 0.01626 0.99976
54.631000000000 0.03914 1.98156 -0.05505 -0.01383 0.00026 0.01630 0.99977
54.729000000000 0.04294 2.02382 -0.05599 -0.01160 -0.00024 0.01668 0.99979
54.830000000000 0.04694 2.06805 -0.05578 -0.01003 -0.00054 0.01773 0.99979
54.929000000000 0.04924 2.11191 -0.05711 -0.00886 -0.00056 0.01912 0.99978
55.028000000000 0.05189 2.15611 -0.05698 -0.00619 -0.00029 0.02069 0.99977
55.130000000000 0.05297 2.20062 -0.05774 -0.00282 -0.00000 0.02249 0.99974
55.226000000000 0.05435 2.24210 -0.05742 -0.00017 0.00039 0.02395 0.99971
55.292000000000 0.05434 2.27000 -0.05805 0.00217 0.00069 0.02473 0.99969
55.412000000000 0.05446 2.31768 -0.05793 0.00585 0.00130 0.02590 0.99965
55.510000000000 0.05411 2.35405 -0.05879 0.00849 0.00181 0.02656 0.99961
55.579000000000 0.05361 2.37689 -0.05797 0.01081 0.00225 0.02685 0.99958
55.678000000000 0.05347 2.40839 -0.05824 0.01418 0.00277 0.02705 0.99953
55.777000000000 0.05297 2.43424 -0.05763 0.01725 0.00334 0.02690 0.99948
55.873000000000 0.05304 2.45673 -0.05756 0.02001 0.00379 0.02673 0.99944
55.973000000000 0.05291 2.47299 -0.05638 0.02261 0.00407 0.02642 0.99939
56.073000000000 0.05363 2.48608 -0.05612 0.02497 0.00431 0.02604 0.99934
56.167000000000 0.05450 2.49290 -0.05497 0.02647 0.00448 0.02563 0.99931
56.264000000000 0.05560 2.49494 -0.05347 0.02715 0.00434 0.02524 0.99930
56.356000000000 0.05643 2.49121 -0.05123 0.02774 0.00401 0.02488 0.99930
56.450000000000 0.05835 2.48422 -0.05053 0.02828 0.00346 0.02465 0.99929
56.547000000000 0.06037 2.47183 -0.04931 0.02774 0.00292 0.02438 0.99931
56.646000000000 0.06242 2.45390 -0.04789 0.02656 0.00211 0.02427 0.99935
56.748000000000 0.06435 2.43030 -0.04661 0.02589 0.00118 0.02419 0.99937
56.815000000000 0.06540 2.41198 -0.04562 0.02524 0.00057 0.02422 0.99939
56.912000000000 0.06620 2.38199 -0.04456 0.02248 -0.00033 0.02427 0.99945
57.009000000000 0.06732 2.34926 -0.04425 0.02037 -0.00127 0.02427 0.99950
57.108000000000 0.06785 2.31234 -0.04403 0.01814 -0.00214 0.02437 0.99954
57.212000000000 0.06733 2.27030 -0.04364 0.01544 -0.00286 0.02454 0.99958
57.310000000000 0.06641 2.22901 -0.04388 0.01407 -0.00357 0.02491 0.99958
57.405000000000 0.06428 2.18652 -0.04481 0.01283 -0.00430 0.02588 0.99957
57.493000000000 0.06135 2.14698 -0.04646 0.01009 -0.00433 0.02710 0.99957
57.591000000000 0.05693 2.10225 -0.04799 0.00749 -0.00425 0.02873 0.99955
57.692000000000 0.05095 2.05599 -0.05031 0.00596 -0.00416 0.03049 0.99951
57.791000000000 0.04433 2.01000 -0.05240 0.00425 -0.00364 0.03213 0.99947
57.890000000000 0.03640 1.96478 -0.05532 0.00162 -0.00220 0.03344 0.99944
57.990000000000 0.02801 1.91976 -0.05786 -0.00001 -0.00072 0.03445 0.99941
58.058000000000 0.02160 1.89008 -0.06031 -0.00047 0.00032 0.03504 0.99939
58.157000000000 0.01271 1.84741 -0.06309 -0.00203 0.00234 0.03559 0.99936
58.255000000000 0.00322 1.80698 -0.06622 -0.00322 0.00453 0.03588 0.99934
58.353000000000 -0.00508 1.76777 -0.06895 -0.00351 0.00681 0.03587 0.99933
58.454000000000 -0.01340 1.73033 -0.07143 -0.00458 0.00936 0.03571 0.99931
58.551000000000 -0.01847 1.69645 -0.07241 -0.00543 0.01179 0.03549 0.99929
58.651000000000 -0.02344 1.66441 -0.07360 -0.00594 0.01437 0.03502 0.99927
58.748000000000 -0.02395 1.63654 -0.07331 -0.00661 0.01649 0.03456 0.99924
58.815000000000 -0.02417 1.61814 -0.07339 -0.00670 0.01804 0.03435 0.99922
58.917000000000 -0.01990 1.59350 -0.07194 -0.00701 0.01994 0.03402 0.99920
59.016000000000 -0.01411 1.57042 -0.07014 -0.00721 0.02137 0.03392 0.99917
59.119000000000 -0.00415 1.54997 -0.06705 -0.00688 0.02300 0.03371 0.99914
59.213000000000 0.00985 1.53527 -0.06239 -0.00647 0.02429 0.03349 0.99912
59.315000000000 0.02695 1.52115 -0.05740 -0.00618 0.02423 0.03335 0.99913
59.413000000000 0.04729 1.51007 -0.05180 -0.00576 0.02368 0.03335 0.99915
59.511000000000 0.07207 1.50203 -0.04546 -0.00540 0.02246 0.03337 0.99918
59.600000000000 0.09628 1.49504 -0.03970 -0.00483 0.02035 0.03348 0.99922
59.699000000000 0.12579 1.48944 -0.03329 -0.00405 0.01830 0.03357 0.99926
59.768000000000 0.14838 1.48706 -0.02858 -0.00338 0.01727 0.03363 0.99928
59.866000000000 0.18117 1.48421 -0.02250 -0.00232 0.01525 0.03376 0.99931
59.963000000000 0.21496 1.48292 -0.01747 -0.00116 0.01172 0.03442 0.99934
60.060000000000 0.24980 1.48313 -0.01363 -0.00005 0.00843 0.03564 0.99933
60.159000000000 0.28570 1.48420 -0.01054 0.00108 0.00574 0.03719 0.99929
60.260000000000 0.32264 1.48623 -0.00915 0.00227 0.00210 0.03886 0.99924
60.362000000000 0.35862 1.48925 -0.00954 0.00334 -0.00102 0.04046 0.99918
60.455000000000 0.38995 1.49232 -0.01245 0.00439 -0.00286 0.04171 0.99912
60.551000000000 0.42060 1.49526 -0.01726 0.00539 -0.00505 0.04288 0.99905
60.648000000000 0.44950 1.49850 -0.02509 0.00628 -0.00677 0.04373 0.99900
60.736000000000 0.47397 1.50162 -0.03501 0.00709 -0.00740 0.04417 0.99897
60.834000000000 0.49859 1.50462 -0.04889 0.00787 -0.00713 0.04446 0.99895
60.930000000000 0.52064 1.50714 -0.06543 0.00844 -0.00664 0.04451 0.99895
61.025000000000 0.54050 1.50933 -0.08484 0.00889 -0.00546 0.04440 0.99896
