# time x y z qx qy qz qw
50.123000000000 -0.06491 0.08989 0.04202 -0.05165 0.09013 -0.00839 0.99455
50.193000000000 -0.02756 0.13283 0.03431 -0.03560 0.11561 -0.01053 0.99260
50.297000000000 0.00158 0.18993 0.03212 -0.01508 0.12862 -0.00955 0.99153
50.397000000000 0.04927 0.24635 0.02752 -0.00120 0.11798 -0.00697 0.99299
50.500000000000 0.11725 0.30267 0.02045 0.00740 0.09611 -0.00362 0.99534
50.601000000000 0.19905 0.35410 0.01161 0.01337 0.07138 -0.00036 0.99736
50.703000000000 0.29122 0.39926 0.00110 0.01865 0.04463 0.00249 0.99883
50.801000000000 0.38398 0.43686 -0.00880 0.02295 0.02306 0.00463 0.99946
50.927000000000 0.50683 0.47682 -0.01920 0.02612 0.00202 0.00626 0.99964
50.994000000000 0.57117 0.49533 -0.02515 0.02637 -0.00798 0.00665 0.99960
51.094000000000 0.66164 0.51397 -0.03291 0.02532 -0.02001 0.00669 0.99946
51.188000000000 0.73981 0.52483 -0.03921 0.02247 -0.02908 0.00620 0.99931
51.288000000000 0.81499 0.53006 -0.04529 0.01770 -0.03591 0.00537 0.99918
51.381000000000 0.87388 0.52898 -0.04970 0.01210 -0.03922 0.00440 0.99915
51.476000000000 0.92292 0.52365 -0.05255 0.00561 -0.04057 0.00340 0.99916
51.571000000000 0.96203 0.51540 -0.05423 -0.00169 -0.04018 0.00242 0.99919
51.669000000000 0.99176 0.50531 -0.05383 -0.00946 -0.03870 0.00152 0.99920
51.765000000000 1.01153 0.49535 -0.05353 -0.01724 -0.03655 0.00083 0.99918
51.860000000000 1.02198 0.48716 -0.05010 -0.02415 -0.03359 0.00038 0.99914
51.951000000000 1.02538 0.48161 -0.04817 -0.03026 -0.03037 0.00005 0.99908
52.044000000000 1.02258 0.47907 -0.04384 -0.03614 -0.02742 -0.00020 0.99897
52.161000000000 1.01020 0.48280 -0.04061 -0.04182 -0.02400 -0.00018 0.99884
52.253000000000 0.99441 0.49159 -0.03786 -0.04414 -0.02103 -0.00001 0.99880
52.348000000000 0.97343 0.50615 -0.03411 -0.04596 -0.01898 0.00089 0.99876
52.442000000000 0.94750 0.52705 -0.03244 -0.04563 -0.01640 0.00216 0.99882
52.537000000000 0.91743 0.55400 -0.03113 -0.04418 -0.01393 0.00383 0.99892
52.632000000000 0.88410 0.58621 -0.02965 -0.04258 -0.01262 0.00566 0.99900
52.730000000000 0.84588 0.62510 -0.02965 -0.03843 -0.01039 0.00734 0.99918
52.830000000000 0.80471 0.66970 -0.02985 -0.03419 -0.00888 0.00887 0.99934
52.930000000000 0.76115 0.71851 -0.03070 -0.03071 -0.00860 0.01015 0.99944
52.996000000000 0.73113 0.75273 -0.03152 -0.02714 -0.00727 0.01079 0.99955
53.094000000000 0.68491 0.80525 -0.03332 -0.02173 -0.00541 0.01133 0.99969
53.192000000000 0.63742 0.85928 -0.03534 -0.01740 -0.00446 0.01162 0.99977
53.292000000000 0.58746 0.91498 -0.03757 -0.01230 -0.00236 0.01171 0.99985
53.398000000000 0.53361 0.97348 -0.03995 -0.00876 -0.00097 0.01164 0.99989
53.498000000000 0.48248 1.02739 -0.04216 -0.00688 -0.00019 0.01136 0.99991
53.592000000000 0.43382 1.07642 -0.04378 -0.00423 0.00228 0.01097 0.99993
53.689000000000 0.38453 1.12486 -0.04506 -0.00209 0.00500 0.01055 0.99993
53.756000000000 0.35136 1.15667 -0.04559 -0.00132 0.00651 0.01030 0.99992
53.856000000000 0.30274 1.20278 -0.04677 -0.00066 0.00888 0.00976 0.99991
53.954000000000 0.25656 1.24633 -0.04832 -0.00014 0.01179 0.00938 0.99989
54.054000000000 0.21270 1.28688 -0.04889 -0.00054 0.01437 0.00907 0.99986
54.149000000000 0.17262 1.32428 -0.05000 -0.00164 0.01634 0.00884 0.99983
54.234000000000 0.14077 1.35492 -0.05006 -0.00222 0.01848 0.00877 0.99979
54.334000000000 0.10502 1.39048 -0.05117 -0.00363 0.02044 0.00874 0.99975
54.428000000000 0.07659 1.42118 -0.05094 -0.00576 0.02161 0.00875 0.99971
54.525000000000 0.04924 1.45341 -0.05185 -0.00766 0.02263 0.00877 0.99968
54.620000000000 0.02941 1.48282 -0.05072 -0.00858 0.02348 0.00882 0.99965
54.718000000000 0.01063 1.51417 -0.05126 -0.01058 0.02363 0.00889 0.99963
54.816000000000 -0.00031 1.54420 -0.04973 -0.01331 0.02308 0.00900 0.99960
54.915000000000 -0.01053 1.57607 -0.05039 -0.01491 0.02178 0.00953 0.99961
55.011000000000 -0.01351 1.60707 -0.04865 -0.01689 0.02021 0.01057 0.99960
55.111000000000 -0.01654 1.64110 -0.04867 -0.01961 0.01819 0.01224 0.99957
55.209000000000 -0.01487 1.67580 -0.04706 -0.02091 0.01562 0.01398 0.99956
55.308000000000 -0.01257 1.71340 -0.04763 -0.02200 0.01282 0.01558 0.99955
55.374000000000 -0.00963 1.73953 -0.04686 -0.02325 0.01097 0.01657 0.99953
55.474000000000 -0.00451 1.78160 -0.04775 -0.02487 0.00834 0.01793 0.99950
55.575000000000 0.00167 1.82677 -0.04775 -0.02395 0.00547 0.01894 0.99952
55.672000000000 0.00800 1.87259 -0.04882 -0.02338 0.00296 0.01966 0.99953
55.768000000000 0.01429 1.91979 -0.04919 -0.02322 0.00094 0.01996 0.99953
55.866000000000 0.02069 1.97035 -0.05039 -0.02106 -0.00080 0.02012 0.99958
55.967000000000 0.02614 2.02379 -0.05122 -0.01872 -0.00209 0.02003 0.99962
56.067000000000 0.03074 2.07837 -0.05305 -0.01647 -0.00279 0.01980 0.99966
56.166000000000 0.03404 2.13287 -0.05401 -0.01171 -0.00294 0.01943 0.99974
56.233000000000 0.03573 2.17008 -0.05477 -0.00796 -0.00287 0.01913 0.99978
56.356000000000 0.03689 2.23735 -0.05623 -0.00175 -0.00229 0.01851 0.99982
56.421000000000 0.03713 2.27178 -0.05744 0.00132 -0.00187 0.01823 0.99983
56.518000000000 0.03630 2.32115 -0.05853 0.00679 -0.00091 0.01784 0.99982
56.617000000000 0.03587 2.36808 -0.05969 0.01285 0.00024 0.01748 0.99976
56.717000000000 0.03445 2.41043 -0.06076 0.01861 0.00135 0.01722 0.99968
56.815000000000 0.03365 2.44653 -0.06157 0.02399 0.00244 0.01709 0.99956
56.914000000000 0.03203 2.47449 -0.06145 0.02898 0.00325 0.01698 0.99943
57.011000000000 0.03194 2.49628 -0.06148 0.03314 0.00391 0.01692 0.99930
57.109000000000 0.03203 2.50855 -0.06012 0.03592 0.00411 0.01698 0.99920
57.207000000000 0.03316 2.51386 -0.05932 0.03760 0.00393 0.01712 0.99914
57.300000000000 0.03491 2.51021 -0.05784 0.03895 0.00335 0.01729 0.99909
57.395000000000 0.03716 2.49914 -0.05642 0.03910 0.00226 0.01745 0.99908
57.497000000000 0.03999 2.47980 -0.05467 0.03719 0.00089 0.01792 0.99915
57.593000000000 0.04289 2.45438 -0.05267 0.03564 -0.00074 0.01900 0.99918
57.690000000000 0.04554 2.42170 -0.05081 0.03341 -0.00259 0.02052 0.99923
57.754000000000 0.04707 2.39648 -0.04967 0.03081 -0.00388 0.02162 0.99928
57.859000000000 0.04863 2.35104 -0.04872 0.02650 -0.00584 0.02337 0.99936
57.956000000000 0.04884 2.30370 -0.04720 0.02120 -0.00730 0.02485 0.99944
58.059000000000 0.04765 2.25045 -0.04753 0.01605 -0.00877 0.02622 0.99949
58.159000000000 0.04489 2.19552 -0.04769 0.01248 -0.00991 0.02726 0.99950
58.261000000000 0.03972 2.13742 -0.04926 0.00890 -0.01042 0.02803 0.99951
58.330000000000 0.03574 2.09774 -0.04999 0.00524 -0.01006 0.02832 0.99953
58.450000000000 0.02522 2.02742 -0.05304 -0.00027 -0.00839 0.02857 0.99956
58.519000000000 0.01934 1.98760 -0.05463 -0.00269 -0.00704 0.02863 0.99956
58.624000000000 0.00796 1.92727 -0.05778 -0.00758 -0.00387 0.02838 0.99956
58.726000000000 -0.00447 1.87044 -0.06127 -0.01121 -0.00022 0.02803 0.99954
58.824000000000 -0.01489 1.81916 -0.06377 -0.01289 0.00364 0.02772 0.99953
58.927000000000 -0.02469 1.76861 -0.06636 -0.01497 0.00806 0.02740 0.99948
58.999000000000 -0.03038 1.73559 -0.06775 -0.01633 0.01132 0.02727 0.99943
59.103000000000 -0.03727 1.68904 -0.06928 -0.01738 0.01617 0.02696 0.99935
59.202000000000 -0.04156 1.65009 -0.07003 -0.01789 0.02073 0.02664 0.99927
59.301000000000 -0.04060 1.61653 -0.06923 -0.01892 0.02439 0.02641 0.99917
59.401000000000 -0.03631 1.58561 -0.06706 -0.01953 0.02758 0.02629 0.99908
59.499000000000 -0.02582 1.56116 -0.06277 -0.01970 0.03055 0.02623 0.99899
59.565000000000 -0.01630 1.54566 -0.05937 -0.01952 0.03166 0.02623 0.99896
59.660000000000 0.00283 1.52833 -0.05327 -0.01930 0.03121 0.02630 0.99898
59.758000000000 0.02695 1.51278 -0.04609 -0.01860 0.03025 0.02630 0.99902
59.850000000000 0.05438 1.50183 -0.03849 -0.01749 0.02928 0.02635 0.99907
59.947000000000 0.08848 1.49426 -0.03027 -0.01592 0.02604 0.02636 0.99919
60.044000000000 0.12586 1.48808 -0.02190 -0.01435 0.02178 0.02659 0.99931
60.142000000000 0.16708 1.48461 -0.01377 -0.01254 0.01750 0.02738 0.99939
60.241000000000 0.21192 1.48369 -0.00683 -0.01075 0.01197 0.02867 0.99946
60.339000000000 0.25633 1.48453 -0.00121 -0.00880 0.00507 0.03024 0.99949
60.437000000000 0.30158 1.48723 0.00141 -0.00676 -0.00090 0.03190 0.99947
60.526000000000 0.34101 1.49000 0.00173 -0.00499 -0.00515 0.03334 0.99942
60.629000000000 0.38489 1.49427 -0.00205 -0.00305 -0.01018 0.03489 0.99933
60.726000000000 0.42336 1.49815 -0.00924 -0.00122 -0.01384 0.03599 0.99926
60.824000000000 0.45890 1.50264 -0.02205 0.00037 -0.01586 0.03673 0.99920
60.919000000000 0.48963 1.50629 -0.03802 0.00158 -0.01642 0.03724 0.99917
61.015000000000 0.51695 1.50950 -0.05931 0.00258 -0.01461 0.03751 0.99919
61.106000000000 0.54096 1.51254 -0.08495 0.00329 -0.01063 0.03747 0.99924
61.204000000000 0.56347 1.51432 -0.11546 0.00376 -0.00550 0.03721 0.99929
61.304000000000 0.58485 1.51546 -0.15126 0.00400 0.00131 0.03673 0.99932
61.402000000000 0.60702 1.51532 -0.18950 0.00413 0.01001 0.03641 0.99928
61.500000000000 0.63138 1.51447 -0.23120 0.00405 0.01956 0.03597 0.99915
61.568000000000 0.65040 1.51373 -0.26096 0.00377 0.02482 0.03570 0.99905
61.667000000000 0.68055 1.51204 -0.30502 0.00322 0.03277 0.03533 0.99883
61.766000000000 0.71711 1.51012 -0.34959 0.00275 0.04225 0.03499 0.99849
61.866000000000 0.76133 1.50836 -0.39414 0.00210 0.04845 0.03476 0.99822
61.963000000000 0.81218 1.50635 -0.43591 0.00144 0.05238 0.03457 0.99803
62.065000000000 0.87535 1.50492 -0.47808 0.00098 0.05619 0.03452 0.99782
62.165000000000 0.94664 1.50385 -0.51623 0.00051 0.05442 0.03452 0.99792
62.261000000000 1.02383 1.50290 -0.54956 0.00036 0.05124 0.03458 0.99809
62.356000000000 1.10852 1.50239 -0.57949 0.00022 0.04607 0.03468 0.99834
62.422000000000 1.17154 1.50233 -0.59805 0.00012 0.03951 0.03480 0.99861
62.517000000000 1.26686 1.50207 -0.62042 0.00018 0.02917 0.03501 0.99896
62.631000000000 1.38605 1.50185 -0.64083 0.00026 0.01577 0.03529 0.99925
62.725000000000 1.48576 1.50191 -0.65228 0.00026 0.00087 0.03600 0.99935
62.823000000000 1.58740 1.50179 -0.65851 0.00033 -0.01561 0.03723 0.99918
62.916000000000 1.67897 1.50146 -0.65824 0.00047 -0.03078 0.03863 0.99878
63.012000000000 1.76666 1.50082 -0.65269 0.00053 -0.04621 0.04008 0.99813
